Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.tribe,Taxonomy.NCBI.species group,Taxonomy.NCBI.species subgroup,Taxonomy.NCBI.subgenus,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.no rank 5,Taxonomy.NCBI.unknown 3,Taxonomy.NCBI.subclass,Taxonomy.NCBI.suborder
Burkholderia mallei ATCC 23344,CP000011,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7600,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia mallei,,,Burkholderia mallei ATCC 23344,,,,pseudomallei group,,,,,,,
Shigella dysenteriae Sd197,CP000034,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7608,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,,,Shigella dysenteriae Sd197,,,,,,,,,,,
Shigella boydii Sb227,CP000036,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7609,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella boydii,,,Shigella boydii Sb227,,,,,,,,,,,
Shigella sonnei Ss046,CP000038,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7610,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,,,Shigella sonnei Ss046,,,,,,,,,,,
Staphylococcus aureus subsp. aureus COL,CP000046,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7611,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus subsp. aureus,,Terrabacteria group,Staphylococcus aureus subsp. aureus COL,,,,,,,,,,
Xanthomonas campestris pv. campestris str. 8004,CP000050,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7612,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,,,Xanthomonas campestris pv. campestris,Xanthomonas campestris pv. campestris str. 8004,,,,,,,,,,
Psychrobacter arcticus 273-4,CP000082,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7614,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter arcticus,,,Psychrobacter arcticus 273-4,,,,,,,,,,,
Colwellia psychrerythraea 34H,CP000083,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7615,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia psychrerythraea,,,Colwellia psychrerythraea 34H,,,,,,,,,,,
Burkholderia thailandensis E264,CP000086,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7616,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia thailandensis,,,Burkholderia thailandensis E264,,,,pseudomallei group,,,,,,,
Pelodictyon luteolum DSM 273,CP000096,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7619,--,Yes,root,cellular organisms,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Pelodictyon,Pelodictyon luteolum,,,FCB group,Bacteroidetes/Chlorobi group,Chlorobium/Pelodictyon group,,,,,,Pelodictyon luteolum DSM 273,,,
Ehrlichia canis str. Jake,CP000107,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7622,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia canis,,,Ehrlichia canis str. Jake,,,,canis group,,,,,,,
Myxococcus xanthus DK 1622,CP000113,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7627,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,,,Myxococcus xanthus DK 1622,,,,,,,delta/epsilon subdivisions,,,,Cystobacterineae
Nitrobacter winogradskyi Nb-255,CP000115,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7628,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter,Nitrobacter winogradskyi,,,Nitrobacter winogradskyi Nb-255,,,,,,,,,,,
Burkholderia pseudomallei 1710b,CP000124,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7630,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia pseudomallei,,,Burkholderia pseudomallei 1710b,,,,pseudomallei group,,,,,,,
Burkholderia pseudomallei 1710b,CP000125,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7631,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia pseudomallei,,,Burkholderia pseudomallei 1710b,,,,pseudomallei group,,,,,,,
Rhizobium etli CFN 42,CP000133,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7632,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium etli,,,Rhizobium/Agrobacterium group,Rhizobium etli CFN 42,,,,,,,,,,
Carboxydothermus hydrogenoformans Z-2901,CP000141,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7633,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus,Carboxydothermus hydrogenoformans,,,Terrabacteria group,Carboxydothermus hydrogenoformans Z-2901,,,,,,,,,,
Pelobacter carbinolicus DSM 2380,CP000142,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7634,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,Pelobacter carbinolicus,,,Pelobacter carbinolicus DSM 2380,,,,,,,delta/epsilon subdivisions,,,,
Rhodobacter sphaeroides 2.4.1,CP000143,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7635,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter sphaeroides,,,Rhodobacter sphaeroides 2.4.1,,,,,,,,,,,
Geobacter metallireducens GS-15,CP000148,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7636,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter metallireducens,,,Geobacter metallireducens GS-15,,,,,,,delta/epsilon subdivisions,,,,
Hyphomonas neptunium ATCC 15444,CP000158,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7640,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,Hyphomonas neptunium,,,Hyphomonas neptunium ATCC 15444,,,,,,,,,,,
Salinibacter ruber DSM 13855,CP000159,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7641,--,Yes,root,cellular organisms,Bacteria,,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,Bacteroidetes <phylum>,Salinibacter ruber,,FCB group,Bacteroidetes/Chlorobi group,Salinibacter ruber DSM 13855,,,,,,,,,
Rhodospirillum rubrum ATCC 11170,CP000230,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7642,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum rubrum,,,Rhodospirillum rubrum ATCC 11170,,,,,,,,,,,
Clostridium perfringens ATCC 13124,CP000246,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7652,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,,,Terrabacteria group,Clostridium perfringens ATCC 13124,,,,,,,,,,
Clostridium perfringens ATCC 13124,CP000246,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7653,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,,,Terrabacteria group,Clostridium perfringens ATCC 13124,,,,,,,,,,
Escherichia coli 536,CP000247,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7654,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,,Escherichia coli 536,,,,,,,,,,,
Novosphingobium aromaticivorans DSM 12444,CP000248,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7655,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium aromaticivorans,,,Novosphingobium aromaticivorans DSM 12444,,,,,,,,,,,
Rhodopseudomonas palustris HaA2,CP000250,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7657,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,,,Rhodopseudomonas palustris HaA2,,,,,,,,,,,
Syntrophus aciditrophicus SB,CP000252,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7659,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,,Syntrophus <bacteria>,Syntrophus aciditrophicus,,Syntrophus aciditrophicus SB,,,,,,,delta/epsilon subdivisions,,,,
Staphylococcus aureus subsp. aureus NCTC 8325,CP000253,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7660,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus subsp. aureus,,Terrabacteria group,Staphylococcus aureus subsp. aureus NCTC 8325,,,,,,,,,,
Staphylococcus aureus subsp. aureus USA300,CP000255,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7662,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus subsp. aureus,,Terrabacteria group,Staphylococcus aureus subsp. aureus USA300,,,,,,,,,,
Jannaschia sp. CCS1,CP000264,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7664,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,Jannaschia sp. CCS1,,,,,,,,,,,,,,
Shigella flexneri 5 str. 8401,CP000266,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7665,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,,,Shigella flexneri 5,Shigella flexneri 5 str. 8401,,,,,,,,,,
Rhodoferax ferrireducens T118,CP000267,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7666,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax ferrireducens,,,Rhodoferax ferrireducens T118,,,,,,,,,,,
Rhodopseudomonas palustris BisB5,CP000283,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7668,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,,,Rhodopseudomonas palustris BisB5,,,,,,,,,,,
Methylobacillus flagellatus KT,CP000284,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7670,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylobacillus,Methylobacillus flagellatus,,,Methylobacillus flagellatus KT,,,,,,,,,,,
Rhodopseudomonas palustris BisB18,CP000301,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7674,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,,,Rhodopseudomonas palustris BisB18,,,,,,,,,,,
Shewanella denitrificans OS217,CP000302,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7675,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella denitrificans,,,Shewanella denitrificans OS217,,,,,,,,,,,
Shewanella denitrificans OS217,CP000302,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7676,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella denitrificans,,,Shewanella denitrificans OS217,,,,,,,,,,,
Yersinia pestis Nepal516,CP000305,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7677,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,,Yersinia <bacteria>,Yersinia pestis,,Yersinia pestis Nepal516,,,,Yersinia pseudotuberculosis complex,,,,,,,
Yersinia pestis Antiqua,CP000308,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7678,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,,Yersinia <bacteria>,Yersinia pestis,,Yersinia pestis Antiqua,,,,Yersinia pseudotuberculosis complex,,,,,,,
Clostridium perfringens SM101,CP000312,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7679,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,,,Terrabacteria group,Clostridium perfringens SM101,,,,,,,,,,
Clostridium perfringens SM101,CP000312,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7680,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,,,Terrabacteria group,Clostridium perfringens SM101,,,,,,,,,,
Nitrobacter hamburgensis X14,CP000319,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7681,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter,Nitrobacter hamburgensis,,,Nitrobacter hamburgensis X14,,,,,,,,,,,
Psychrobacter cryohalolentis K5,CP000323,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7682,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter cryohalolentis,,,Psychrobacter cryohalolentis K5,,,,,,,,,,,
Mycobacterium ulcerans Agy99,CP000325,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7683,--,Yes,root,cellular organisms,Bacteria,,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteria <phylum>,Actinobacteria <class>,Mycobacterium ulcerans,Terrabacteria group,Mycobacterium ulcerans Agy99,,,,,,,,,,
Sphingopyxis alaskensis RB2256,CP000356,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7685,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis alaskensis,,,Sphingopyxis alaskensis RB2256,,,,,,,,,,,
Deinococcus geothermalis DSM 11300,CP000359,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7686,--,Yes,root,cellular organisms,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus geothermalis,,,Terrabacteria group,Deinococcus geothermalis DSM 11300,,,,,,,,,,
Roseobacter denitrificans OCh 114,CP000362,74,30,44,No,0,tRNA,0,(()()()),(()()(())),--,No,CRW,--,CRW_t_B_7688,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter denitrificans,,,Roseobacter denitrificans OCh 114,,,,,,,,,,,
Burkholderia cenocepacia AU 1054,CP000378,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7690,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia,,,Burkholderia cenocepacia AU 1054,,,,Burkholderia cepacia complex,,,,,,,
Cytophaga hutchinsonii ATCC 33406,CP000383,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7691,--,Yes,root,cellular organisms,Bacteria,,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Bacteroidetes <phylum>,Cytophaga hutchinsonii,,FCB group,Bacteroidetes/Chlorobi group,Cytophaga hutchinsonii ATCC 33406,,,,,,,,,
Mycobacterium sp. MCS,CP000384,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7692,--,Yes,root,cellular organisms,Bacteria,,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteria <phylum>,Actinobacteria <class>,Mycobacterium sp. MCS,Terrabacteria group,,,,,,,,,,,
Pseudoalteromonas atlantica T6c,CP000388,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7695,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas atlantica,,,Pseudoalteromonas atlantica T6c,,,,,,,,,,,
Granulibacter bethesdensis CGDNIH1,CP000394,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7698,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter,Granulibacter bethesdensis,,,Granulibacter bethesdensis CGDNIH1,,,,,,,,,,,
Francisella tularensis subsp. holarctica OSU18,CP000437,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7708,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Francisella tularensis subsp. holarctica,,Francisella tularensis subsp. holarctica OSU18,,,,,,,,,,,
Shewanella sp. MR-7,CP000444,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7710,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. MR-7,,,,,,,,,,,,,,
Shewanella sp. MR-7,CP000444,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7711,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. MR-7,,,,,,,,,,,,,,
Shewanella sp. MR-4,CP000446,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7712,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. MR-4,,,,,,,,,,,,,,
Shewanella sp. MR-4,CP000446,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7713,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. MR-4,,,,,,,,,,,,,,
Shewanella frigidimarina NCIMB 400,CP000447,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7714,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella frigidimarina,,,Shewanella frigidimarina NCIMB 400,,,,,,,,,,,
Shewanella frigidimarina NCIMB 400,CP000447,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7715,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella frigidimarina,,,Shewanella frigidimarina NCIMB 400,,,,,,,,,,,
Maricaulis maris MCS10,CP000449,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7717,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Maricaulis,Maricaulis maris,,,Maricaulis maris MCS10,,,,,,,,,,,
Burkholderia cenocepacia HI2424,CP000458,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7720,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia,,,Burkholderia cenocepacia HI2424,,,,Burkholderia cepacia complex,,,,,,,
Aeromonas hydrophila subsp. hydrophila ATCC 7966,CP000462,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7721,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila,Aeromonas hydrophila subsp. hydrophila,,Aeromonas hydrophila subsp. hydrophila ATCC 7966,,,,,,,,,,,
Aeromonas hydrophila subsp. hydrophila ATCC 7966,CP000462,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7722,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila,Aeromonas hydrophila subsp. hydrophila,,Aeromonas hydrophila subsp. hydrophila ATCC 7966,,,,,,,,,,,
Rhodopseudomonas palustris BisA53,CP000463,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7723,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,,,Rhodopseudomonas palustris BisA53,,,,,,,,,,,
Shewanella sp. ANA-3,CP000469,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7724,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. ANA-3,,,,,,,,,,,,,,
Shewanella sp. ANA-3,CP000469,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7725,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. ANA-3,,,,,,,,,,,,,,
Syntrophobacter fumaroxidans MPOB,CP000478,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7730,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,Syntrophobacter fumaroxidans,,,Syntrophobacter fumaroxidans MPOB,,,,,,,delta/epsilon subdivisions,,,,
Mycobacterium avium 104,CP000479,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7731,--,Yes,root,cellular organisms,Bacteria,,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteria <phylum>,Actinobacteria <class>,Mycobacterium avium,Terrabacteria group,Mycobacterium avium 104,,,Mycobacterium avium complex (MAC),,,,,,,
Pelobacter propionicus DSM 2379,CP000482,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7735,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,Pelobacter propionicus,,,Pelobacter propionicus DSM 2379,,,,,,,delta/epsilon subdivisions,,,,
Bacillus thuringiensis str. Al Hakam,CP000485,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7736,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus <bacterium>,Bacillus thuringiensis,,Terrabacteria group,Bacillus thuringiensis str. Al Hakam,,,Bacillus cereus group,,,,,,,
Campylobacter fetus subsp. fetus 82-40,CP000487,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7737,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus,Campylobacter fetus subsp. fetus,,Campylobacter fetus subsp. fetus 82-40,,,,,,,delta/epsilon subdivisions,,,,
