Organism name,Length,Benchmark ID,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.order,Taxonomy.ENA.class
Listeria monocytogenes,73,CRW_t_B_20620,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria monocytogenes,73,CRW_t_B_20621,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria monocytogenes,73,CRW_t_B_20622,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria monocytogenes,73,CRW_t_B_20623,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria innocua,73,CRW_t_B_20624,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria innocua,73,CRW_t_B_20625,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria innocua,73,CRW_t_B_20626,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria innocua,73,CRW_t_B_20627,Bacteria,Firmicutes,Bacillales,Bacilli
Lactobacillus plantarum WCFS1,73,CRW_t_B_20640,Bacteria,Firmicutes,Lactobacillales,Bacilli
Lactobacillus plantarum WCFS1,73,CRW_t_B_20641,Bacteria,Firmicutes,Lactobacillales,Bacilli
Bordetella avium 197N,73,CRW_t_B_20653,Bacteria,Proteobacteria,Burkholderiales,Betaproteobacteria
Bordetella avium 197N,73,CRW_t_B_20654,Bacteria,Proteobacteria,Burkholderiales,Betaproteobacteria
Listeria welshimeri serovar 6b str. SLCC5334,73,CRW_t_B_20669,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria welshimeri serovar 6b str. SLCC5334,73,CRW_t_B_20670,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria welshimeri serovar 6b str. SLCC5334,73,CRW_t_B_20671,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria welshimeri serovar 6b str. SLCC5334,73,CRW_t_B_20672,Bacteria,Firmicutes,Bacillales,Bacilli
Azoarcus sp. BH72,73,CRW_t_B_20682,Bacteria,Proteobacteria,Rhodocyclales,Betaproteobacteria
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_20684,Bacteria,Firmicutes,Lactobacillales,Bacilli
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_20685,Bacteria,Firmicutes,Lactobacillales,Bacilli
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_20686,Bacteria,Firmicutes,Lactobacillales,Bacilli
Bacillus clausii KSM-K16,73,CRW_t_B_20700,Bacteria,Firmicutes,Bacillales,Bacilli
Onion yellows phytoplasma OY-M,73,CRW_t_B_20701,Bacteria,Tenericutes,Acholeplasmatales,Mollicutes
Staphylococcus haemolyticus JCSC1435,73,CRW_t_B_20704,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus haemolyticus JCSC1435,73,CRW_t_B_20705,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus haemolyticus JCSC1435,73,CRW_t_B_20706,Bacteria,Firmicutes,Bacillales,Bacilli
Bacteroides fragilis YCH46,73,CRW_t_B_20713,Bacteria,Bacteroidetes,Bacteroidales,Bacteroidia
Bacteroides fragilis YCH46,73,CRW_t_B_20714,Bacteria,Bacteroidetes,Bacteroidales,Bacteroidia
Synechococcus elongatus PCC 6301,72,CRW_t_B_20755,Bacteria,Cyanobacteria,Synechococcales,
Bifidobacterium adolescentis ATCC 15703,73,CRW_t_B_20773,Bacteria,Actinobacteria,Bifidobacteriales,
Bacillus cereus,73,CRW_t_B_20786,Bacteria,Firmicutes,Bacillales,Bacilli
Vibrio parahaemolyticus,73,CRW_t_B_20807,Bacteria,Proteobacteria,Vibrionales,Gammaproteobacteria
Vibrio parahaemolyticus,73,CRW_t_B_20808,Bacteria,Proteobacteria,Vibrionales,Gammaproteobacteria
Vibrio parahaemolyticus,73,CRW_t_B_20809,Bacteria,Proteobacteria,Vibrionales,Gammaproteobacteria
Vibrio parahaemolyticus,73,CRW_t_B_20815,Bacteria,Proteobacteria,Vibrionales,Gammaproteobacteria
Vibrio parahaemolyticus,73,CRW_t_B_20816,Bacteria,Proteobacteria,Vibrionales,Gammaproteobacteria
Vibrio parahaemolyticus,73,CRW_t_B_20817,Bacteria,Proteobacteria,Vibrionales,Gammaproteobacteria
Photobacterium phosphoreum,73,CRW_t_B_20882,Bacteria,Proteobacteria,Vibrionales,Gammaproteobacteria
Photobacterium phosphoreum,73,CRW_t_B_20883,Bacteria,Proteobacteria,Vibrionales,Gammaproteobacteria
Buchnera aphidicola str. APS (Acyrthosiphon pisum),73,CRW_t_B_20892,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Staphylococcus aureus subsp. aureus Mu50,73,CRW_t_B_20903,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus aureus subsp. aureus Mu50,73,CRW_t_B_20904,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus aureus subsp. aureus Mu50,73,CRW_t_B_20905,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus aureus subsp. aureus N315,73,CRW_t_B_20908,Bacteria,Firmicutes,Bacillales,Bacilli
Nostoc sp. PCC 7120,72,CRW_t_B_20909,Bacteria,Cyanobacteria,Nostocales,
Nostoc sp. PCC 7120,72,CRW_t_B_20910,Bacteria,Cyanobacteria,Nostocales,
Staphylococcus aureus subsp. aureus MW2,73,CRW_t_B_20930,Bacteria,Firmicutes,Bacillales,Bacilli
Streptococcus pyogenes SSI-1,73,CRW_t_B_20931,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pyogenes SSI-1,73,CRW_t_B_20932,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pyogenes SSI-1,73,CRW_t_B_20933,Bacteria,Firmicutes,Lactobacillales,Bacilli
Corynebacterium efficiens YS-314,73,CRW_t_B_20934,Bacteria,Actinobacteria,Corynebacteriales,
Corynebacterium glutamicum ATCC 13032,73,CRW_t_B_20938,Bacteria,Actinobacteria,Corynebacteriales,
Corynebacterium glutamicum ATCC 13032,73,CRW_t_B_20939,Bacteria,Actinobacteria,Corynebacteriales,
Geobacillus kaustophilus HTA426,73,CRW_t_B_20945,Bacteria,Firmicutes,Bacillales,Bacilli
Corynebacterium diphtheriae,73,CRW_t_B_20957,Bacteria,Actinobacteria,Corynebacteriales,
Corynebacterium diphtheriae,73,CRW_t_B_20958,Bacteria,Actinobacteria,Corynebacteriales,
Rhodopirellula baltica SH 1,73,CRW_t_B_20962,Bacteria,Planctomycetes,Planctomycetales,Planctomycetia
Rhodopirellula baltica SH 1,73,CRW_t_B_20963,Bacteria,Planctomycetes,Planctomycetales,Planctomycetia
Staphylococcus aureus subsp. aureus MRSA252,73,CRW_t_B_20968,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus aureus subsp. aureus MSSA476,73,CRW_t_B_20971,Bacteria,Firmicutes,Bacillales,Bacilli
Prochlorococcus marinus str. MIT 9313,72,CRW_t_B_20980,Bacteria,Cyanobacteria,Synechococcales,
Mycobacterium tuberculosis H37Rv,73,CRW_t_B_20989,Bacteria,Actinobacteria,Corynebacteriales,
Mycobacterium tuberculosis H37Rv,73,CRW_t_B_20990,Bacteria,Actinobacteria,Corynebacteriales,
Corynebacterium glutamicum ATCC 13032,73,CRW_t_B_21000,Bacteria,Actinobacteria,Corynebacteriales,
Corynebacterium glutamicum ATCC 13032,73,CRW_t_B_21001,Bacteria,Actinobacteria,Corynebacteriales,
Streptococcus pyogenes MGAS10394,73,CRW_t_B_21027,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pyogenes MGAS10394,73,CRW_t_B_21028,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pyogenes MGAS10394,73,CRW_t_B_21029,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pyogenes MGAS10394,73,CRW_t_B_21030,Bacteria,Firmicutes,Lactobacillales,Bacilli
Candidatus Blochmannia pennsylvanicus str. BPEN,73,CRW_t_B_21037,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Anaplasma marginale str. St. Maries,72,CRW_t_B_21059,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Lactobacillus acidophilus NCFM,73,CRW_t_B_21061,Bacteria,Firmicutes,Lactobacillales,Bacilli
Chlamydia trachomatis A/HAR-13,73,CRW_t_B_21078,Bacteria,Chlamydiae,Chlamydiales,
Prochlorococcus marinus str. NATL2A,72,CRW_t_B_21119,Bacteria,Cyanobacteria,Synechococcales,
Ehrlichia canis str. Jake,73,CRW_t_B_21128,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Ehrlichia canis str. Jake,73,CRW_t_B_21129,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Synechococcus sp. CC9605,72,CRW_t_B_21132,Bacteria,Cyanobacteria,Synechococcales,
Prochlorococcus marinus str. MIT 9312,72,CRW_t_B_21133,Bacteria,Cyanobacteria,Synechococcales,
Myxococcus xanthus DK 1622,73,CRW_t_B_21137,Bacteria,Proteobacteria,Myxococcales,Deltaproteobacteria
Myxococcus xanthus DK 1622,73,CRW_t_B_21138,Bacteria,Proteobacteria,Myxococcales,Deltaproteobacteria
Streptococcus agalactiae A909,73,CRW_t_B_21139,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus agalactiae A909,73,CRW_t_B_21141,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus agalactiae A909,73,CRW_t_B_21142,Bacteria,Firmicutes,Lactobacillales,Bacilli
Erythrobacter litoralis HTCC2594,73,CRW_t_B_21169,Bacteria,Proteobacteria,Sphingomonadales,Alphaproteobacteria
Erythrobacter litoralis HTCC2594,73,CRW_t_B_21170,Bacteria,Proteobacteria,Sphingomonadales,Alphaproteobacteria
Ehrlichia chaffeensis str. Arkansas,73,CRW_t_B_21185,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Ehrlichia chaffeensis str. Arkansas,73,CRW_t_B_21186,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Neorickettsia sennetsu str. Miyayama,73,CRW_t_B_21187,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Synechococcus sp. JA-3-3Ab,72,CRW_t_B_21189,Bacteria,Cyanobacteria,Synechococcales,
Synechococcus sp. JA-3-3Ab,72,CRW_t_B_21190,Bacteria,Cyanobacteria,Synechococcales,
Synechococcus sp. JA-2-3B'a(2-13),72,CRW_t_B_21191,Bacteria,Cyanobacteria,Synechococcales,
Escherichia coli UTI89,73,CRW_t_B_21193,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Escherichia coli UTI89,73,CRW_t_B_21194,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Escherichia coli UTI89,73,CRW_t_B_21195,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Escherichia coli UTI89,73,CRW_t_B_21196,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Escherichia coli UTI89,73,CRW_t_B_21197,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Escherichia coli UTI89,73,CRW_t_B_21198,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Anaeromyxobacter dehalogenans 2CP-C,72,CRW_t_B_21218,Bacteria,Proteobacteria,Myxococcales,Deltaproteobacteria
Anaeromyxobacter dehalogenans 2CP-C,73,CRW_t_B_21219,Bacteria,Proteobacteria,Myxococcales,Deltaproteobacteria
Staphylococcus aureus subsp. aureus NCTC 8325,73,CRW_t_B_21224,Bacteria,Firmicutes,Bacillales,Bacilli
Streptococcus pyogenes MGAS10270,73,CRW_t_B_21233,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pyogenes MGAS10270,73,CRW_t_B_21234,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pyogenes MGAS10270,73,CRW_t_B_21235,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pyogenes MGAS10270,73,CRW_t_B_21236,Bacteria,Firmicutes,Lactobacillales,Bacilli
Rubrobacter xylanophilus DSM 9941,73,CRW_t_B_21319,Bacteria,Actinobacteria,Rubrobacterales,Rubrobacteria
Trichodesmium erythraeum IMS101,72,CRW_t_B_21325,Bacteria,Cyanobacteria,Oscillatoriales,
Streptococcus pneumoniae D39,73,CRW_t_B_21330,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pneumoniae D39,73,CRW_t_B_21331,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pneumoniae D39,73,CRW_t_B_21332,Bacteria,Firmicutes,Lactobacillales,Bacilli
Oenococcus oeni PSU-1,73,CRW_t_B_21333,Bacteria,Firmicutes,Lactobacillales,Bacilli
Lactobacillus brevis ATCC 367,73,CRW_t_B_21349,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus thermophilus LMD-9,73,CRW_t_B_21351,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus thermophilus LMD-9,73,CRW_t_B_21352,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus thermophilus LMD-9,73,CRW_t_B_21354,Bacteria,Firmicutes,Lactobacillales,Bacilli
Pediococcus pentosaceus ATCC 25745,73,CRW_t_B_21356,Bacteria,Firmicutes,Lactobacillales,Bacilli
Lactococcus lactis subsp. cremoris SK11,73,CRW_t_B_21361,Bacteria,Firmicutes,Lactobacillales,Bacilli
Lactococcus lactis subsp. cremoris SK11,73,CRW_t_B_21362,Bacteria,Firmicutes,Lactobacillales,Bacilli
Lactococcus lactis subsp. cremoris SK11,73,CRW_t_B_21363,Bacteria,Firmicutes,Lactobacillales,Bacilli
Synechococcus sp. CC9311,72,CRW_t_B_21366,Bacteria,Cyanobacteria,Synechococcales,
Pseudomonas aeruginosa UCBPP-PA14,73,CRW_t_B_21371,Bacteria,Proteobacteria,Pseudomonadales,Gammaproteobacteria
Pseudomonas aeruginosa UCBPP-PA14,73,CRW_t_B_21372,Bacteria,Proteobacteria,Pseudomonadales,Gammaproteobacteria
Arthrobacter sp. FB24,73,CRW_t_B_21403,Bacteria,Actinobacteria,Micrococcales,
Arthrobacter sp. FB24,73,CRW_t_B_21404,Bacteria,Actinobacteria,Micrococcales,
Mycobacterium avium 104,73,CRW_t_B_21432,Bacteria,Actinobacteria,Corynebacteriales,
Acidothermus cellulolyticus 11B,73,CRW_t_B_21436,Bacteria,Actinobacteria,Acidothermales,
Acidothermus cellulolyticus 11B,73,CRW_t_B_21437,Bacteria,Actinobacteria,Acidothermales,
Chlorobium phaeobacteroides DSM 266,73,CRW_t_B_21451,Bacteria,Chlorobi,Chlorobiales,Chlorobia
Halorhodospira halophila SL1,73,CRW_t_B_21499,Bacteria,Proteobacteria,Chromatiales,Gammaproteobacteria
Prochlorococcus marinus str. AS9601,72,CRW_t_B_21503,Bacteria,Cyanobacteria,Synechococcales,
Prochlorococcus marinus str. MIT 9515,72,CRW_t_B_21504,Bacteria,Cyanobacteria,Synechococcales,
Prochlorococcus marinus str. NATL1A,72,CRW_t_B_21505,Bacteria,Cyanobacteria,Synechococcales,
Prochlorococcus marinus str. MIT 9303,72,CRW_t_B_21506,Bacteria,Cyanobacteria,Synechococcales,
Desulfotalea psychrophila LSv54,73,CRW_t_B_21537,Bacteria,Proteobacteria,Desulfobacterales,Deltaproteobacteria
Desulfotalea psychrophila LSv54,73,CRW_t_B_21538,Bacteria,Proteobacteria,Desulfobacterales,Deltaproteobacteria
Bacteroides fragilis NCTC 9343,73,CRW_t_B_21543,Bacteria,Bacteroidetes,Bacteroidales,Bacteroidia
Bacteroides fragilis NCTC 9343,73,CRW_t_B_21544,Bacteria,Bacteroidetes,Bacteroidales,Bacteroidia
Legionella pneumophila str. Paris,73,CRW_t_B_21549,Bacteria,Proteobacteria,Legionellales,Gammaproteobacteria
Legionella pneumophila str. Lens,73,CRW_t_B_21552,Bacteria,Proteobacteria,Legionellales,Gammaproteobacteria
Ehrlichia ruminantium str. Welgevonden,73,CRW_t_B_21553,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Ehrlichia ruminantium str. Welgevonden,73,CRW_t_B_21554,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Corynebacterium jeikeium K411,73,CRW_t_B_21561,Bacteria,Actinobacteria,Corynebacteriales,
Lactobacillus sakei subsp. sakei 23K,73,CRW_t_B_21564,Bacteria,Firmicutes,Lactobacillales,Bacilli
Lactobacillus sakei subsp. sakei 23K,73,CRW_t_B_21566,Bacteria,Firmicutes,Lactobacillales,Bacilli
Candidatus Kuenenia stuttgartiensis,73,CRW_t_B_21582,Bacteria,Planctomycetes,Candidatus Brocadiales,Planctomycetia
Candidatus Kuenenia stuttgartiensis,73,CRW_t_B_21583,Bacteria,Planctomycetes,Candidatus Brocadiales,Planctomycetia
Chlamydia muridarum,73,CRW_t_B_21588,Bacteria,Chlamydiae,Chlamydiales,
Gramella forsetii KT0803,73,CRW_t_B_21589,Bacteria,Bacteroidetes,Flavobacteriales,Flavobacteriia
Haemophilus influenzae Rd KW20,73,CRW_t_B_21838,Bacteria,Proteobacteria,Pasteurellales,Gammaproteobacteria
Mycobacterium leprae,73,CRW_t_B_21844,Bacteria,Actinobacteria,Corynebacteriales,
Staphylococcus aureus,73,CRW_t_B_21873,Bacteria,Firmicutes,Bacillales,Bacilli
Streptomyces lividans,73,CRW_t_B_21917,Bacteria,Actinobacteria,Streptomycetales,
Mycobacterium leprae,73,CRW_t_B_21983,Bacteria,Actinobacteria,Corynebacteriales,
Chlamydia trachomatis D/UW-3/CX,73,CRW_t_B_22039,Bacteria,Chlamydiae,Chlamydiales,
Buchnera aphidicola str. Sg (Schizaphis graminum),73,CRW_t_B_22106,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Bacteroides thetaiotaomicron VPI-5482,73,CRW_t_B_22169,Bacteria,Bacteroidetes,Bacteroidales,Bacteroidia
Treponema denticola ATCC 35405,73,CRW_t_B_22256,Bacteria,Spirochaetes,Spirochaetales,
Wolbachia endosymbiont strain TRS of Brugia malayi,73,CRW_t_B_22273,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Synechococcus elongatus PCC 6301,72,CRW_t_B_22621,Bacteria,Cyanobacteria,Synechococcales,
Candidatus Carsonella ruddii PV,73,CRW_t_B_22642,Bacteria,Proteobacteria,Oceanospirillales,Gammaproteobacteria
Buchnera aphidicola str. APS (Acyrthosiphon pisum),73,CRW_t_B_22683,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Corynebacterium efficiens YS-314,72,CRW_t_B_22743,Bacteria,Actinobacteria,Corynebacteriales,
Corynebacterium diphtheriae,72,CRW_t_B_22771,Bacteria,Actinobacteria,Corynebacteriales,
Candidatus Protochlamydia amoebophila UWE25,73,CRW_t_B_22805,Bacteria,Chlamydiae,Parachlamydiales,
Chlamydia trachomatis A/HAR-13,73,CRW_t_B_22904,Bacteria,Chlamydiae,Chlamydiales,
Myxococcus xanthus DK 1622,73,CRW_t_B_22986,Bacteria,Proteobacteria,Myxococcales,Deltaproteobacteria
Salinibacter ruber DSM 13855,72,CRW_t_B_23037,Bacteria,Bacteroidetes,Bacteroidetes Order II. Incertae sedis,
Ehrlichia chaffeensis str. Arkansas,72,CRW_t_B_23047,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Ehrlichia chaffeensis str. Arkansas,72,CRW_t_B_23049,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Synechococcus sp. JA-3-3Ab,72,CRW_t_B_23056,Bacteria,Cyanobacteria,Synechococcales,
Synechococcus sp. JA-2-3B'a(2-13),72,CRW_t_B_23059,Bacteria,Cyanobacteria,Synechococcales,
Syntrophobacter fumaroxidans MPOB,73,CRW_t_B_23351,Bacteria,Proteobacteria,Syntrophobacterales,Deltaproteobacteria
Finegoldia magna ATCC 29328,73,CRW_t_B_23946,Bacteria,Firmicutes,Tissierellales,Tissierellia
Helicobacter pylori 26695,73,CRW_t_B_24322,Bacteria,Proteobacteria,Campylobacterales,Epsilonproteobacteria
Thermotoga maritima MSB8,73,CRW_t_B_24323,Bacteria,Thermotogae,Thermotogales,
Deinococcus radiodurans R1,73,CRW_t_B_24324,Bacteria,Deinococcus-Thermus,Deinococcales,Deinococci
Treponema pallidum subsp. pallidum str. Nichols,73,CRW_t_B_24325,Bacteria,Spirochaetes,Spirochaetales,
Aquifex aeolicus VF5,73,CRW_t_B_24326,Bacteria,Aquificae,Aquificales,
Chlamydia trachomatis D/UW-3/CX,73,CRW_t_B_24329,Bacteria,Chlamydiae,Chlamydiales,
Clostridium acetobutylicum ATCC 824,73,CRW_t_B_24330,Bacteria,Firmicutes,Clostridiales,Clostridia
Clostridium acetobutylicum ATCC 824,73,CRW_t_B_24331,Bacteria,Firmicutes,Clostridiales,Clostridia
Clostridium acetobutylicum ATCC 824,73,CRW_t_B_24332,Bacteria,Firmicutes,Clostridiales,Clostridia
Streptococcus pneumoniae TIGR4,73,CRW_t_B_24344,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pneumoniae TIGR4,73,CRW_t_B_24345,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pneumoniae R6,73,CRW_t_B_24353,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus pneumoniae R6,73,CRW_t_B_24354,Bacteria,Firmicutes,Lactobacillales,Bacilli
Rickettsia conorii str. Malish 7,73,CRW_t_B_24355,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Leptospira interrogans serovar Lai str. 56601,73,CRW_t_B_24368,Bacteria,Spirochaetes,Leptospirales,
Buchnera aphidicola str. Sg (Schizaphis graminum),73,CRW_t_B_24374,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Streptococcus mutans UA159,73,CRW_t_B_24385,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus agalactiae 2603V/R,73,CRW_t_B_24389,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus agalactiae 2603V/R,73,CRW_t_B_24390,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus agalactiae 2603V/R,73,CRW_t_B_24391,Bacteria,Firmicutes,Lactobacillales,Bacilli
Staphylococcus epidermidis ATCC 12228,73,CRW_t_B_24405,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus epidermidis ATCC 12228,73,CRW_t_B_24406,Bacteria,Firmicutes,Bacillales,Bacilli
Vibrio vulnificus CMCP6,73,CRW_t_B_24407,Bacteria,Proteobacteria,Vibrionales,Gammaproteobacteria
Vibrio vulnificus CMCP6,73,CRW_t_B_24408,Bacteria,Proteobacteria,Vibrionales,Gammaproteobacteria
Vibrio vulnificus CMCP6,73,CRW_t_B_24409,Bacteria,Proteobacteria,Vibrionales,Gammaproteobacteria
Vibrio vulnificus CMCP6,73,CRW_t_B_24410,Bacteria,Proteobacteria,Vibrionales,Gammaproteobacteria
Buchnera aphidicola str. Bp (Baizongia pistaciae),73,CRW_t_B_24418,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Enterococcus faecalis V583,73,CRW_t_B_24421,Bacteria,Firmicutes,Lactobacillales,Bacilli
Enterococcus faecalis V583,73,CRW_t_B_24422,Bacteria,Firmicutes,Lactobacillales,Bacilli
Bacillus cereus ATCC 14579,73,CRW_t_B_24427,Bacteria,Firmicutes,Bacillales,Bacilli
Treponema denticola ATCC 35405,73,CRW_t_B_24454,Bacteria,Spirochaetes,Spirochaetales,
Wolbachia endosymbiont strain TRS of Brugia malayi,73,CRW_t_B_24465,Bacteria,Proteobacteria,Rickettsiales,Alphaproteobacteria
Bacillus anthracis str. 'Ames Ancestor',73,CRW_t_B_24473,Bacteria,Firmicutes,Bacillales,Bacilli
Idiomarina loihiensis L2TR,73,CRW_t_B_24474,Bacteria,Proteobacteria,Alteromonadales,Gammaproteobacteria
Streptococcus agalactiae,72,CRW_t_B_25129,Bacteria,Firmicutes,Lactobacillales,Bacilli
Streptococcus agalactiae,73,CRW_t_B_25130,Bacteria,Firmicutes,Lactobacillales,Bacilli
Lactobacillus sakei,73,CRW_t_B_25454,Bacteria,Firmicutes,Lactobacillales,Bacilli
Lactobacillus sakei,73,CRW_t_B_25455,Bacteria,Firmicutes,Lactobacillales,Bacilli
Staphylococcus aureus RF122,73,CRW_t_B_26800,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus aureus RF122,73,CRW_t_B_26801,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria monocytogenes,73,CRW_t_B_26967,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria monocytogenes,73,CRW_t_B_26968,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria innocua,73,CRW_t_B_26969,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria innocua,73,CRW_t_B_26970,Bacteria,Firmicutes,Bacillales,Bacilli
Lactobacillus plantarum WCFS1,73,CRW_t_B_26979,Bacteria,Firmicutes,Lactobacillales,Bacilli
Lactobacillus plantarum WCFS1,73,CRW_t_B_26980,Bacteria,Firmicutes,Lactobacillales,Bacilli
Bordetella avium 197N,73,CRW_t_B_27030,Bacteria,Proteobacteria,Burkholderiales,Betaproteobacteria
Listeria welshimeri serovar 6b str. SLCC5334,73,CRW_t_B_27110,Bacteria,Firmicutes,Bacillales,Bacilli
Listeria welshimeri serovar 6b str. SLCC5334,73,CRW_t_B_27111,Bacteria,Firmicutes,Bacillales,Bacilli
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_27180,Bacteria,Firmicutes,Lactobacillales,Bacilli
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_27181,Bacteria,Firmicutes,Lactobacillales,Bacilli
Onion yellows phytoplasma OY-M,73,CRW_t_B_27195,Bacteria,Tenericutes,Acholeplasmatales,Mollicutes
Staphylococcus haemolyticus JCSC1435,73,CRW_t_B_27198,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus haemolyticus JCSC1435,73,CRW_t_B_27199,Bacteria,Firmicutes,Bacillales,Bacilli
Bacteroides fragilis YCH46,73,CRW_t_B_27204,Bacteria,Bacteroidetes,Bacteroidales,Bacteroidia
Bacteroides fragilis YCH46,73,CRW_t_B_27205,Bacteria,Bacteroidetes,Bacteroidales,Bacteroidia
Synechococcus elongatus PCC 6301,73,CRW_t_B_27233,Bacteria,Cyanobacteria,Synechococcales,
Candidatus Carsonella ruddii PV,73,CRW_t_B_27242,Bacteria,Proteobacteria,Oceanospirillales,Gammaproteobacteria
Buchnera aphidicola str. APS (Acyrthosiphon pisum),73,CRW_t_B_29922,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria
Staphylococcus aureus subsp. aureus Mu50,73,CRW_t_B_29928,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus aureus subsp. aureus Mu50,73,CRW_t_B_29929,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus aureus subsp. aureus N315,73,CRW_t_B_29930,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus aureus subsp. aureus N315,73,CRW_t_B_29931,Bacteria,Firmicutes,Bacillales,Bacilli
Nostoc sp. PCC 7120,73,CRW_t_B_29932,Bacteria,Cyanobacteria,Nostocales,
Oceanobacillus iheyensis HTE831,73,CRW_t_B_29936,Bacteria,Firmicutes,Bacillales,Bacilli
Oceanobacillus iheyensis HTE831,73,CRW_t_B_29937,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus aureus subsp. aureus MW2,73,CRW_t_B_29943,Bacteria,Firmicutes,Bacillales,Bacilli
Staphylococcus aureus subsp. aureus MW2,73,CRW_t_B_29944,Bacteria,Firmicutes,Bacillales,Bacilli
Streptococcus pyogenes SSI-1,73,CRW_t_B_29945,Bacteria,Firmicutes,Lactobacillales,Bacilli
