Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.no rank 0,Taxonomy.ENA.class,Taxonomy.ENA.order,Taxonomy.ENA.family,Taxonomy.ENA.genus,Taxonomy.ENA.unknown 0,Taxonomy.ENA.species group
Buchnera aphidicola str. APS (Acyrthosiphon pisum),BA000003,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22682,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,,
Rhodopirellula baltica SH 1,BX294138,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22778,--,Yes,Bacteria,Planctomycetes,,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,,
Nitrosomonas europaea ATCC 19718,BX321856,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22782,--,Yes,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,,
Corynebacterium glutamicum ATCC 13032,BX927154,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22806,--,Yes,Bacteria,Actinobacteria,,,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,
Pseudomonas syringae pv. syringae B728a,CP000075,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22920,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae,
Psychrobacter arcticus 273-4,CP000082,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22929,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,,
Dechloromonas aromatica RCB,CP000089,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22952,--,Yes,Bacteria,Proteobacteria,,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,,
Nitrosospira multiformis ATCC 25196,CP000103,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22971,--,Yes,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,,
Thiobacillus denitrificans ATCC 25259,CP000116,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22993,--,Yes,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Thiobacillus,,
Polaromonas sp. JS666,CP000316,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23171,--,Yes,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,,
Psychrobacter cryohalolentis K5,CP000323,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23176,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,,
Nitrosomonas eutropha C91,CP000450,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23308,--,Yes,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,,
Halorhodospira halophila SL1,CP000544,76,38,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23423,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halorhodospira,,
Acinetobacter sp. ADP1,CR543861,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23457,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,
Legionella pneumophila str. Paris,CR628336,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23466,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,
Legionella pneumophila str. Lens,CR628337,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23469,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,
Ehrlichia ruminantium str. Gardel,CR925677,78,38,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23474,--,Yes,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,,
Ehrlichia ruminantium str. Welgevonden,CR925678,78,38,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23475,--,Yes,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,,
Gramella forsetii KT0803,CU207366,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23507,--,Yes,Bacteria,Bacteroidetes,,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,,
Thermus thermophilus HB27,AE017221,76,36,40,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_24448,--,Yes,Bacteria,Deinococcus-Thermus,,Deinococci,Thermales,Thermaceae,Thermus,,
Thermus thermophilus HB27,AE017221,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_31649,--,Yes,Bacteria,Deinococcus-Thermus,,Deinococci,Thermales,Thermaceae,Thermus,,
Buchnera aphidicola str. APS (Acyrthosiphon pisum),BA000003,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_31966,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,,
