Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.class,Taxonomy.ENA.order,Taxonomy.ENA.family,Taxonomy.ENA.genus,Taxonomy.ENA.species group,Taxonomy.ENA.tribe,Taxonomy.ENA.subclass,Taxonomy.ENA.no rank 0,Taxonomy.ENA.no rank 1,Taxonomy.ENA.suborder,Taxonomy.ENA.unknown 0,Taxonomy.ENA.species subgroup
Dysgonomonas wimpennyi,AY704408,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2345,--,Yes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Dysgonomonas,,,,,,,,
Synechococcus sp. CB0205,AY704681,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2355,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,,,,,
Edwardsiella ictaluri,AY706745,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2362,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,,,,,,,,
Edwardsiella tarda,AY706746,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2363,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,,,,,,,,
Edwardsiella tarda,AY706747,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2364,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,,,,,,,,
Edwardsiella tarda,AY706748,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2365,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,,,,,,,,
Lactobacillus fermentum,AY722395,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2366,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,
Nostoc sp. PCC 7120,AY768368,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2383,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,,,,,,,,
Leptolyngbya sp. PCC 7410,AY768369,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2384,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Leptolyngbyaceae,Leptolyngbya,,,,,,,,
Nostoc punctiforme,AY768370,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2385,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,,,,,,,,
Tolypothrix sp. PCC 7601,AY768372,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2387,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Tolypothrichaceae,Tolypothrix,,,,,,,,
Gloeobacter violaceus PCC 7421,AY768373,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2388,--,Yes,Bacteria,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,,,,,,,,
Lyngbya aestuarii PCC 7419,AY768375,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2390,--,Yes,Bacteria,Cyanobacteria,,Oscillatoriales,Oscillatoriaceae,Lyngbya,,,Oscillatoriophycideae,,,,,
Oscillatoria sancta PCC 7515,AY768378,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2392,--,Yes,Bacteria,Cyanobacteria,,Oscillatoriales,Oscillatoriaceae,Oscillatoria,,,Oscillatoriophycideae,,,,,
Nodularia harveyana,AY768379,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2393,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Aphanizomenonaceae,Nodularia,,,,,,,,
Oscillatoria sp. CCAP 1459/26,AY768380,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2394,--,Yes,Bacteria,Cyanobacteria,,Oscillatoriales,Oscillatoriaceae,Oscillatoria,,,Oscillatoriophycideae,,,,,
Anabaena sp. PCC 9109,AY768382,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2396,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Anabaena,,,,,,,,
Photobacterium phosphoreum,AY779759,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2399,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,,,,,,,,
Photobacterium phosphoreum,AY779761,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2400,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,,,,,,,,
Lactobacillus paralimentarius,AY839296,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2423,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,
Lactobacillus mindensis,AY839298,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2424,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,
Lactobacillus panis,AY839300,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2425,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,
Lactobacillus pontis,AY839302,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2426,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,
Lactobacillus frumenti,AY839304,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2427,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,
Lactobacillus spicheri,AY839306,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2428,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,
Lactobacillus hammesii,AY839308,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2429,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,
uncultured Synechococcus sp.,AY855292,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2432,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855295,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2433,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855296,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2434,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855297,72,30,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2435,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855298,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2436,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855299,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2437,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855300,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2438,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855301,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2439,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855302,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2440,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855303,72,30,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2441,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855304,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2442,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855305,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2443,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855306,73,29,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_2444,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855307,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2445,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855308,72,30,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2446,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855309,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2447,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855310,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2448,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855311,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2449,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855312,73,29,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_2450,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855313,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2451,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY855314,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2452,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933635,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2481,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933636,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2482,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933637,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2483,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933638,72,34,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2484,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933639,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2485,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933640,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2486,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933641,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2487,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933642,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2488,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933643,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2489,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933644,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2490,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933645,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2491,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933646,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2492,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933647,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2493,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933648,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2494,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933650,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2495,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933651,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2496,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933652,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2497,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933653,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2498,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933654,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2499,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933655,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2500,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933656,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2501,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933657,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2502,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933658,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2503,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933660,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2504,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933661,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2505,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933662,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2506,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933663,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2507,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933664,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2508,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933665,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2509,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933666,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2510,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933667,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2511,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933668,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2512,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933669,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2513,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933670,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2514,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933671,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2515,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933672,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2516,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933673,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2517,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933674,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2518,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933675,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2519,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933676,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2520,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933677,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2521,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933678,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2522,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933679,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2523,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933680,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2524,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933681,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2525,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933682,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2526,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933684,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2527,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933685,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2528,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933686,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2529,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY933687,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2530,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured delta proteobacterium,AY934014,73,35,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2656,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,,,environmental samples,,,,
uncultured marine bacterium,AY934042,73,35,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2669,--,Yes,Bacteria,,,,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934048,73,35,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2672,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934138,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2722,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934139,72,36,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2723,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934141,72,36,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2724,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934143,72,36,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2726,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934146,72,36,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2727,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934147,72,36,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2728,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934148,72,36,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2729,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
uncultured Thiotrichales bacterium,AY934149,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2730,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934150,72,36,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2731,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
uncultured Colwelliaceae bacterium,AY934151,72,36,36,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_2732,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,,,,,environmental samples,,,,
uncultured Thiotrichales bacterium,AY934154,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2734,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934155,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2735,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934158,72,36,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2737,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934159,72,36,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2738,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934160,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2739,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,environmental samples,,,,
