Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.order,Taxonomy.ENA.genus,Taxonomy.ENA.class,Taxonomy.ENA.family,Taxonomy.ENA.no rank 0,Taxonomy.ENA.unknown 0,Taxonomy.ENA.tribe,Taxonomy.ENA.species group,Taxonomy.ENA.suborder,Taxonomy.ENA.subgenus,Taxonomy.ENA.subclass
Erwinia rhapontici,AF234283,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16214,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Cupriavidus pauculus,AF237657,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16232,--,Yes,Bacteria,Proteobacteria,Burkholderiales,Cupriavidus,Betaproteobacteria,Burkholderiaceae,,,,,,,
Pigeon pea witches'-broom phytoplasma,AF248957,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16239,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,16SrIX (Pigeon pea witches'-broom group),,,
Candidatus Phytoplasma mali,AF248958,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16240,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,16SrX (Apple proliferation group),,,
Candidatus Phytoplasma solani,AF248959,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16241,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,16SrXII (Stolbur group),,,
Candidatus Phytoplasma cynodontis,AF248961,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16243,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,16SrXIV (Bermuda white leaf group),,,
Bradyrhizobium elkanii,AF293373,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16258,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium elkanii,AF293374,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16259,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Neisseria gonorrhoeae,AF293419,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16268,--,Yes,Bacteria,Proteobacteria,Neisseriales,Neisseria,Betaproteobacteria,Neisseriaceae,,,,,,,
Aster yellows phytoplasma,AF322644,77,33,44,No,0,tRNA,0,()(),()(()),--,No,CRW,--,CRW_t_B_16281,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,Candidatus Phytoplasma asteris,,,
Aster yellows phytoplasma,AF322645,77,33,44,No,0,tRNA,0,()(),()(()),--,No,CRW,--,CRW_t_B_16282,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,Candidatus Phytoplasma asteris,,,
Bradyrhizobium denitrificans,AF338159,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16299,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium denitrificans,AF338160,77,33,44,No,0,tRNA,0,(()()()),(()((()))()),--,No,CRW,--,CRW_t_B_16300,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium denitrificans,AF338162,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16302,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium denitrificans,AF338165,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16305,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium denitrificans,AF338167,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16307,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Rhodopseudomonas palustris,AF338178,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16318,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Rhodopseudomonas,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Methylobacterium organophilum,AF338181,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16321,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Methylobacterium,Alphaproteobacteria,Methylobacteriaceae,,,,,,,
Bradyrhizobium japonicum,AF338648,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16323,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338827,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16325,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338828,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16326,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338829,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16327,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium elkanii,AF338830,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16328,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338833,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16331,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338834,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16332,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338835,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16333,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium elkanii,AF338836,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16334,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338837,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16335,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338838,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16336,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338839,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16337,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338840,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16338,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338841,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16339,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338842,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16340,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338843,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16341,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338844,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16342,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338845,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16343,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium liaoningense,AF338846,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16344,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium liaoningense,AF338847,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16345,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338848,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16346,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338849,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16347,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338850,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16348,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338852,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16350,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338853,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16351,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium japonicum,AF338866,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16364,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium elkanii,AF338867,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16365,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium elkanii,AF338868,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16366,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Dandelion virescence phytoplasma,AF370119,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16409,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,16SrIII (X-disease group),,,
Dandelion virescence phytoplasma,AF370120,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16410,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,16SrIII (X-disease group),,,
Vibrio aestuarianus,AF412991,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16498,--,Yes,Bacteria,Proteobacteria,Vibrionales,Vibrio,Gammaproteobacteria,Vibrionaceae,,,,,,,
Vibrio aestuarianus,AF412992,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16499,--,Yes,Bacteria,Proteobacteria,Vibrionales,Vibrio,Gammaproteobacteria,Vibrionaceae,,,,,,,
Vibrio campbellii,AF412996,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16500,--,Yes,Bacteria,Proteobacteria,Vibrionales,Vibrio,Gammaproteobacteria,Vibrionaceae,,,,,,,
Salinivibrio costicola,AF413000,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16501,--,Yes,Bacteria,Proteobacteria,Vibrionales,Salinivibrio,Gammaproteobacteria,Vibrionaceae,,,,,,,
Vibrio diazotrophicus,AF413004,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16502,--,Yes,Bacteria,Proteobacteria,Vibrionales,Vibrio,Gammaproteobacteria,Vibrionaceae,,,,,,,
Vibrio fluvialis,AF413008,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16503,--,Yes,Bacteria,Proteobacteria,Vibrionales,Vibrio,Gammaproteobacteria,Vibrionaceae,,,,,,,
Vibrio nigripulchritudo,AF413015,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16504,--,Yes,Bacteria,Proteobacteria,Vibrionales,Vibrio,Gammaproteobacteria,Vibrionaceae,,,,,,,
Vibrio proteolyticus,AF413017,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16505,--,Yes,Bacteria,Proteobacteria,Vibrionales,Vibrio,Gammaproteobacteria,Vibrionaceae,,,,,,,
Vibrio proteolyticus,AF413018,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16506,--,Yes,Bacteria,Proteobacteria,Vibrionales,Vibrio,Gammaproteobacteria,Vibrionaceae,,,,,,,
Vibrio tubiashii,AF413026,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16508,--,Yes,Bacteria,Proteobacteria,Vibrionales,Vibrio,Gammaproteobacteria,Vibrionaceae,,,,Vibrio oreintalis group,,,
Texas Phoenix palm phytoplasma,AF434989,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16519,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,16SrIV (Coconut lethal yellows group),,,
Corynebacterium glutamicum,AF435074,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16521,--,Yes,Bacteria,Actinobacteria,Corynebacteriales,Corynebacterium,,Corynebacteriaceae,,,,,,,
Erwinia amylovora,AF449654,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16525,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Erwinia amylovora,AF449656,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16526,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Erwinia amylovora,AF449660,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16527,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Erwinia amylovora,AF449662,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16528,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Erwinia pyrifoliae,AF449666,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16529,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Erwinia pyrifoliae,AF449669,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16530,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Erwinia amylovora,AF449672,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_16531,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Erwinia amylovora,AF449674,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_16532,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Erwinia amylovora,AF449680,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_16533,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Erwinia amylovora,AF449681,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_16534,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Erwinia amylovora,AF449684,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16535,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Erwinia amylovora,AF449686,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16536,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Erwinia,Gammaproteobacteria,Erwiniaceae,,,,,,,
Maize bushy stunt phytoplasma,AF487779,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16552,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,Candidatus Phytoplasma asteris,,,
Chinaberry yellows phytoplasma,AF495657,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16555,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,16SrXIII (Mexican periwinkle virescence group),,,
Chinaberry yellows phytoplasma,AF495882,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16556,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,16SrXIII (Mexican periwinkle virescence group),,,
Comamonas testosteroni,AF498366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16557,--,Yes,Bacteria,Proteobacteria,Burkholderiales,Comamonas,Betaproteobacteria,Comamonadaceae,,,,,,,
Comamonas testosteroni,AF498367,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16558,--,Yes,Bacteria,Proteobacteria,Burkholderiales,Comamonas,Betaproteobacteria,Comamonadaceae,,,,,,,
Comamonas testosteroni,AF498368,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16559,--,Yes,Bacteria,Proteobacteria,Burkholderiales,Comamonas,Betaproteobacteria,Comamonadaceae,,,,,,,
Candidatus Pelagibacter ubique,AF510191,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16564,--,Yes,Bacteria,Proteobacteria,Pelagibacterales,Candidatus Pelagibacter,Alphaproteobacteria,Pelagibacteraceae,,,,,,,
Candidatus Pelagibacter ubique,AF510193,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16565,--,Yes,Bacteria,Proteobacteria,Pelagibacterales,Candidatus Pelagibacter,Alphaproteobacteria,Pelagibacteraceae,,,,,,,
Acidithiobacillus caldus,AF512808,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16680,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus ferrooxidans,AF512809,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16681,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus ferrooxidans,AF512810,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16682,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512812,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16684,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512813,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16685,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512814,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16686,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512815,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16687,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512816,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16688,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512817,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16689,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512818,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16690,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512819,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16691,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512820,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16692,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512821,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16693,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512822,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16694,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512823,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16695,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512824,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16696,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Acidithiobacillus thiooxidans,AF512825,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16697,--,Yes,Bacteria,Proteobacteria,Acidithiobacillales,Acidithiobacillus,Acidithiobacillia,Acidithiobacillaceae,,,,,,,
Candidatus Phytoplasma phoenicium,AF515636,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16708,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Candidatus Phytoplasma,Mollicutes,Acholeplasmataceae,,,,16SrIX (Pigeon pea witches'-broom group),,,
Sodalis glossinidius,AF548136,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16745,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Sodalis,Gammaproteobacteria,Pectobacteriaceae,,,,,,,
primary endosymbiont of Sitophilus zeamais,AF548140,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16748,--,Yes,Bacteria,Proteobacteria,Enterobacterales,,Gammaproteobacteria,Enterobacteriaceae,,,,,,,
primary endosymbiont of Sitophilus zeamais,AF548141,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16749,--,Yes,Bacteria,Proteobacteria,Enterobacterales,,Gammaproteobacteria,Enterobacteriaceae,,,,,,,
