Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.phylum,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.class,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0,Taxonomy.SILVA.unknown 4
Bradyrhizobium japonicum,AF208514,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16187,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF208515,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16188,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium elkanii,AF208516,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16189,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF208517,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16190,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium elkanii,AF208518,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16191,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Zymobacter palmae,AF211871,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16193,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Halomonadaceae,Zymobacter,Gammaproteobacteria,,,,,
Brucella melitensis,AF220147,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16194,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Rhizobiaceae,Brucella,Alphaproteobacteria,,,,,
Brucella melitensis,AF220148,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16195,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Rhizobiaceae,Brucella,Alphaproteobacteria,,,,,
Brucella melitensis,AF220149,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16196,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Rhizobiaceae,Brucella,Alphaproteobacteria,,,,,
Aster yellows phytoplasma,AF222063,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16197,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Tomato big bud phytoplasma,AF222064,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16198,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Pectobacterium cacticida,AF234275,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16207,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Gammaproteobacteria,,,,,
Pectobacterium carotovorum subsp. odoriferum,AF234278,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16209,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Gammaproteobacteria,,,,,
Pectobacterium betavasculorum,AF234280,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16211,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Gammaproteobacteria,,,,,
Pectobacterium betavasculorum,AF234281,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16212,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Gammaproteobacteria,,,,,
Pectobacterium atrosepticum,AF234282,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16213,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Gammaproteobacteria,,,,,
Erwinia rhapontici,AF234283,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16214,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Cupriavidus pauculus,AF237657,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16232,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Gammaproteobacteria,,,,,
Pigeon pea witches'-broom phytoplasma,AF248957,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16239,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Candidatus Phytoplasma mali,AF248958,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16240,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Candidatus Phytoplasma solani,AF248959,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16241,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Candidatus Phytoplasma cynodontis,AF248961,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16243,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Bradyrhizobium elkanii,AF293373,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16258,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium elkanii,AF293374,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16259,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Neisseria gonorrhoeae,AF293419,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16268,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Gammaproteobacteria,,,,,
Aster yellows phytoplasma,AF322644,77,33,44,No,0,tRNA,0,()(),()(()),--,No,CRW,--,CRW_t_B_16281,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Aster yellows phytoplasma,AF322645,77,33,44,No,0,tRNA,0,()(),()(()),--,No,CRW,--,CRW_t_B_16282,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Bradyrhizobium denitrificans,AF338159,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16299,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium denitrificans,AF338160,77,33,44,No,0,tRNA,0,(()()()),(()((()))()),--,No,CRW,--,CRW_t_B_16300,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium denitrificans,AF338162,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16302,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium denitrificans,AF338165,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16305,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium denitrificans,AF338167,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16307,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Rhodopseudomonas palustris,AF338178,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16318,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,Alphaproteobacteria,,,,,
Methylobacterium organophilum,AF338181,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16321,--,Yes,Bacteria,Methylobacterium-Methylorubrum,Proteobacteria,Rhizobiales,Beijerinckiaceae,,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338648,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16323,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338827,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16325,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338828,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16326,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338829,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16327,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium elkanii,AF338830,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16328,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338833,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16331,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338834,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16332,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338835,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16333,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium elkanii,AF338836,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16334,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338837,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16335,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338838,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16336,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338839,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16337,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338840,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16338,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338841,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16339,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338842,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16340,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338843,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16341,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338844,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16342,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338845,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16343,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium liaoningense,AF338846,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16344,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium liaoningense,AF338847,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16345,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338848,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16346,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338849,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16347,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338850,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16348,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338852,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16350,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338853,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16351,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium japonicum,AF338866,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16364,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium elkanii,AF338867,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16365,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium elkanii,AF338868,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16366,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Dandelion virescence phytoplasma,AF370119,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16409,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Dandelion virescence phytoplasma,AF370120,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16410,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Vibrio aestuarianus,AF412991,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16498,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Gammaproteobacteria,,,,,
Vibrio aestuarianus,AF412992,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16499,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Gammaproteobacteria,,,,,
Vibrio campbellii,AF412996,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16500,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Gammaproteobacteria,,,,,
Salinivibrio costicola,AF413000,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16501,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Vibrionaceae,Salinivibrio,Gammaproteobacteria,,,,,
Vibrio diazotrophicus,AF413004,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16502,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Gammaproteobacteria,,,,,
Vibrio fluvialis,AF413008,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16503,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Gammaproteobacteria,,,,,
Vibrio nigripulchritudo,AF413015,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16504,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Gammaproteobacteria,,,,,
Vibrio proteolyticus,AF413017,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16505,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Gammaproteobacteria,,,,,
Vibrio proteolyticus,AF413018,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16506,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Gammaproteobacteria,,,,,
Vibrio tubiashii,AF413026,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16508,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Gammaproteobacteria,,,,,
Texas Phoenix palm phytoplasma,AF434989,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16519,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Corynebacterium glutamicum,AF435074,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16521,--,Yes,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,,,,,
Erwinia amylovora,AF449654,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16525,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Erwinia amylovora,AF449656,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16526,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Erwinia amylovora,AF449660,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16527,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Erwinia amylovora,AF449662,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16528,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Erwinia pyrifoliae,AF449666,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16529,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Erwinia pyrifoliae,AF449669,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16530,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Erwinia amylovora,AF449672,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_16531,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Erwinia amylovora,AF449674,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_16532,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Erwinia amylovora,AF449680,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_16533,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Erwinia amylovora,AF449681,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_16534,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Erwinia amylovora,AF449684,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16535,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Erwinia amylovora,AF449686,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16536,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Gammaproteobacteria,,,,,
Maize bushy stunt phytoplasma,AF487779,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16552,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Chinaberry yellows phytoplasma,AF495657,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16555,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Chinaberry yellows phytoplasma,AF495882,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16556,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Bacilli,,,,,
Comamonas testosteroni,AF498366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16557,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Gammaproteobacteria,,,,,
Comamonas testosteroni,AF498367,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16558,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Gammaproteobacteria,,,,,
Comamonas testosteroni,AF498368,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16559,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Gammaproteobacteria,,,,,
Candidatus Pelagibacter ubique,AF510191,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16564,--,Yes,Bacteria,SAR11 clade,Proteobacteria,,,,Alphaproteobacteria,Clade I,Clade Ia,,,
Candidatus Pelagibacter ubique,AF510193,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16565,--,Yes,Bacteria,SAR11 clade,Proteobacteria,,,,Alphaproteobacteria,Clade I,Clade Ia,,,
Acidithiobacillus caldus,AF512808,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16680,--,Yes,Bacteria,,Proteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Gammaproteobacteria,,,,,
Acidithiobacillus ferrooxidans,AF512809,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16681,--,Yes,Bacteria,,Proteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Gammaproteobacteria,,,,,
Acidithiobacillus ferrooxidans,AF512810,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16682,--,Yes,Bacteria,,Proteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Gammaproteobacteria,,,,,
Acidithiobacillus thiooxidans,AF512812,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16684,--,Yes,Bacteria,,Proteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Gammaproteobacteria,,,,,
Acidithiobacillus thiooxidans,AF512813,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16685,--,Yes,Bacteria,,Proteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Gammaproteobacteria,,,,,
Acidithiobacillus thiooxidans,AF512814,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16686,--,Yes,Bacteria,,Proteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Gammaproteobacteria,,,,,
Acidithiobacillus thiooxidans,AF512815,77,33,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_16687,--,Yes,Bacteria,,Proteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Gammaproteobacteria,,,,,
Acidithiobacillus thiooxidans,AF512816,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16688,--,Yes,Bacteria,,Proteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Gammaproteobacteria,,,,,
