Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.family,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0
uncultured Thiotrichales bacterium,AY934214,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2789,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934215,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2790,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934216,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2791,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934217,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2792,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934218,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2793,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934219,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2794,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934220,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2795,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934221,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2796,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934222,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2797,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934223,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2798,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934224,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2799,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934225,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2800,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934226,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2801,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934227,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2802,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934228,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2803,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934229,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2804,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934230,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2805,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934231,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2806,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934232,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2807,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934233,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2808,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934234,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2809,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934235,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2810,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934236,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2811,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934237,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2812,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934238,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2813,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934239,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2814,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Chromatiales bacterium,AY934240,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2815,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Chromatiales bacterium,AY934241,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2816,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Chromatiales bacterium,AY934242,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2817,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Chromatiales bacterium,AY934243,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2818,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Thiotrichales bacterium,AY934246,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2821,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934247,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2822,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Chromatiales bacterium,AY934248,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2823,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured gamma proteobacterium,AY934249,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2824,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,uncultured,Arenicellaceae,,,,,
uncultured Chromatiales bacterium,AY934250,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2825,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Chromatiales bacterium,AY934253,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2826,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Thiotrichales bacterium,AY934254,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2827,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934255,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2828,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934256,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2829,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934258,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2831,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934259,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2832,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934260,72,36,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2833,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured marine bacterium,AY934261,72,36,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2834,--,Yes,Bacteria,,,Bdellovibrionales,Bdellovibrionota,Bdellovibrionaceae,Bdellovibrionia,,OM27 clade,,
uncultured Thiotrichales bacterium,AY934262,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2835,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934263,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2836,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934264,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2837,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Chromatiales bacterium,AY934265,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2838,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Chromatiales bacterium,AY934266,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2839,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Chromatiales bacterium,AY934267,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2840,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Chromatiales bacterium,AY934268,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2841,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Thiotrichales bacterium,AY934269,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2842,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Chromatiales bacterium,AY934270,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2843,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Thiotrichales bacterium,AY934271,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2844,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Chromatiales bacterium,AY934272,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2845,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Thiotrichales bacterium,AY934273,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2846,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Chromatiales bacterium,AY934275,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2847,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Chromatiales bacterium,AY934276,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2848,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Chromatiales bacterium,AY934277,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2849,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Chromatiales bacterium,AY934278,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2850,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Gammaproteobacteria Incertae Sedis,,Unknown Family,,uncultured,,
uncultured Thiotrichales bacterium,AY934279,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2851,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured Thiotrichales bacterium,AY934280,73,37,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2852,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiales,Piscirickettsiaceae,,Candidatus Endoecteinascidia,,,
uncultured beta proteobacterium,AY957959,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2975,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,Burkholderiaceae,,Polynucleobacter,,,
uncultured beta proteobacterium,AY957961,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2977,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,Burkholderiaceae,,Polynucleobacter,,,
uncultured beta proteobacterium,AY957965,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2979,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,Burkholderiaceae,,Polynucleobacter,,,
Rhodocyclus purpureus,AY957979,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2986,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,Rhodocyclaceae,,Rhodocyclus,,,
Staurastrum punctulatum,AY958085,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_2987,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,,Chloroplast,,,,
Buchnera aphidicola str. APS (Acyrthosiphon pisum),BA000003,73,33,40,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_3000,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Morganellaceae,,Buchnera,,,
Staphylococcus aureus subsp. aureus Mu50,BA000017,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3015,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcales,Staphylococcaceae,,Staphylococcus,,,
Staphylococcus aureus subsp. aureus Mu50,BA000017,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3016,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcales,Staphylococcaceae,,Staphylococcus,,,
Staphylococcus aureus subsp. aureus Mu50,BA000017,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3017,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcales,Staphylococcaceae,,Staphylococcus,,,
Nostoc sp. PCC 7120,BA000019,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3022,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,Nostocaceae,Cyanobacteriales,,Nostoc PCC-7524,,
Nostoc sp. PCC 7120,BA000019,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3023,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,Nostocaceae,Cyanobacteriales,,Nostoc PCC-7524,,
Nostoc sp. PCC 7120,BA000019,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3024,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,Nostocaceae,Cyanobacteriales,,Nostoc PCC-7524,,
Nostoc sp. PCC 7120,BA000019,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3025,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,Nostocaceae,Cyanobacteriales,,Nostoc PCC-7524,,
Nostoc sp. PCC 7120,BA000019,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3026,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,Nostocaceae,Cyanobacteriales,,Nostoc PCC-7524,,
Oceanobacillus iheyensis HTE831,BA000028,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3031,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Oceanobacillus,,,
Oceanobacillus iheyensis HTE831,BA000028,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3034,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Oceanobacillus,,,
Corynebacterium efficiens YS-314,BA000035,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3051,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Actinobacteriota,Corynebacteriaceae,,Corynebacterium,,,
Corynebacterium glutamicum ATCC 13032,BA000036,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3052,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Actinobacteriota,Corynebacteriaceae,,Corynebacterium,,,
Corynebacterium glutamicum ATCC 13032,BA000036,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3053,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Actinobacteriota,Corynebacteriaceae,,Corynebacterium,,,
Corynebacterium glutamicum ATCC 13032,BA000036,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3054,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Actinobacteriota,Corynebacteriaceae,,Corynebacterium,,,
Geobacillus kaustophilus HTA426,BA000043,73,35,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3061,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Geobacillus,,,
Geobacillus kaustophilus HTA426,BA000043,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3063,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Geobacillus,,,
Bacillus subtilis,D26185,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3067,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Bacillus subtilis,K00637,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3069,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Bacillus subtilis,K01390,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3072,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Bacillus subtilis,D84213,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3073,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Bacillus subtilis,U87792,73,29,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_3091,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Corynebacterium diphtheriae,BX248354,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3093,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Actinobacteriota,Corynebacteriaceae,,Corynebacterium,,,
Corynebacterium diphtheriae,BX248354,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3094,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Actinobacteriota,Corynebacteriaceae,,Corynebacterium,,,
Corynebacterium diphtheriae,BX248354,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3095,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Actinobacteriota,Corynebacteriaceae,,Corynebacterium,,,
Candidatus Blochmannia floridanus,BX248583,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3096,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Morganellaceae,,Candidatus Blochmannia,,,
Rhodopirellula baltica SH 1,BX294148,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3098,--,Yes,Bacteria,Planctomycetes,,,Planctomycetota,,Pirellulales,Rhodopirellula,Pirellulaceae,,
Prochlorococcus marinus str. MIT 9313,BX572095,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3123,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Cyanobacteriia,,Cyanobiaceae,,Prochlorococcus MIT9313,,
Prochlorococcus marinus str. MIT 9313,BX572096,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3124,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Cyanobacteriia,,Cyanobiaceae,,Prochlorococcus MIT9313,,
Prochlorococcus marinus str. MIT 9313,BX572100,73,29,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_3125,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Cyanobacteriia,,Cyanobiaceae,,Prochlorococcus MIT9313,,
Prochlorococcus marinus str. MIT 9313,BX572100,73,29,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_3126,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Cyanobacteriia,,Cyanobiaceae,,Prochlorococcus MIT9313,,
Mycobacterium tuberculosis H37Rv,BX842572,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3146,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Actinobacteriota,Mycobacteriaceae,,Mycobacterium,,,
Corynebacterium glutamicum ATCC 13032,BX927148,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3154,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Actinobacteriota,Corynebacteriaceae,,Corynebacterium,,,
Corynebacterium glutamicum ATCC 13032,BX927148,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3155,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Actinobacteriota,Corynebacteriaceae,,Corynebacterium,,,
Corynebacterium glutamicum ATCC 13032,BX927148,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3156,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Actinobacteriota,Corynebacteriaceae,,Corynebacterium,,,
