Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2
uncultured Bacteroidetes bacterium,AY933603,78,38,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2469,--,Yes,Bacteria,,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,,Bacteroidota,,
uncultured Bacteroidetes bacterium,AY933606,78,38,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2471,--,Yes,Bacteria,,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,,Bacteroidota,,
uncultured Bacteroidetes bacterium,AY933610,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2473,--,Yes,Bacteria,,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,,Bacteroidota,,
uncultured Bacteroidetes bacterium,AY933627,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2479,--,Yes,Bacteria,,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,,Bacteroidota,,
uncultured Bacteroidetes bacterium,AY933628,78,38,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2480,--,Yes,Bacteria,,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,,Bacteroidota,,
uncultured gamma proteobacterium,AY934107,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2691,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured gamma proteobacterium,AY934108,76,34,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_2692,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured gamma proteobacterium,AY934109,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2693,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Colwelliaceae bacterium,AY934110,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2694,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,,,
uncultured Colwelliaceae bacterium,AY934111,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2695,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,,,
uncultured Colwelliaceae bacterium,AY934112,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2696,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,,,
uncultured Colwelliaceae bacterium,AY934113,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2697,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,,,
uncultured Alteromonadaceae bacterium,AY934114,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2698,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,,,
uncultured Colwelliaceae bacterium,AY934115,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2699,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,,,
uncultured Colwelliaceae bacterium,AY934116,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2700,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,,,
uncultured gamma proteobacterium,AY934117,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2701,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Colwelliaceae bacterium,AY934118,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2702,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,,,
uncultured Colwelliaceae bacterium,AY934119,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2703,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,,,
uncultured gamma proteobacterium,AY934120,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2704,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Colwelliaceae bacterium,AY934121,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2705,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,,,
uncultured gamma proteobacterium,AY934122,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2706,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Alteromonadaceae bacterium,AY934123,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2707,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,,,
uncultured Alteromonadaceae bacterium,AY934124,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2708,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,,,
uncultured Alteromonadaceae bacterium,AY934125,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2709,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,,,
uncultured marine bacterium,AY934126,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2710,--,Yes,Bacteria,,,Bdellovibrionales,Bdellovibrionaceae,,Bdellovibrionota,Bdellovibrionia,OM27 clade
uncultured Alteromonadaceae bacterium,AY934127,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2711,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,,,
uncultured gamma proteobacterium,AY934128,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2712,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Alteromonadaceae bacterium,AY934129,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2713,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,,,
uncultured Alteromonadaceae bacterium,AY934130,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2714,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,,,
uncultured Alteromonadaceae bacterium,AY934131,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2715,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,,,
uncultured Alteromonadaceae bacterium,AY934132,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2716,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,,,
uncultured Pseudoalteromonas sp.,AY934133,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2717,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,,,
uncultured Alteromonadaceae bacterium,AY934134,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2718,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,,,
uncultured gamma proteobacterium,AY934135,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2719,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Pseudoalteromonas sp.,AY934136,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2720,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,,,
uncultured Alteromonadaceae bacterium,AY934137,76,34,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2721,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,,,
uncultured Thiotrichales bacterium,AY934282,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2853,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiaceae,Candidatus Endoecteinascidia,Piscirickettsiales,,
uncultured Thiotrichales bacterium,AY934284,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2854,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiaceae,Candidatus Endoecteinascidia,Piscirickettsiales,,
uncultured Thiotrichales bacterium,AY934285,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2855,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiaceae,Candidatus Endoecteinascidia,Piscirickettsiales,,
uncultured Chromatiales bacterium,AY934286,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2856,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured gamma proteobacterium,AY934292,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2857,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured gamma proteobacterium,AY934293,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2858,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured gamma proteobacterium,AY934294,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2859,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Chromatiales bacterium,AY934295,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2860,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934296,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2861,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934299,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2862,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934300,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2863,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934301,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2864,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934302,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2865,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934303,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2866,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934304,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2867,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Marinobacter sp.,AY934306,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2869,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Marinobacter,Marinobacteraceae,,
uncultured Marinobacter sp.,AY934308,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2871,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Marinobacter,Marinobacteraceae,,
uncultured Chromatiales bacterium,AY934312,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2875,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934313,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2876,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Marinobacter sp.,AY934318,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2879,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Marinobacter,Marinobacteraceae,,
uncultured Chromatiales bacterium,AY934319,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2880,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934320,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2881,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured gamma proteobacterium,AY934321,76,36,40,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_2882,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured gamma proteobacterium,AY934323,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2883,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Marinobacter sp.,AY934326,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2885,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Marinobacter,Marinobacteraceae,,
uncultured Chromatiales bacterium,AY934330,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2889,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934331,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2890,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured gamma proteobacterium,AY934332,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2891,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Chromatiales bacterium,AY934334,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2892,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934335,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2893,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934337,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2894,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured gamma proteobacterium,AY934338,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2895,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Chromatiales bacterium,AY934340,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2897,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934341,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2898,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured gamma proteobacterium,AY934343,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2899,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Marinobacter sp.,AY934345,76,40,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2900,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Marinobacter,Marinobacteraceae,,
uncultured Chromatiales bacterium,AY934348,76,38,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2903,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Marinobacter sp.,AY934349,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2904,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Marinobacter,Marinobacteraceae,,
uncultured gamma proteobacterium,AY934350,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2905,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Marinobacter sp.,AY934353,76,42,34,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2908,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Marinobacter,Marinobacteraceae,,
uncultured gamma proteobacterium,AY934354,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2909,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Marinobacter sp.,AY934358,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2911,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Marinobacter,Marinobacteraceae,,
uncultured gamma proteobacterium,AY934359,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2912,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Thiotrichales bacterium,AY934364,76,36,40,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_2914,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiaceae,Candidatus Endoecteinascidia,Piscirickettsiales,,
uncultured Chromatiales bacterium,AY934365,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2915,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934366,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2916,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Pseudoalteromonas sp.,AY934367,76,36,40,No,0,tRNA,0,(()()()),((()()())),--,No,CRW,--,CRW_t_B_2917,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,,,
uncultured Thiotrichales bacterium,AY934369,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2919,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiaceae,Candidatus Endoecteinascidia,Piscirickettsiales,,
uncultured Thiotrichales bacterium,AY934370,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2920,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiaceae,Candidatus Endoecteinascidia,Piscirickettsiales,,
uncultured Chromatiales bacterium,AY934373,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2923,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934374,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2924,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Chromatiales bacterium,AY934375,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2925,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Thiotrichales bacterium,AY934377,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2927,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiaceae,Candidatus Endoecteinascidia,Piscirickettsiales,,
uncultured Chromatiales bacterium,AY934378,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2928,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Thiotrichales bacterium,AY934380,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2930,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiaceae,Candidatus Endoecteinascidia,Piscirickettsiales,,
uncultured Pseudoalteromonas sp.,AY934384,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2934,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,,,
uncultured Thiotrichales bacterium,AY934388,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2937,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Piscirickettsiaceae,Candidatus Endoecteinascidia,Piscirickettsiales,,
uncultured Shewanellaceae bacterium,AY934392,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2940,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,
uncultured gamma proteobacterium,AY934394,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2941,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured gamma proteobacterium,AY934399,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2944,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Chromatiales bacterium,AY934400,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2945,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
uncultured Pseudoalteromonas sp.,AY934402,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2947,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,,,
uncultured Pseudoalteromonas sp.,AY934405,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2949,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,,,
uncultured gamma proteobacterium,AY934408,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2951,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured gamma proteobacterium,AY934413,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2956,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured gamma proteobacterium,AY934414,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2957,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured gamma proteobacterium,AY934415,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2958,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured gamma proteobacterium,AY934416,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2959,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured gamma proteobacterium,AY934418,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2960,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,
uncultured Shewanellaceae bacterium,AY934420,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2962,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,
