Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3
Parnassia laxmannii,AY935764,61,41,20,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_E_29698,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Humiria balsamifera,AY935786,61,41,20,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_E_29720,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Escherichia coli,DQ023207,69,39,30,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_30367,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,
Escherichia coli,DQ023212,67,37,30,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_30368,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,
Lamprocapnos spectabilis,DQ912915,61,39,22,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_31182,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Bradyrhizobium japonicum,AB282950,62,42,20,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_31417,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,,
Zymomonas mobilis,AF180145,67,39,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_31716,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Zymomonas,,,,
Streptococcus agalactiae,AF302130,69,29,40,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_32993,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,,
Streptococcus agalactiae,AF302131,70,28,42,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_32994,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,,
Acholeplasma laidlawii,--,70,30,40,No,0,tRNA,0,(()()()),(()()(())),--,No,RFAM,--,RFAM_t_B_35278,--,Yes,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,,,
