Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0,Taxonomy.SILVA.unknown 4
Burkholderia pseudomallei 1710b,CP000125,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3391,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,,Burkholderia-Caballeronia-Paraburkholderia,,,,,
Nitrosococcus oceani ATCC 19707,CP000127,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3392,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,Nitrosococcus,Nitrosococcales,Nitrosococcaceae,,,,
Nitrosococcus oceani ATCC 19707,CP000127,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3393,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,Nitrosococcus,Nitrosococcales,Nitrosococcaceae,,,,
Rhizobium etli CFN 42,CP000133,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3394,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,,,,
Rhizobium etli CFN 42,CP000133,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3395,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,,,,
Rhizobium etli CFN 42,CP000133,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3396,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,,,,
Rhizobium etli CFN 42,CP000133,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3397,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,,,,
Carboxydothermus hydrogenoformans Z-2901,CP000141,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3398,--,Yes,Bacteria,Firmicutes,,,,Carboxydothermus,Desulfotomaculia,Carboxydothermales,Carboxydothermaceae,,,
Carboxydothermus hydrogenoformans Z-2901,CP000141,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3400,--,Yes,Bacteria,Firmicutes,,,,Carboxydothermus,Desulfotomaculia,Carboxydothermales,Carboxydothermaceae,,,
Pelobacter carbinolicus DSM 2380,CP000142,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3401,--,Yes,Bacteria,,,Desulfuromonadales,,,Desulfobacterota,Desulfuromonadia,Syntrophotaleaceae,Syntrophotalea,,
Pelobacter carbinolicus DSM 2380,CP000142,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3402,--,Yes,Bacteria,,,Desulfuromonadales,,,Desulfobacterota,Desulfuromonadia,Syntrophotaleaceae,Syntrophotalea,,
Pelobacter carbinolicus DSM 2380,CP000142,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3403,--,Yes,Bacteria,,,Desulfuromonadales,,,Desulfobacterota,Desulfuromonadia,Syntrophotaleaceae,Syntrophotalea,,
Rhodobacter sphaeroides 2.4.1,CP000143,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3404,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,,,,,,
Rhodobacter sphaeroides 2.4.1,CP000143,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3405,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,,,,,,
Rhodobacter sphaeroides 2.4.1,CP000144,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3406,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,,,,,,
Rhodobacter sphaeroides 2.4.1,CP000144,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3407,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,,,,,,
Rhodobacter sphaeroides 2.4.1,CP000144,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3408,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,,,,,,
Geobacter metallireducens GS-15,CP000148,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3409,--,Yes,Bacteria,,,,Geobacteraceae,Geobacter,Desulfobacterota,Desulfuromonadia,Geobacterales,,,
Geobacter metallireducens GS-15,CP000148,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3410,--,Yes,Bacteria,,,,Geobacteraceae,Geobacter,Desulfobacterota,Desulfuromonadia,Geobacterales,,,
Geobacter metallireducens GS-15,CP000148,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3411,--,Yes,Bacteria,,,,Geobacteraceae,Geobacter,Desulfobacterota,Desulfuromonadia,Geobacterales,,,
Geobacter metallireducens GS-15,CP000148,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3412,--,Yes,Bacteria,,,,Geobacteraceae,Geobacter,Desulfobacterota,Desulfuromonadia,Geobacterales,,,
Hahella chejuensis KCTC 2396,CP000155,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3422,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Hahellaceae,Hahella,,,,,,
Hahella chejuensis KCTC 2396,CP000155,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3423,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Hahellaceae,Hahella,,,,,,
Hahella chejuensis KCTC 2396,CP000155,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3424,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Hahellaceae,Hahella,,,,,,
Hahella chejuensis KCTC 2396,CP000155,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3425,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Hahellaceae,Hahella,,,,,,
Hahella chejuensis KCTC 2396,CP000155,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3426,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Hahellaceae,Hahella,,,,,,
Hyphomonas neptunium ATCC 15444,CP000158,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3429,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,,,,,
Hyphomonas neptunium ATCC 15444,CP000158,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3430,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,,,,,
Rhodospirillum rubrum ATCC 11170,CP000230,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3432,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,,,,,,
Rhodospirillum rubrum ATCC 11170,CP000230,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3433,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,,,,,,
Moorella thermoacetica ATCC 39073,CP000232,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3434,--,Yes,Bacteria,Firmicutes,,,,Moorella,Moorellia,Moorellales,Moorellaceae,,,
Moorella thermoacetica ATCC 39073,CP000232,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3435,--,Yes,Bacteria,Firmicutes,,,,Moorella,Moorellia,Moorellales,Moorellaceae,,,
Baumannia cicadellinicola str. Hc (Homalodisca coagulata),CP000238,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3441,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,,,,,,Candidatus Baumannia,
Synechococcus sp. JA-3-3Ab,CP000239,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3443,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Eurycoccales,Leptococcaceae,Leptococcus JA-3-3Ab,,
Synechococcus sp. JA-3-3Ab,CP000239,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3444,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Eurycoccales,Leptococcaceae,Leptococcus JA-3-3Ab,,
Synechococcus sp. JA-2-3B'a(2-13),CP000240,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3447,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Eurycoccales,Leptococcaceae,Leptococcus JA-3-3Ab,,
Synechococcus sp. JA-2-3B'a(2-13),CP000240,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3448,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Eurycoccales,Leptococcaceae,Leptococcus JA-3-3Ab,,
Helicobacter pylori HPAG1,CP000241,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3449,--,Yes,Bacteria,,,Campylobacterales,Helicobacteraceae,Helicobacter,Campylobacterota,Campylobacteria,,,,
Escherichia coli 536,CP000247,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3455,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Escherichia coli 536,CP000247,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3456,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Escherichia coli 536,CP000247,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3457,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Novosphingobium aromaticivorans DSM 12444,CP000248,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3458,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,,,,,
Novosphingobium aromaticivorans DSM 12444,CP000248,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3459,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,,,,,
Novosphingobium aromaticivorans DSM 12444,CP000248,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3460,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,,,,,
Novosphingobium aromaticivorans DSM 12444,CP000248,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3461,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,,,,,
Novosphingobium aromaticivorans DSM 12444,CP000248,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3462,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,,,,,
Rhodopseudomonas palustris HaA2,CP000250,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3465,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Rhodopseudomonas palustris HaA2,CP000250,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3466,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Rhodopseudomonas palustris HaA2,CP000250,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3467,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Anaeromyxobacter dehalogenans 2CP-C,CP000251,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3468,--,Yes,Bacteria,,,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Myxococcota,Myxococcia,,,,
Anaeromyxobacter dehalogenans 2CP-C,CP000251,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3469,--,Yes,Bacteria,,,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Myxococcota,Myxococcia,,,,
Anaeromyxobacter dehalogenans 2CP-C,CP000251,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3470,--,Yes,Bacteria,,,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Myxococcota,Myxococcia,,,,
Syntrophus aciditrophicus SB,CP000252,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3471,--,Yes,Bacteria,,,,Syntrophaceae,Syntrophus,Desulfobacterota,Syntrophia,Syntrophales,,,
Syntrophus aciditrophicus SB,CP000252,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3472,--,Yes,Bacteria,,,,Syntrophaceae,Syntrophus,Desulfobacterota,Syntrophia,Syntrophales,,,
Syntrophus aciditrophicus SB,CP000252,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3473,--,Yes,Bacteria,,,,Syntrophaceae,Syntrophus,Desulfobacterota,Syntrophia,Syntrophales,,,
Staphylococcus aureus subsp. aureus NCTC 8325,CP000253,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3474,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcaceae,Staphylococcus,Staphylococcales,,,,,
Staphylococcus aureus subsp. aureus NCTC 8325,CP000253,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3475,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcaceae,Staphylococcus,Staphylococcales,,,,,
Staphylococcus aureus subsp. aureus NCTC 8325,CP000253,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3476,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcaceae,Staphylococcus,Staphylococcales,,,,,
Staphylococcus aureus subsp. aureus USA300,CP000255,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3483,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcaceae,Staphylococcus,Staphylococcales,,,,,
Staphylococcus aureus subsp. aureus USA300,CP000255,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3484,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcaceae,Staphylococcus,Staphylococcales,,,,,
Staphylococcus aureus subsp. aureus USA300,CP000255,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3485,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcaceae,Staphylococcus,Staphylococcales,,,,,
Streptococcus pyogenes MGAS10270,CP000260,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3492,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,,,,
Streptococcus pyogenes MGAS10270,CP000260,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3493,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,,,,
Jannaschia sp. CCS1,CP000264,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3499,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,,,,,,
Jannaschia sp. CCS1,CP000264,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3500,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,,,,,,
Shigella flexneri 5 str. 8401,CP000266,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3501,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Rhodoferax ferrireducens T118,CP000267,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3502,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,,,,,,
Rhodoferax ferrireducens T118,CP000267,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3503,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,,,,,,
Rhodoferax ferrireducens T118,CP000267,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3504,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,,,,,,
Rhodopseudomonas palustris BisB5,CP000283,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3512,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Rhodopseudomonas palustris BisB5,CP000283,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3513,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Rhodopseudomonas palustris BisB5,CP000283,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3514,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Rhodopseudomonas palustris BisB5,CP000283,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3515,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Methylobacillus flagellatus KT,CP000284,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3516,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylobacillus,,,,,,
Methylobacillus flagellatus KT,CP000284,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3517,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylobacillus,,,,,,
Methylobacillus flagellatus KT,CP000284,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3518,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylobacillus,,,,,,
Chromohalobacter salexigens DSM 3043,CP000285,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3519,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Chromohalobacter,,,,,,
Chromohalobacter salexigens DSM 3043,CP000285,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3520,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Chromohalobacter,,,,,,
Chromohalobacter salexigens DSM 3043,CP000285,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3521,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Chromohalobacter,,,,,,
Chromohalobacter salexigens DSM 3043,CP000285,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3522,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Chromohalobacter,,,,,,
Chromohalobacter salexigens DSM 3043,CP000285,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3523,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Chromohalobacter,,,,,,
Chromohalobacter salexigens DSM 3043,CP000285,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3524,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Chromohalobacter,,,,,,
Chromohalobacter salexigens DSM 3043,CP000285,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3525,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Chromohalobacter,,,,,,
Rhodopseudomonas palustris BisB18,CP000301,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3531,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Rhodopseudomonas palustris BisB18,CP000301,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3532,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Rhodopseudomonas palustris BisB18,CP000301,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3533,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Rhodopseudomonas palustris BisB18,CP000301,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3534,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Shewanella denitrificans OS217,CP000302,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3535,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Shewanella denitrificans OS217,CP000302,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3536,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Shewanella denitrificans OS217,CP000302,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3537,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Shewanella denitrificans OS217,CP000302,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3538,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Shewanella denitrificans OS217,CP000302,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3539,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Yersinia pestis Nepal516,CP000305,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3540,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis Nepal516,CP000305,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3541,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis Nepal516,CP000305,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3542,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis Nepal516,CP000305,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3543,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis Antiqua,CP000308,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3544,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis Antiqua,CP000308,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3545,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis Antiqua,CP000308,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3546,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis Antiqua,CP000308,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3547,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Clostridium perfringens SM101,CP000312,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3548,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 1,,,,,
