Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.unknown 4,Taxonomy.SILVA.no rank 0
Shigella dysenteriae Sd197,CP000034,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10493,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella dysenteriae Sd197,CP000034,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10494,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella boydii Sb227,CP000036,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10495,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella boydii Sb227,CP000036,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10496,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella boydii Sb227,CP000036,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10497,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella boydii Sb227,CP000036,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10498,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella sonnei Ss046,CP000038,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10499,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella sonnei Ss046,CP000038,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10500,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella sonnei Ss046,CP000038,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10501,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella sonnei Ss046,CP000038,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10502,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Staphylococcus aureus subsp. aureus COL,CP000046,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10503,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcaceae,Staphylococcus,Staphylococcales,,,,,
Xanthomonas campestris pv. campestris str. 8004,CP000050,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10505,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,,
Rickettsia felis URRWXCal2,CP000053,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10508,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,,,,,,
Haemophilus influenzae 86-028NP,CP000057,75,31,44,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_10511,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,,,,,,
Haemophilus influenzae 86-028NP,CP000057,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10512,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,,,,,,
Pseudomonas syringae pv. syringae B728a,CP000075,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10514,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Colwellia psychrerythraea 34H,CP000083,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10521,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Colwellia,,,,,,
Colwellia psychrerythraea 34H,CP000083,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10522,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Colwellia,,,,,,
Rickettsia bellii RML369-C,CP000087,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10524,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,,,,,,
Pelodictyon luteolum DSM 273,CP000096,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10531,--,Yes,Bacteria,,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Bacteroidota,,,,,
Nitrosospira multiformis ATCC 25196,CP000103,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10536,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira,,,,,,
Ehrlichia canis str. Jake,CP000107,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10537,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,,,,,,
Myxococcus xanthus DK 1622,CP000113,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10543,--,Yes,Bacteria,,,Myxococcales,Myxococcaceae,Myxococcus,Myxococcota,Myxococcia,,,,
Streptococcus agalactiae A909,CP000114,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10547,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,,,,
Nitrobacter winogradskyi Nb-255,CP000115,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10549,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Nitrobacter,,,,,,
Nitrobacter winogradskyi Nb-255,CP000115,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10550,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Nitrobacter,,,,,,
Thiobacillus denitrificans ATCC 25259,CP000116,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10551,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Thiobacillus,,,,,,
Nitrosococcus oceani ATCC 19707,CP000127,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10554,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,Nitrosococcus,Nitrosococcales,Nitrosococcaceae,,,,
Nitrosococcus oceani ATCC 19707,CP000127,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10555,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,Nitrosococcus,Nitrosococcales,Nitrosococcaceae,,,,
Rhizobium etli CFN 42,CP000133,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10556,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,,,,
Rhizobium etli CFN 42,CP000133,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10557,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,,,,
Carboxydothermus hydrogenoformans Z-2901,CP000141,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10558,--,Yes,Bacteria,Firmicutes,,,,Carboxydothermus,Desulfotomaculia,Carboxydothermales,Carboxydothermaceae,,,
Carboxydothermus hydrogenoformans Z-2901,CP000141,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10559,--,Yes,Bacteria,Firmicutes,,,,Carboxydothermus,Desulfotomaculia,Carboxydothermales,Carboxydothermaceae,,,
Pelobacter carbinolicus DSM 2380,CP000142,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10560,--,Yes,Bacteria,,,Desulfuromonadales,,,Desulfobacterota,Desulfuromonadia,Syntrophotaleaceae,Syntrophotalea,,
Pelobacter carbinolicus DSM 2380,CP000142,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10561,--,Yes,Bacteria,,,Desulfuromonadales,,,Desulfobacterota,Desulfuromonadia,Syntrophotaleaceae,Syntrophotalea,,
Rhodobacter sphaeroides 2.4.1,CP000143,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10562,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,,,,,,
Rhodobacter sphaeroides 2.4.1,CP000143,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10563,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,,,,,,
Geobacter metallireducens GS-15,CP000148,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10564,--,Yes,Bacteria,,,,Geobacteraceae,Geobacter,Desulfobacterota,Desulfuromonadia,Geobacterales,,,
Geobacter metallireducens GS-15,CP000148,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10565,--,Yes,Bacteria,,,,Geobacteraceae,Geobacter,Desulfobacterota,Desulfuromonadia,Geobacterales,,,
Hahella chejuensis KCTC 2396,CP000155,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10569,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Hahellaceae,Hahella,,,,,,
Hyphomonas neptunium ATCC 15444,CP000158,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10571,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,,,,,
Salinibacter ruber DSM 13855,CP000159,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10572,--,Yes,Bacteria,,Rhodothermia,Rhodothermales,Rhodothermaceae,Salinibacter,Bacteroidota,,,,,
Rhodospirillum rubrum ATCC 11170,CP000230,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10573,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,,,,,,
Rhodospirillum rubrum ATCC 11170,CP000230,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10574,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,,,,,,
Moorella thermoacetica ATCC 39073,CP000232,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10576,--,Yes,Bacteria,Firmicutes,,,,Moorella,Moorellia,Moorellales,Moorellaceae,,,
Ehrlichia chaffeensis str. Arkansas,CP000236,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10582,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,,,,,,
Baumannia cicadellinicola str. Hc (Homalodisca coagulata),CP000238,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10585,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,,,,,,,Candidatus Baumannia
Helicobacter pylori HPAG1,CP000241,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10588,--,Yes,Bacteria,,,Campylobacterales,Helicobacteraceae,Helicobacter,Campylobacterota,Campylobacteria,,,,
Clostridium perfringens ATCC 13124,CP000246,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10593,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 1,,,,,
Clostridium perfringens ATCC 13124,CP000246,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10594,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 1,,,,,
Clostridium perfringens ATCC 13124,CP000246,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10595,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 1,,,,,
Escherichia coli 536,CP000247,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10596,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Escherichia coli 536,CP000247,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10597,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Novosphingobium aromaticivorans DSM 12444,CP000248,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10598,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,,,,,
Rhodopseudomonas palustris HaA2,CP000250,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10601,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Rhodopseudomonas palustris HaA2,CP000250,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10602,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Anaeromyxobacter dehalogenans 2CP-C,CP000251,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10603,--,Yes,Bacteria,,,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Myxococcota,Myxococcia,,,,
Anaeromyxobacter dehalogenans 2CP-C,CP000251,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10604,--,Yes,Bacteria,,,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Myxococcota,Myxococcia,,,,
Syntrophus aciditrophicus SB,CP000252,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10605,--,Yes,Bacteria,,,,Syntrophaceae,Syntrophus,Desulfobacterota,Syntrophia,Syntrophales,,,
Syntrophus aciditrophicus SB,CP000252,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10606,--,Yes,Bacteria,,,,Syntrophaceae,Syntrophus,Desulfobacterota,Syntrophia,Syntrophales,,,
Staphylococcus aureus subsp. aureus NCTC 8325,CP000253,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10608,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcaceae,Staphylococcus,Staphylococcales,,,,,
Staphylococcus aureus subsp. aureus USA300,CP000255,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10611,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcaceae,Staphylococcus,Staphylococcales,,,,,
Streptococcus pyogenes MGAS10270,CP000260,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10616,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,,,,
Shigella flexneri 5 str. 8401,CP000266,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10622,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella flexneri 5 str. 8401,CP000266,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10623,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella flexneri 5 str. 8401,CP000266,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10624,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella flexneri 5 str. 8401,CP000266,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10625,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Rhodopseudomonas palustris BisB5,CP000283,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10628,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Rhodopseudomonas palustris BisB5,CP000283,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10629,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Chromohalobacter salexigens DSM 3043,CP000285,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10632,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Chromohalobacter,,,,,,
Rhodopseudomonas palustris BisB18,CP000301,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10633,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Rhodopseudomonas palustris BisB18,CP000301,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10634,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,,,,,,
Shewanella denitrificans OS217,CP000302,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10635,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Shewanella denitrificans OS217,CP000302,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10636,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Shewanella denitrificans OS217,CP000302,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10637,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Yersinia pestis Nepal516,CP000305,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10638,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis Nepal516,CP000305,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10639,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis Nepal516,CP000305,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10640,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis Antiqua,CP000308,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10641,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis Antiqua,CP000308,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10642,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis Antiqua,CP000308,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10643,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Clostridium perfringens SM101,CP000312,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10644,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 1,,,,,
Clostridium perfringens SM101,CP000312,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10645,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 1,,,,,
Clostridium perfringens SM101,CP000312,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10646,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 1,,,,,
Nitrobacter hamburgensis X14,CP000319,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10647,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Nitrobacter,,,,,,
Nitrobacter hamburgensis X14,CP000319,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10648,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Nitrobacter,,,,,,
Mycobacterium ulcerans Agy99,CP000325,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10651,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteriota,,,,,
Mycobacterium ulcerans Agy99,CP000325,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10652,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteriota,,,,,
Sphingopyxis alaskensis RB2256,CP000356,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10655,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,,,,,,
Deinococcus geothermalis DSM 11300,CP000359,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10656,--,Yes,Bacteria,,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcota,,,,,
Deinococcus geothermalis DSM 11300,CP000359,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10657,--,Yes,Bacteria,,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcota,,,,,
Roseobacter denitrificans OCh 114,CP000362,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10658,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,,,,,,
Clostridium novyi NT,CP000382,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10661,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 7,,,,,
Clostridium novyi NT,CP000382,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10662,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 7,,,,,
Clostridium novyi NT,CP000382,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10663,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 7,,,,,
Mycobacterium sp. MCS,CP000384,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10666,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteriota,,,,,
Rubrobacter xylanophilus DSM 9941,CP000386,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10669,--,Yes,Bacteria,,Rubrobacteria,Rubrobacterales,,Rubrobacter,Actinobacteriota,Rubrobacteriaceae,,,,
Pseudoalteromonas atlantica T6c,CP000388,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10670,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,,,,,,
Pseudoalteromonas atlantica T6c,CP000388,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10671,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,,,,,,
Pseudoalteromonas atlantica T6c,CP000388,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10672,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,,,,,,
Granulibacter bethesdensis CGDNIH1,CP000394,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10676,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,,Acetobacteraceae,Granulibacter,Acetobacterales,,,,,
Granulibacter bethesdensis CGDNIH1,CP000394,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10677,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,,Acetobacteraceae,Granulibacter,Acetobacterales,,,,,
