Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.unknown 1
Pyrobaculum islandicum DSM 4184,CP000504,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3781,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Crenarchaeota <phylum>,Pyrobaculum islandicum DSM 4184,Pyrobaculum islandicum
Methanocorpusculum labreanum Z,CP000559,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3856,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Methanocorpusculum labreanum Z,
Methanocorpusculum labreanum Z,CP000559,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3857,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Methanocorpusculum labreanum Z,
Methanocorpusculum labreanum Z,CP000559,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3858,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Methanocorpusculum labreanum Z,
Methanocorpusculum labreanum Z,CP000559,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3859,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Methanocorpusculum labreanum Z,
Methanocorpusculum labreanum Z,CP000559,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3860,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Methanocorpusculum labreanum Z,
uncultured archaeon,CR626858,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3891,--,Yes,root,cellular organisms,Archaea,,,,,,,environmental samples <Archaea>,,uncultured archaeon
Natronomonas pharaonis DSM 2160,CR936257,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3908,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas pharaonis,Natronomonas pharaonis DSM 2160,
Natronomonas pharaonis DSM 2160,CR936257,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3909,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas pharaonis,Natronomonas pharaonis DSM 2160,
Natronomonas pharaonis DSM 2160,CR936257,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3910,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas pharaonis,Natronomonas pharaonis DSM 2160,
uncultured archaeon,DQ186680,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4063,--,Yes,root,cellular organisms,Archaea,,,,,,,environmental samples <Archaea>,,uncultured archaeon
uncultured archaeon,DQ186681,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4064,--,Yes,root,cellular organisms,Archaea,,,,,,,environmental samples <Archaea>,,uncultured archaeon
Haloquadratum walsbyi,DQ314493,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4110,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,,
Haloquadratum walsbyi,DQ314494,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4111,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,,
Halobacterium salinarum,D32120,72,28,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_4357,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,,
Halobacterium salinarum,K02971,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_4358,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,,
Haloferax volcanii,M19341,71,27,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_4359,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
Haloferax volcanii,K02506,75,31,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_4360,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
Haloferax volcanii,K02507,75,31,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_4361,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
Haloferax volcanii,K02508,75,31,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_4362,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
Halobacterium salinarum,K00142,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4363,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,,
Haloferax mediterranei,AF093412,72,28,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_A_4364,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax mediterranei,,
Methanocaldococcus jannaschii DSM 2661,L77117,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4368,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Methanocaldococcus jannaschii DSM 2661,
Methanocaldococcus jannaschii DSM 2661,L77117,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4369,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Methanocaldococcus jannaschii DSM 2661,
Methanocaldococcus jannaschii DSM 2661,L77117,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4370,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Methanocaldococcus jannaschii DSM 2661,
Methanospirillum hungatei,M19342,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4381,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,,
Natronococcus amylolyticus,D43628,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4386,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,Natronococcus amylolyticus,,
Pyrococcus furiosus,L36458,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4406,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus,,
Thermococcus celer,M19344,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4431,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus celer,,
Methanococcus vannielii,X00083,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4459,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus vannielii,,
Halobacterium salinarum,X02703,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4464,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,,
Halobacterium salinarum,X03407,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4466,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,,
Thermoproteus tenax,X05069,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4470,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Crenarchaeota <phylum>,,Thermoproteus tenax
Thermoproteus tenax,X05070,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4471,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Crenarchaeota <phylum>,,Thermoproteus tenax
Methanothermobacter thermautotrophicus,X15364,75,31,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_A_4477,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter thermautotrophicus,,
Methanosarcina mazei,X69874,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4497,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,,
Natrialba magadii,X72495,75,31,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_4502,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,Natrialba magadii,,
Halococcus morrhuae,X72588,63,35,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4504,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus morrhuae,,
Archaeoglobus fulgidus DSM 4304,AE000782,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4621,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Archaeoglobus fulgidus DSM 4304,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,,
Methanosarcina mazei Go1,AE008384,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4654,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Methanosarcina mazei Go1,AE008384,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4655,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Pyrococcus furiosus DSM 3638,AE010241,76,32,44,No,0,tRNA,0,(()()()),((())()()),--,No,CRW,--,CRW_t_A_4674,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus furiosus DSM 3638,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus,,
Methanopyrus kandleri AV19,AE010382,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4676,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanopyrus kandleri AV19,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,,
Thermoplasma acidophilum,AL445065,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4893,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma acidophilum,,
uncultured methanogenic archaeon,AM114193,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4929,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,,,,,environmental samples <Euryarchaeota>,,uncultured methanogenic archaeon
Haloquadratum walsbyi DSM 16790,AM180088,73,29,44,No,0,tRNA,0,(()()()),((())()()),--,No,CRW,--,CRW_t_A_4932,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi DSM 16790,
Thermococcus kodakarensis KOD1,AP006878,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4988,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococcus kodakarensis KOD1,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus kodakarensis,,
Haloarcula marismortui ATCC 43049,AY596297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5058,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,Haloarcula marismortui ATCC 43049,
Pyrococcus horikoshii OT3,BA000001,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5073,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus horikoshii OT3,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,,
Thermoplasma volcanium GSS1,BA000011,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5084,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,Thermoplasma volcanium GSS1,
Methanosarcina barkeri str. Fusaro,CP000099,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5258,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri str. Fusaro,
Methanosarcina barkeri str. Fusaro,CP000099,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5259,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri str. Fusaro,
Methanosphaera stadtmanae DSM 3091,CP000102,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5260,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Methanosphaera stadtmanae DSM 3091,
Methanosphaera stadtmanae DSM 3091,CP000102,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5261,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Methanosphaera stadtmanae DSM 3091,
Methanospirillum hungatei JF-1,CP000254,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5328,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Methanospirillum hungatei JF-1,
Methanococcoides burtonii DSM 6242,CP000300,73,29,44,No,0,tRNA,0,(()()()),((())()()),--,No,CRW,--,CRW_t_A_5358,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242,
Hyperthermus butylicus DSM 5456,CP000493,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5492,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Crenarchaeota <phylum>,Hyperthermus butylicus DSM 5456,Hyperthermus butylicus
Methanocorpusculum labreanum Z,CP000559,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5534,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Methanocorpusculum labreanum Z,
Natronomonas pharaonis DSM 2160,CR936257,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5596,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas pharaonis,Natronomonas pharaonis DSM 2160,
Haloferax volcanii DS2,K02520,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5697,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,Haloferax volcanii DS2,
Methanocaldococcus jannaschii DSM 2661,L77117,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5703,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Methanocaldococcus jannaschii DSM 2661,
Halobacterium salinarum,X03195,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5710,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,,
Methanothermobacter thermautotrophicus,X06788,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5735,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter thermautotrophicus,,
Halobacterium salinarum,X03195,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5767,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,,
Methanothermobacter thermautotrophicus,X06788,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5770,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter thermautotrophicus,,
Methanosarcina mazei Go1,AE008384,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5919,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Pyrococcus furiosus DSM 3638,AE010266,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5936,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus furiosus DSM 3638,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus,,
Methanopyrus kandleri AV19,AE010362,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5938,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanopyrus kandleri AV19,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,,
Thermoplasma acidophilum,AL445065,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6164,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma acidophilum,,
uncultured methanogenic archaeon,AM114193,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6199,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,,,,,environmental samples <Euryarchaeota>,,uncultured methanogenic archaeon
Haloquadratum walsbyi DSM 16790,AM180088,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6203,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi DSM 16790,
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6254,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococcus kodakarensis KOD1,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus kodakarensis,,
Haloarcula marismortui ATCC 43049,AY596297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6356,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,Haloarcula marismortui ATCC 43049,
Haloarcula marismortui ATCC 43049,AY596297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6357,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,Haloarcula marismortui ATCC 43049,
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_6446,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus horikoshii OT3,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,,
Thermoplasma volcanium GSS1,BA000011,73,29,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_6455,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,Thermoplasma volcanium GSS1,
Sulfolobus acidocaldarius DSM 639,CP000077,70,32,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6626,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Crenarchaeota <phylum>,Sulfolobus acidocaldarius DSM 639,Sulfolobus acidocaldarius
Methanosarcina barkeri str. Fusaro,CP000099,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6652,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri str. Fusaro,
Methanosphaera stadtmanae DSM 3091,CP000102,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6653,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Methanosphaera stadtmanae DSM 3091,
Methanococcoides burtonii DSM 6242,CP000300,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6762,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242,
Hyperthermus butylicus DSM 5456,CP000493,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6902,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Crenarchaeota <phylum>,Hyperthermus butylicus DSM 5456,Hyperthermus butylicus
Methanocorpusculum labreanum Z,CP000559,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6942,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Methanocorpusculum labreanum Z,
Methanocorpusculum labreanum Z,CP000559,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6943,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Methanocorpusculum labreanum Z,
Natronomonas pharaonis DSM 2160,CR936257,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7019,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas pharaonis,Natronomonas pharaonis DSM 2160,
Haloferax volcanii,K00170,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7048,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
