Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.no rank 0,Taxonomy.ENA.class,Taxonomy.ENA.order,Taxonomy.ENA.family,Taxonomy.ENA.genus
Natronococcus amylolyticus,D43628,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4386,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus
Pyrococcus furiosus,L36458,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4406,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Thermococcus celer,M19344,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4431,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Methanococcus vannielii,X00083,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4459,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus
Halobacterium salinarum,X02703,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4464,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
Halobacterium salinarum,X03407,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4466,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
Thermoproteus tenax,X05069,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4470,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus
Thermoproteus tenax,X05070,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4471,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus
Methanothermobacter thermautotrophicus,X15364,75,31,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_A_4477,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter
Methanosarcina mazei,X69874,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4497,--,Yes,Archaea,Euryarchaeota,,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Natrialba magadii,X72495,75,31,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_4502,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae,Natrialba
Halococcus morrhuae,X72588,63,35,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4504,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halococcaceae,Halococcus
Archaeoglobus fulgidus DSM 4304,AE000782,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4621,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Methanosarcina mazei Go1,AE008384,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4654,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina mazei Go1,AE008384,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4655,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Pyrococcus furiosus DSM 3638,AE010241,76,32,44,No,0,tRNA,0,(()()()),((())()()),--,No,CRW,--,CRW_t_A_4674,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Methanopyrus kandleri AV19,AE010382,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4676,--,Yes,Archaea,Euryarchaeota,,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus
Thermoplasma acidophilum,AL445065,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4893,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
uncultured methanogenic archaeon,AM114193,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4929,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
Haloquadratum walsbyi DSM 16790,AM180088,73,29,44,No,0,tRNA,0,(()()()),((())()()),--,No,CRW,--,CRW_t_A_4932,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Thermococcus kodakarensis KOD1,AP006878,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_4988,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Haloarcula marismortui ATCC 43049,AY596297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5058,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Pyrococcus horikoshii OT3,BA000001,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5073,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Thermoplasma volcanium GSS1,BA000011,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5084,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
Methanosarcina barkeri str. Fusaro,CP000099,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5258,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina barkeri str. Fusaro,CP000099,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5259,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosphaera stadtmanae DSM 3091,CP000102,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5260,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Methanosphaera stadtmanae DSM 3091,CP000102,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5261,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Methanospirillum hungatei JF-1,CP000254,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5328,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanococcoides burtonii DSM 6242,CP000300,73,29,44,No,0,tRNA,0,(()()()),((())()()),--,No,CRW,--,CRW_t_A_5358,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Hyperthermus butylicus DSM 5456,CP000493,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5492,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Methanocorpusculum labreanum Z,CP000559,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5534,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum
Natronomonas pharaonis DSM 2160,CR936257,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5596,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Haloferax volcanii DS2,K02520,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5697,--,Yes,Archaea,Euryarchaeota,,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Methanocaldococcus jannaschii DSM 2661,L77117,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5703,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Halobacterium salinarum,X03195,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5710,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
Methanothermobacter thermautotrophicus,X06788,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5735,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter
Halobacterium salinarum,X03195,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5767,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
Methanothermobacter thermautotrophicus,X06788,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5770,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter
Methanosarcina mazei Go1,AE008384,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5919,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Pyrococcus furiosus DSM 3638,AE010266,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5936,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Methanopyrus kandleri AV19,AE010362,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_5938,--,Yes,Archaea,Euryarchaeota,,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus
Thermoplasma acidophilum,AL445065,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6164,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
uncultured methanogenic archaeon,AM114193,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6199,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
Haloquadratum walsbyi DSM 16790,AM180088,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6203,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6254,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Haloarcula marismortui ATCC 43049,AY596297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6356,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Haloarcula marismortui ATCC 43049,AY596297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6357,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_6446,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Thermoplasma volcanium GSS1,BA000011,73,29,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_6455,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
Sulfolobus acidocaldarius DSM 639,CP000077,70,32,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6626,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
Methanosarcina barkeri str. Fusaro,CP000099,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6652,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosphaera stadtmanae DSM 3091,CP000102,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6653,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Methanococcoides burtonii DSM 6242,CP000300,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6762,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Hyperthermus butylicus DSM 5456,CP000493,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6902,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Methanocorpusculum labreanum Z,CP000559,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6942,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum
Methanocorpusculum labreanum Z,CP000559,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_6943,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum
Natronomonas pharaonis DSM 2160,CR936257,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7019,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Haloferax volcanii,K00170,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7048,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Methanobacterium formicicum,AF443995,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7050,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium
Methanococcus vannielii,X00916,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7051,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus
Haloferax volcanii,K00170,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7126,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Methanocaldococcus jannaschii DSM 2661,L77117,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7129,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Thermococcus celer,L07321,78,34,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_7154,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Methanococcus vannielii,X00916,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7181,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus
Methanococcus vannielii,X00916,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7182,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus
Thermococcus celer,X07692,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7193,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Archaeoglobus fulgidus DSM 4304,AE000782,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7310,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Methanosarcina mazei Go1,AE008384,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7326,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina mazei Go1,AE008384,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7327,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina mazei Go1,AE008384,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7328,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Pyrococcus furiosus DSM 3638,AE010251,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7334,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Methanopyrus kandleri AV19,AE010398,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7335,--,Yes,Archaea,Euryarchaeota,,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus
uncultured methanogenic archaeon,AM114193,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7426,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
Haloquadratum walsbyi DSM 16790,AM180088,79,35,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7428,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Thermococcus kodakarensis KOD1,AP006878,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7452,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Pyrococcus horikoshii OT3,BA000001,75,31,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_7538,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Methanosarcina barkeri str. Fusaro,CP000099,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7620,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina barkeri str. Fusaro,CP000099,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7621,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanospirillum hungatei JF-1,CP000254,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7661,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanococcoides burtonii DSM 6242,CP000300,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7671,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Methanococcoides burtonii DSM 6242,CP000300,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7672,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Methanococcoides burtonii DSM 6242,CP000300,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7673,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Hyperthermus butylicus DSM 5456,CP000493,79,35,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7741,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Methanocorpusculum labreanum Z,CP000559,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7768,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum
Natronomonas pharaonis DSM 2160,CR936257,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7799,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Haloquadratum walsbyi,DQ314493,76,32,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_7899,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Haloquadratum walsbyi,DQ314494,76,32,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_7900,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Halobacterium salinarum,K02972,75,31,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_7925,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
Methanocaldococcus jannaschii DSM 2661,L77117,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_7927,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Pyrococcus furiosus DSM 3638,AB005747,77,35,42,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_7997,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Archaeoglobus fulgidus DSM 4304,AE000782,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8063,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Methanosarcina mazei Go1,AE008384,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8103,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina mazei Go1,AE008384,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8104,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina mazei Go1,AE008384,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8105,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Pyrococcus furiosus DSM 3638,AE010156,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8124,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Pyrococcus furiosus DSM 3638,AE010198,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8125,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Picrophilus torridus DSM 9790,AE017261,75,47,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8284,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus
uncultured methanogenic archaeon,AM114193,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8630,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
uncultured methanogenic archaeon,AM114193,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8631,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
Haloquadratum walsbyi DSM 16790,AM180088,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8636,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Haloquadratum walsbyi DSM 16790,AM180088,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8637,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8690,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8691,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Haloarcula marismortui ATCC 43049,AY596295,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8834,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Haloarcula marismortui ATCC 43049,AY596297,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8835,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Haloarcula marismortui ATCC 43049,AY596297,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8836,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8904,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
