Organism name,Length,Benchmark ID,Taxonomy.join.superkingdom,Taxonomy.join.phylum
Micromonospora echinospora,1373,CRW_16S_B_3122,Bacteria,Actinobacteria
Micromonospora matsumotoense,1364,CRW_16S_B_3125,Bacteria,Actinobacteria
Kocuria rosea,1309,CRW_16S_B_3187,Bacteria,Actinobacteria
Streptomyces cinnamonensis,1353,CRW_16S_B_3244,Bacteria,Actinobacteria
Rhodococcus erythropolis,1373,CRW_16S_B_3260,Bacteria,Actinobacteria
Nocardia abscessus,1321,CRW_16S_B_3335,Bacteria,Actinobacteria
uncultured Microbacterium sp.,1398,CRW_16S_B_3357,Bacteria,Actinobacteria
Micrococcus luteus,1329,CRW_16S_B_3364,Bacteria,Actinobacteria
Streptomyces rutgersensis,1347,CRW_16S_B_3476,Bacteria,Actinobacteria
Streptomyces lanatus,1347,CRW_16S_B_3478,Bacteria,Actinobacteria
Streptomyces cinnamonensis,1391,CRW_16S_B_3480,Bacteria,Actinobacteria
Micromonospora echinospora,1376,CRW_16S_B_3485,Bacteria,Actinobacteria
Streptomyces spiroverticillatus,1392,CRW_16S_B_3495,Bacteria,Actinobacteria
Streptomyces turgidiscabies,1386,CRW_16S_B_3496,Bacteria,Actinobacteria
Streptomyces albogriseolus,1386,CRW_16S_B_3505,Bacteria,Actinobacteria
Streptomyces scabiei,1396,CRW_16S_B_3506,Bacteria,Actinobacteria
Micrococcus luteus,1373,CRW_16S_B_3514,Bacteria,Actinobacteria
Micrococcus luteus,1270,CRW_16S_B_3548,Bacteria,Actinobacteria
Micrococcus luteus,1186,CRW_16S_B_3596,Bacteria,Actinobacteria
Dietzia maris,1316,CRW_16S_B_3707,Bacteria,Actinobacteria
Gordonia amarae,1367,CRW_16S_B_3803,Bacteria,Actinobacteria
Gordonia bronchialis,1262,CRW_16S_B_3806,Bacteria,Actinobacteria
Gordonia bronchialis,1393,CRW_16S_B_3807,Bacteria,Actinobacteria
Gordonia rubripertincta,1400,CRW_16S_B_3810,Bacteria,Actinobacteria
Gordonia sputi,1320,CRW_16S_B_3812,Bacteria,Actinobacteria
Gordonia sputi,1320,CRW_16S_B_3813,Bacteria,Actinobacteria
Gordonia sputi,1320,CRW_16S_B_3814,Bacteria,Actinobacteria
Gordonia terrae,1319,CRW_16S_B_3817,Bacteria,Actinobacteria
Gordonia terrae,1356,CRW_16S_B_3818,Bacteria,Actinobacteria
Kineococcus aurantiacus,1394,CRW_16S_B_3852,Bacteria,Actinobacteria
Kutzneria viridogrisea,1311,CRW_16S_B_3855,Bacteria,Actinobacteria
Leucobacter komagatae,1340,CRW_16S_B_3857,Bacteria,Actinobacteria
Luteococcus japonicus,1207,CRW_16S_B_3858,Bacteria,Actinobacteria
Mycobacterium celatum,1339,CRW_16S_B_3876,Bacteria,Actinobacteria
Mycobacterium gordonae,1072,CRW_16S_B_3888,Bacteria,Actinobacteria
Mycobacterium heidelbergense,1358,CRW_16S_B_3890,Bacteria,Actinobacteria
Mycobacterium lentiflavum,1224,CRW_16S_B_3896,Bacteria,Actinobacteria
Mycobacterium lentiflavum,1224,CRW_16S_B_3897,Bacteria,Actinobacteria
Mobiluncus curtisii,1330,CRW_16S_B_3924,Bacteria,Actinobacteria
Mycobacterium asiaticum,1371,CRW_16S_B_3961,Bacteria,Actinobacteria
Mycobacterium avium,1374,CRW_16S_B_3964,Bacteria,Actinobacteria
Mycobacterium avium,1360,CRW_16S_B_3965,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1365,CRW_16S_B_3966,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1362,CRW_16S_B_3967,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1372,CRW_16S_B_3968,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1365,CRW_16S_B_3969,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1367,CRW_16S_B_3970,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1336,CRW_16S_B_3971,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1369,CRW_16S_B_3972,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1367,CRW_16S_B_3973,Bacteria,Actinobacteria
Mycobacterium avium,1369,CRW_16S_B_3974,Bacteria,Actinobacteria
Mycobacterium avium,1374,CRW_16S_B_3975,Bacteria,Actinobacteria
Mycobacterium avium,1374,CRW_16S_B_3976,Bacteria,Actinobacteria
Mycobacterium avium,1372,CRW_16S_B_3977,Bacteria,Actinobacteria
Mycobacterium avium,1367,CRW_16S_B_3978,Bacteria,Actinobacteria
Mycobacterium avium,1365,CRW_16S_B_3981,Bacteria,Actinobacteria
Mycobacterium avium,1372,CRW_16S_B_3982,Bacteria,Actinobacteria
Mycobacterium sp.,1357,CRW_16S_B_4001,Bacteria,Actinobacteria
Mycobacterium conspicuum,1396,CRW_16S_B_4005,Bacteria,Actinobacteria
Mycobacterium gordonae,1376,CRW_16S_B_4022,Bacteria,Actinobacteria
Mycobacterium intracellulare,1374,CRW_16S_B_4029,Bacteria,Actinobacteria
Mycobacterium intracellulare,1366,CRW_16S_B_4030,Bacteria,Actinobacteria
Mycobacterium intracellulare,1374,CRW_16S_B_4031,Bacteria,Actinobacteria
Mycobacterium sp.,1363,CRW_16S_B_4032,Bacteria,Actinobacteria
Mycobacterium intracellulare,1372,CRW_16S_B_4039,Bacteria,Actinobacteria
Mycobacterium intracellulare,1369,CRW_16S_B_4040,Bacteria,Actinobacteria
Mycobacterium kansasii,1371,CRW_16S_B_4043,Bacteria,Actinobacteria
Mycobacterium malmoense,1367,CRW_16S_B_4059,Bacteria,Actinobacteria
Mycobacterium szulgai,1379,CRW_16S_B_4087,Bacteria,Actinobacteria
Mycobacterium xenopi,1376,CRW_16S_B_4108,Bacteria,Actinobacteria
Nocardia asteroides,1372,CRW_16S_B_4125,Bacteria,Actinobacteria
Nocardia brasiliensis,1366,CRW_16S_B_4131,Bacteria,Actinobacteria
Nocardia carnea,1367,CRW_16S_B_4136,Bacteria,Actinobacteria
Nocardia farcinica,1366,CRW_16S_B_4139,Bacteria,Actinobacteria
Nocardia farcinica,1366,CRW_16S_B_4140,Bacteria,Actinobacteria
Nocardia farcinica,1366,CRW_16S_B_4141,Bacteria,Actinobacteria
Nocardia nova,1367,CRW_16S_B_4144,Bacteria,Actinobacteria
Nocardia otitidiscaviarum,1366,CRW_16S_B_4146,Bacteria,Actinobacteria
Nocardia seriolae,1368,CRW_16S_B_4151,Bacteria,Actinobacteria
Nocardia transvalensis,1366,CRW_16S_B_4153,Bacteria,Actinobacteria
Pseudonocardia alni,1345,CRW_16S_B_4201,Bacteria,Actinobacteria
Pseudonocardia autotrophica,1332,CRW_16S_B_4202,Bacteria,Actinobacteria
Pseudonocardia hydrocarbonoxydans,1310,CRW_16S_B_4204,Bacteria,Actinobacteria
Pseudonocardia thermophila,1299,CRW_16S_B_4208,Bacteria,Actinobacteria
Pseudonocardia thermophila,1246,CRW_16S_B_4209,Bacteria,Actinobacteria
Rhodococcus coprophilus,1321,CRW_16S_B_4217,Bacteria,Actinobacteria
Rhodococcus erythropolis,1367,CRW_16S_B_4226,Bacteria,Actinobacteria
Rhodococcus erythropolis,1314,CRW_16S_B_4228,Bacteria,Actinobacteria
Rhodococcus erythropolis,1366,CRW_16S_B_4229,Bacteria,Actinobacteria
Rhodococcus fascians,1314,CRW_16S_B_4232,Bacteria,Actinobacteria
Rhodococcus fascians,1316,CRW_16S_B_4233,Bacteria,Actinobacteria
Rhodococcus fascians,1338,CRW_16S_B_4234,Bacteria,Actinobacteria
Rhodococcus globerulus,1315,CRW_16S_B_4237,Bacteria,Actinobacteria
Rhodococcus globerulus,1324,CRW_16S_B_4239,Bacteria,Actinobacteria
Rhodococcus rhodnii,1369,CRW_16S_B_4250,Bacteria,Actinobacteria
Rhodococcus rhodochrous,1319,CRW_16S_B_4253,Bacteria,Actinobacteria
Rhodococcus rhodochrous,1320,CRW_16S_B_4254,Bacteria,Actinobacteria
Rhodococcus rhodochrous,1146,CRW_16S_B_4255,Bacteria,Actinobacteria
Streptomyces purpurogeneiscleroticus,1389,CRW_16S_B_426,Bacteria,Actinobacteria
Rhodococcus sp.,1119,CRW_16S_B_4265,Bacteria,Actinobacteria
Rhodococcus zopfii,1319,CRW_16S_B_4268,Bacteria,Actinobacteria
Renibacterium salmoninarum,1054,CRW_16S_B_4269,Bacteria,Actinobacteria
Saccharomonospora viridis,1376,CRW_16S_B_4296,Bacteria,Actinobacteria
Saccharopolyspora hirsuta,1381,CRW_16S_B_4306,Bacteria,Actinobacteria
Saccharopolyspora hirsuta,1284,CRW_16S_B_4307,Bacteria,Actinobacteria
Saccharopolyspora hordei,1340,CRW_16S_B_4308,Bacteria,Actinobacteria
Saccharopolyspora rectivirgula,1260,CRW_16S_B_4309,Bacteria,Actinobacteria
Saccharopolyspora rectivirgula,1246,CRW_16S_B_4310,Bacteria,Actinobacteria
Streptomyces abikoensis,1177,CRW_16S_B_4363,Bacteria,Actinobacteria
Streptomyces albus,1242,CRW_16S_B_4366,Bacteria,Actinobacteria
Streptomyces brasiliensis,1239,CRW_16S_B_4372,Bacteria,Actinobacteria
Streptomyces cinnamoneus,1181,CRW_16S_B_4375,Bacteria,Actinobacteria
Streptomyces cinnamoneus,1224,CRW_16S_B_4376,Bacteria,Actinobacteria
Streptomyces diastaticus,1193,CRW_16S_B_4383,Bacteria,Actinobacteria
Streptomyces lavendulae,1186,CRW_16S_B_4396,Bacteria,Actinobacteria
Streptomyces mobaraensis,1197,CRW_16S_B_4401,Bacteria,Actinobacteria
Streptomyces mobaraensis,1192,CRW_16S_B_4405,Bacteria,Actinobacteria
Streptomyces purpureus,1190,CRW_16S_B_4413,Bacteria,Actinobacteria
Acrocarpospora corrugata,1341,CRW_16S_B_4470,Bacteria,Actinobacteria
Streptosporangium nondiastaticum,1342,CRW_16S_B_4478,Bacteria,Actinobacteria
Streptomyces fumanus,1341,CRW_16S_B_448,Bacteria,Actinobacteria
Streptosporangium pseudovulgare,1345,CRW_16S_B_4481,Bacteria,Actinobacteria
Streptosporangium roseum,1322,CRW_16S_B_4486,Bacteria,Actinobacteria
Streptomyces griseorubiginosus,1395,CRW_16S_B_450,Bacteria,Actinobacteria
Terrabacter tumescens,1399,CRW_16S_B_4508,Bacteria,Actinobacteria
Tsukamurella paurometabola,1341,CRW_16S_B_4515,Bacteria,Actinobacteria
Tsukamurella paurometabola,1324,CRW_16S_B_4516,Bacteria,Actinobacteria
Tsukamurella paurometabola,1341,CRW_16S_B_4520,Bacteria,Actinobacteria
Acetobacter orientalis,1390,CRW_16S_B_4547,Bacteria,Proteobacteria
Streptomyces olivaceoviridis,1268,CRW_16S_B_462,Bacteria,Actinobacteria
Streptomyces olivochromogenes,1178,CRW_16S_B_463,Bacteria,Actinobacteria
Brevundimonas diminuta,1343,CRW_16S_B_4676,Bacteria,Proteobacteria
Brevundimonas diminuta,1318,CRW_16S_B_4677,Bacteria,Proteobacteria
Aminobacter aminovorans,1352,CRW_16S_B_4678,Bacteria,Proteobacteria
Bradyrhizobium elkanii,1382,CRW_16S_B_4778,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1393,CRW_16S_B_4779,Bacteria,Proteobacteria
Bradyrhizobium elkanii,1373,CRW_16S_B_4780,Bacteria,Proteobacteria
Bradyrhizobium elkanii,1391,CRW_16S_B_4781,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1387,CRW_16S_B_4782,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1399,CRW_16S_B_4830,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1399,CRW_16S_B_4831,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1399,CRW_16S_B_4832,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1399,CRW_16S_B_4833,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1400,CRW_16S_B_4834,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1400,CRW_16S_B_4835,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1399,CRW_16S_B_4836,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1400,CRW_16S_B_4837,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1400,CRW_16S_B_4838,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1399,CRW_16S_B_4839,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1400,CRW_16S_B_4840,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1398,CRW_16S_B_4841,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1397,CRW_16S_B_4842,Bacteria,Proteobacteria
Bradyrhizobium japonicum,1396,CRW_16S_B_4843,Bacteria,Proteobacteria
uncultured Methylobacterium sp.,1304,CRW_16S_B_4845,Bacteria,Proteobacteria
uncultured Sphingomonas sp.,1304,CRW_16S_B_4846,Bacteria,Proteobacteria
Acidiphilium rubrum,1073,CRW_16S_B_4916,Bacteria,Proteobacteria
Zymomonas mobilis,1134,CRW_16S_B_4955,Bacteria,Proteobacteria
Brevundimonas intermedia,1323,CRW_16S_B_5020,Bacteria,Proteobacteria
Brevundimonas bullata,1367,CRW_16S_B_5342,Bacteria,Proteobacteria
Xanthobacter autotrophicus,1384,CRW_16S_B_5391,Bacteria,Proteobacteria
Streptomyces coeruleorubidus,1478,CRW_16S_B_1000,Bacteria,Actinobacteria
Streptomyces cinnamoneus,1475,CRW_16S_B_1001,Bacteria,Actinobacteria
Streptomyces purpurascens,1477,CRW_16S_B_1002,Bacteria,Actinobacteria
Streptomyces mashuensis,1461,CRW_16S_B_1003,Bacteria,Actinobacteria
Streptomyces ipomoeae,1463,CRW_16S_B_1008,Bacteria,Actinobacteria
Streptomyces purpurascens,1473,CRW_16S_B_1010,Bacteria,Actinobacteria
Streptomyces cyaneofuscatus,1436,CRW_16S_B_1011,Bacteria,Actinobacteria
Streptococcus mitis,1430,CRW_16S_B_10051,Bacteria,Firmicutes
Streptococcus mitis,1428,CRW_16S_B_10052,Bacteria,Firmicutes
Streptococcus mitis,1430,CRW_16S_B_10053,Bacteria,Firmicutes
Streptococcus sanguinis,1428,CRW_16S_B_10054,Bacteria,Firmicutes
Streptococcus cristatus,1428,CRW_16S_B_10055,Bacteria,Firmicutes
Streptomyces alboflavus,1455,CRW_16S_B_1012,Bacteria,Actinobacteria
Streptomyces griseocarneus,1463,CRW_16S_B_1014,Bacteria,Actinobacteria
Bacillus licheniformis,1403,CRW_16S_B_10097,Bacteria,Firmicutes
Bacillus licheniformis,1414,CRW_16S_B_10098,Bacteria,Firmicutes
Paenibacillus polymyxa,1431,CRW_16S_B_10106,Bacteria,Firmicutes
Streptomyces orinoci,1469,CRW_16S_B_1017,Bacteria,Actinobacteria
Bacillus cereus,1476,CRW_16S_B_10110,Bacteria,Firmicutes
Streptococcus anginosus,1470,CRW_16S_B_10112,Bacteria,Firmicutes
Bacillus cereus,1408,CRW_16S_B_10114,Bacteria,Firmicutes
Streptomyces exfoliatus,1452,CRW_16S_B_1019,Bacteria,Actinobacteria
Streptococcus alactolyticus,1427,CRW_16S_B_10131,Bacteria,Firmicutes
Streptomyces mobaraensis,1473,CRW_16S_B_1021,Bacteria,Actinobacteria
Paenibacillus polymyxa,1445,CRW_16S_B_10164,Bacteria,Firmicutes
Paenibacillus polymyxa,1440,CRW_16S_B_10165,Bacteria,Firmicutes
Paenibacillus polymyxa,1441,CRW_16S_B_10166,Bacteria,Firmicutes
Paenibacillus polymyxa,1441,CRW_16S_B_10167,Bacteria,Firmicutes
Paenibacillus polymyxa,1439,CRW_16S_B_10168,Bacteria,Firmicutes
Paenibacillus polymyxa,1440,CRW_16S_B_10169,Bacteria,Firmicutes
Streptomyces cyaneus,1458,CRW_16S_B_1023,Bacteria,Actinobacteria
Paenibacillus polymyxa,1437,CRW_16S_B_10170,Bacteria,Firmicutes
Paenibacillus polymyxa,1440,CRW_16S_B_10171,Bacteria,Firmicutes
Paenibacillus polymyxa,1441,CRW_16S_B_10172,Bacteria,Firmicutes
Paenibacillus polymyxa,1438,CRW_16S_B_10173,Bacteria,Firmicutes
Paenibacillus polymyxa,1440,CRW_16S_B_10174,Bacteria,Firmicutes
Paenibacillus polymyxa,1438,CRW_16S_B_10175,Bacteria,Firmicutes
Paenibacillus polymyxa,1439,CRW_16S_B_10176,Bacteria,Firmicutes
Paenibacillus polymyxa,1441,CRW_16S_B_10177,Bacteria,Firmicutes
Paenibacillus polymyxa,1441,CRW_16S_B_10178,Bacteria,Firmicutes
Paenibacillus polymyxa,1442,CRW_16S_B_10179,Bacteria,Firmicutes
Streptomyces purpurascens,1466,CRW_16S_B_1024,Bacteria,Actinobacteria
Paenibacillus polymyxa,1441,CRW_16S_B_10180,Bacteria,Firmicutes
Paenibacillus polymyxa,1441,CRW_16S_B_10181,Bacteria,Firmicutes
Paenibacillus polymyxa,1440,CRW_16S_B_10182,Bacteria,Firmicutes
Paenibacillus polymyxa,1439,CRW_16S_B_10183,Bacteria,Firmicutes
Paenibacillus polymyxa,1437,CRW_16S_B_10184,Bacteria,Firmicutes
Paenibacillus polymyxa,1438,CRW_16S_B_10185,Bacteria,Firmicutes
Paenibacillus polymyxa,1438,CRW_16S_B_10186,Bacteria,Firmicutes
Streptomyces anulatus,1475,CRW_16S_B_1025,Bacteria,Actinobacteria
Streptomyces chryseus,1477,CRW_16S_B_1026,Bacteria,Actinobacteria
Streptomyces iakyrus,1475,CRW_16S_B_1027,Bacteria,Actinobacteria
Bacillus mycoides,1452,CRW_16S_B_10216,Bacteria,Firmicutes
Streptomyces roseus,1453,CRW_16S_B_1029,Bacteria,Actinobacteria
Staphylococcus cohnii,1467,CRW_16S_B_10252,Bacteria,Firmicutes
Streptomyces variabilis,1479,CRW_16S_B_1034,Bacteria,Actinobacteria
Bacillus subtilis,1428,CRW_16S_B_10305,Bacteria,Firmicutes
Bacillus subtilis,1424,CRW_16S_B_10306,Bacteria,Firmicutes
Bacillus pumilus,1424,CRW_16S_B_10309,Bacteria,Firmicutes
Bacillus pumilus,1431,CRW_16S_B_10311,Bacteria,Firmicutes
Bacillus subtilis,1425,CRW_16S_B_10312,Bacteria,Firmicutes
Streptococcus gordonii,1479,CRW_16S_B_10320,Bacteria,Firmicutes
Bacillus licheniformis,1405,CRW_16S_B_10365,Bacteria,Firmicutes
Micromonospora chaiyaphumensis,1437,CRW_16S_B_1053,Bacteria,Actinobacteria
Streptococcus cristatus,1469,CRW_16S_B_10475,Bacteria,Firmicutes
Streptococcus parauberis,1471,CRW_16S_B_10476,Bacteria,Firmicutes
Streptococcus dysgalactiae,1471,CRW_16S_B_10477,Bacteria,Firmicutes
Micromonospora chaiyaphumensis,1436,CRW_16S_B_1054,Bacteria,Actinobacteria
Micromonospora chaiyaphumensis,1437,CRW_16S_B_1055,Bacteria,Actinobacteria
Micromonospora marina,1437,CRW_16S_B_1056,Bacteria,Actinobacteria
Micromonospora marina,1435,CRW_16S_B_1057,Bacteria,Actinobacteria
Micromonospora marina,1437,CRW_16S_B_1058,Bacteria,Actinobacteria
Micromonospora krabiensis,1440,CRW_16S_B_1059,Bacteria,Actinobacteria
Micromonospora krabiensis,1437,CRW_16S_B_1060,Bacteria,Actinobacteria
Nocardia brasiliensis,1478,CRW_16S_B_1062,Bacteria,Actinobacteria
Nocardia brasiliensis,1425,CRW_16S_B_1063,Bacteria,Actinobacteria
Nocardia transvalensis,1434,CRW_16S_B_1064,Bacteria,Actinobacteria
Nocardia transvalensis,1414,CRW_16S_B_1065,Bacteria,Actinobacteria
Bacillus subtilis,1437,CRW_16S_B_10595,Bacteria,Firmicutes
Nocardia otitidiscaviarum,1452,CRW_16S_B_1067,Bacteria,Actinobacteria
Bacillus marisflavi,1471,CRW_16S_B_10620,Bacteria,Firmicutes
Bacillus aquimaris,1471,CRW_16S_B_10623,Bacteria,Firmicutes
Bacillus cereus,1413,CRW_16S_B_10627,Bacteria,Firmicutes
Nocardia abscessus,1407,CRW_16S_B_1073,Bacteria,Actinobacteria
Lactococcus lactis,1475,CRW_16S_B_10675,Bacteria,Firmicutes
Geobacillus stearothermophilus,1464,CRW_16S_B_10683,Bacteria,Firmicutes
Streptococcus gallolyticus,1477,CRW_16S_B_10686,Bacteria,Firmicutes
Streptomyces kanamyceticus,1474,CRW_16S_B_1077,Bacteria,Actinobacteria
Streptomyces hygroscopicus,1475,CRW_16S_B_1078,Bacteria,Actinobacteria
Streptomyces hygroscopicus,1477,CRW_16S_B_1079,Bacteria,Actinobacteria
Streptococcus anginosus,1438,CRW_16S_B_10745,Bacteria,Firmicutes
Streptococcus iniae,1477,CRW_16S_B_10802,Bacteria,Firmicutes
Paenibacillus polymyxa,1466,CRW_16S_B_10807,Bacteria,Firmicutes
Lactococcus lactis,1415,CRW_16S_B_10819,Bacteria,Firmicutes
Streptomyces purpurascens,1447,CRW_16S_B_1092,Bacteria,Actinobacteria
Bacillus subtilis,1439,CRW_16S_B_10896,Bacteria,Firmicutes
uncultured Enterococcus sp.,1470,CRW_16S_B_10928,Bacteria,Firmicutes
uncultured Enterococcus sp.,1470,CRW_16S_B_10929,Bacteria,Firmicutes
uncultured Enterococcus sp.,1470,CRW_16S_B_10930,Bacteria,Firmicutes
uncultured Enterococcus sp.,1470,CRW_16S_B_10931,Bacteria,Firmicutes
uncultured Enterococcus sp.,1470,CRW_16S_B_10932,Bacteria,Firmicutes
uncultured Enterococcus sp.,1469,CRW_16S_B_10933,Bacteria,Firmicutes
uncultured Enterococcus sp.,1472,CRW_16S_B_10934,Bacteria,Firmicutes
uncultured Enterococcus sp.,1467,CRW_16S_B_10935,Bacteria,Firmicutes
uncultured Enterococcus sp.,1469,CRW_16S_B_10936,Bacteria,Firmicutes
Actinoplanes capillaceus,1480,CRW_16S_B_11,Bacteria,Actinobacteria
Bacillus licheniformis,1469,CRW_16S_B_10973,Bacteria,Firmicutes
Bacillus licheniformis,1480,CRW_16S_B_10974,Bacteria,Firmicutes
Bacillus licheniformis,1478,CRW_16S_B_10975,Bacteria,Firmicutes
Bacillus licheniformis,1474,CRW_16S_B_10977,Bacteria,Firmicutes
Streptococcus gallolyticus,1477,CRW_16S_B_11017,Bacteria,Firmicutes
Streptococcus gallolyticus,1419,CRW_16S_B_11018,Bacteria,Firmicutes
Bacillus licheniformis,1470,CRW_16S_B_11020,Bacteria,Firmicutes
Bacillus licheniformis,1475,CRW_16S_B_11021,Bacteria,Firmicutes
Bacillus licheniformis,1435,CRW_16S_B_11022,Bacteria,Firmicutes
Bacillus subtilis subsp. natto,1435,CRW_16S_B_11034,Bacteria,Firmicutes
Streptomyces sclerotialus,1437,CRW_16S_B_1110,Bacteria,Actinobacteria
Bacillus licheniformis,1478,CRW_16S_B_11045,Bacteria,Firmicutes
Bacillus pumilus,1434,CRW_16S_B_11047,Bacteria,Firmicutes
Bacillus pumilus,1434,CRW_16S_B_11048,Bacteria,Firmicutes
Bacillus pumilus,1434,CRW_16S_B_11049,Bacteria,Firmicutes
Streptomyces lilacinus,1475,CRW_16S_B_1111,Bacteria,Actinobacteria
Bacillus subtilis,1473,CRW_16S_B_11054,Bacteria,Firmicutes
Bacillus subtilis,1461,CRW_16S_B_11055,Bacteria,Firmicutes
Streptomyces peucetius,1453,CRW_16S_B_1112,Bacteria,Actinobacteria
Bacillus subtilis,1440,CRW_16S_B_11062,Bacteria,Firmicutes
Bacillus subtilis,1459,CRW_16S_B_11064,Bacteria,Firmicutes
Bacillus subtilis,1463,CRW_16S_B_11065,Bacteria,Firmicutes
Streptomyces gardneri,1451,CRW_16S_B_1113,Bacteria,Actinobacteria
Bacillus subtilis,1421,CRW_16S_B_11071,Bacteria,Firmicutes
Streptomyces netropsis,1449,CRW_16S_B_1116,Bacteria,Actinobacteria
Enterococcus durans,1461,CRW_16S_B_11101,Bacteria,Firmicutes
Enterococcus durans,1438,CRW_16S_B_11103,Bacteria,Firmicutes
Staphylococcus lugdunensis,1444,CRW_16S_B_11104,Bacteria,Firmicutes
Staphylococcus lugdunensis,1475,CRW_16S_B_11105,Bacteria,Firmicutes
Staphylococcus lugdunensis,1452,CRW_16S_B_11106,Bacteria,Firmicutes
Bacillus cereus,1419,CRW_16S_B_11114,Bacteria,Firmicutes
Bacillus subtilis,1447,CRW_16S_B_11118,Bacteria,Firmicutes
Streptomyces abikoensis,1448,CRW_16S_B_1118,Bacteria,Actinobacteria
Bacillus subtilis,1465,CRW_16S_B_11123,Bacteria,Firmicutes
Bacillus subtilis,1462,CRW_16S_B_11125,Bacteria,Firmicutes
Bacillus pumilus,1434,CRW_16S_B_11127,Bacteria,Firmicutes
Streptomyces albus,1451,CRW_16S_B_1120,Bacteria,Actinobacteria
Bacillus subtilis,1455,CRW_16S_B_11145,Bacteria,Firmicutes
Streptococcus parauberis,1472,CRW_16S_B_11154,Bacteria,Firmicutes
Streptococcus parauberis,1446,CRW_16S_B_11155,Bacteria,Firmicutes
Streptococcus parauberis,1459,CRW_16S_B_11157,Bacteria,Firmicutes
Paenibacillus polymyxa,1436,CRW_16S_B_11158,Bacteria,Firmicutes
Bacillus pumilus,1471,CRW_16S_B_11165,Bacteria,Firmicutes
Streptomyces malaysiensis,1445,CRW_16S_B_1123,Bacteria,Actinobacteria
Streptomyces aureoverticillatus,1453,CRW_16S_B_1124,Bacteria,Actinobacteria
Streptomyces olivaceus,1454,CRW_16S_B_1125,Bacteria,Actinobacteria
Streptomyces spiroverticillatus,1451,CRW_16S_B_1126,Bacteria,Actinobacteria
Bacillus cereus,1479,CRW_16S_B_11207,Bacteria,Firmicutes
Streptomyces hiroshimensis,1449,CRW_16S_B_1127,Bacteria,Actinobacteria
Bacillus subtilis,1430,CRW_16S_B_11216,Bacteria,Firmicutes
Streptomyces netropsis,1449,CRW_16S_B_1128,Bacteria,Actinobacteria
Bacillus subtilis,1436,CRW_16S_B_11220,Bacteria,Firmicutes
Bacillus subtilis,1431,CRW_16S_B_11221,Bacteria,Firmicutes
Streptomyces turgidiscabies,1452,CRW_16S_B_1129,Bacteria,Actinobacteria
Streptomyces bobili,1451,CRW_16S_B_1130,Bacteria,Actinobacteria
Streptomyces thermocarboxydus,1453,CRW_16S_B_1131,Bacteria,Actinobacteria
Bacillus amyloliquefaciens,1428,CRW_16S_B_11320,Bacteria,Firmicutes
Bacillus anthracis,1452,CRW_16S_B_11321,Bacteria,Firmicutes
Bacillus atrophaeus,1429,CRW_16S_B_11326,Bacteria,Firmicutes
Bacillus badius,1442,CRW_16S_B_11331,Bacteria,Firmicutes
Bacillus badius,1435,CRW_16S_B_11332,Bacteria,Firmicutes
Bacillus badius,1434,CRW_16S_B_11333,Bacteria,Firmicutes
Brevibacillus agri,1419,CRW_16S_B_11334,Bacteria,Firmicutes
Brevibacillus borstelensis,1419,CRW_16S_B_11335,Bacteria,Firmicutes
Brevibacillus brevis,1419,CRW_16S_B_11337,Bacteria,Firmicutes
Brevibacillus brevis,1418,CRW_16S_B_11338,Bacteria,Firmicutes
Brevibacillus centrosporus,1419,CRW_16S_B_11339,Bacteria,Firmicutes
Brevibacillus choshinensis,1419,CRW_16S_B_11340,Bacteria,Firmicutes
Bacillus benzoevorans,1431,CRW_16S_B_11341,Bacteria,Firmicutes
Brevibacillus formosus,1419,CRW_16S_B_11342,Bacteria,Firmicutes
Brevibacillus laterosporus,1417,CRW_16S_B_11343,Bacteria,Firmicutes
Brevibacillus laterosporus,1470,CRW_16S_B_11344,Bacteria,Firmicutes
Brevibacillus laterosporus,1419,CRW_16S_B_11345,Bacteria,Firmicutes
Brevibacillus laterosporus,1464,CRW_16S_B_11346,Bacteria,Firmicutes
Brevibacillus parabrevis,1419,CRW_16S_B_11347,Bacteria,Firmicutes
