Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.species group,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.tribe,Taxonomy.NCBI.unknown 3,Taxonomy.NCBI.subfamily,Taxonomy.NCBI.no rank 5,Taxonomy.NCBI.species subgroup,Taxonomy.NCBI.suborder,Taxonomy.NCBI.kingdom,Taxonomy.NCBI.no rank 6,Taxonomy.NCBI.no rank 7,Taxonomy.NCBI.no rank 8,Taxonomy.NCBI.no rank 9,Taxonomy.NCBI.superclass,Taxonomy.NCBI.subclass,Taxonomy.NCBI.superorder,Taxonomy.NCBI.superfamily,Taxonomy.NCBI.no rank 10,Taxonomy.NCBI.no rank 11,Taxonomy.NCBI.no rank 12,Taxonomy.NCBI.no rank 13,Taxonomy.NCBI.no rank 14,Taxonomy.NCBI.no rank 15,Taxonomy.NCBI.no rank 16,Taxonomy.NCBI.subkingdom,Taxonomy.NCBI.infraclass,Taxonomy.NCBI.cohort,Taxonomy.NCBI.infraorder,Taxonomy.NCBI.varietas,Taxonomy.NCBI.subgenus,Taxonomy.NCBI.subtribe,Taxonomy.NCBI.subcohort,Taxonomy.NCBI.parvorder,Taxonomy.NCBI.unknown 4,Taxonomy.NCBI.unknown 5,Taxonomy.NCBI.no rank 17,Taxonomy.NCBI.no rank 18,Taxonomy.NCBI.unknown 6
Escherichia coli O157,BA000007,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_578,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,BA000007,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_579,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,BA000007,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_580,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,BA000007,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_581,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,BA000007,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_582,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,BA000007,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_583,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,BA000007,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_584,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,BA000007,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_585,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesorhizobium loti MAFF303099,BA000012,119,41,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_586,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesorhizobium loti MAFF303099,BA000012,119,41,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_587,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wigglesworthia glossinidia endosymbiont of Glossin,BA000021,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_588,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wigglesworthia glossinidia endosymbiont of Glossin,BA000021,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_589,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces avermitilis MA-4680,BA000030,126,50,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_590,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces avermitilis MA-4680,BA000030,126,50,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_591,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces avermitilis MA-4680,BA000030,126,50,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_592,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces avermitilis MA-4680,BA000030,126,50,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_593,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces avermitilis MA-4680,BA000030,126,50,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_594,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces avermitilis MA-4680,BA000030,126,50,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_595,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio parahaemolyticus,BA000031,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_596,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,,,,,Vibrio harveyi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio parahaemolyticus,BA000031,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_597,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,,,,,Vibrio harveyi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio parahaemolyticus,BA000031,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_598,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,,,,,Vibrio harveyi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio parahaemolyticus,BA000031,121,41,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_599,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,,,,,Vibrio harveyi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio parahaemolyticus,BA000031,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_600,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,,,,,Vibrio harveyi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio parahaemolyticus,BA000031,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_601,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,,,,,Vibrio harveyi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio parahaemolyticus,BA000031,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_602,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,,,,,Vibrio harveyi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio parahaemolyticus,BA000031,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_603,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,,,,,Vibrio harveyi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio parahaemolyticus,BA000031,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_604,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,,,,,Vibrio harveyi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio parahaemolyticus,BA000031,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_605,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,,,,,Vibrio harveyi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio parahaemolyticus,BA000031,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_606,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,,,,,Vibrio harveyi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio parahaemolyticus,BA000032,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_607,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,,,,,Vibrio harveyi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio vulnificus YJ016,BA000037,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_608,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,Vibrio vulnificus YJ016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio vulnificus YJ016,BA000037,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_609,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,Vibrio vulnificus YJ016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio vulnificus YJ016,BA000037,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_610,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,Vibrio vulnificus YJ016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio vulnificus YJ016,BA000037,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_611,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,Vibrio vulnificus YJ016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio vulnificus YJ016,BA000037,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_612,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,Vibrio vulnificus YJ016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio vulnificus YJ016,BA000037,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_613,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,Vibrio vulnificus YJ016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio vulnificus YJ016,BA000037,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_614,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,Vibrio vulnificus YJ016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio vulnificus YJ016,BA000037,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_615,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,Vibrio vulnificus YJ016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio vulnificus YJ016,BA000037,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_616,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,Vibrio vulnificus YJ016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrio vulnificus YJ016,BA000038,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_617,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,Vibrio vulnificus YJ016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermosynechococcus elongatus BP-1,BA000039,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_618,--,Yes,root,cellular organisms,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Thermosynechococcus,Thermosynechococcus elongatus,Terrabacteria group,,Cyanobacteria/Melainabacteria group,,,Thermosynechococcus elongatus BP-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradyrhizobium japonicum USDA 110,BA000040,119,41,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_619,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartonella bacilliformis,L08503,119,41,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_620,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella bacilliformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradyrhizobium japonicum,Z35330,119,41,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_621,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xanthobacter viscosus,M34774,118,42,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_622,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter,Xanthobacter viscosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mycobacterium bovis AF2122/97,BX248338,115,43,72,No,0,5S,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_623,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Blochmannia floridanus,BX248583,122,42,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_624,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Blochmannia,Candidatus Blochmannia floridanus,unclassified Enterobacteriaceae,,"ant, tsetse, mealybug, aphid, etc. endosymbionts",,,ant endosymbionts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Blochmannia floridanus,BX248584,122,42,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_625,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Blochmannia,Candidatus Blochmannia floridanus,unclassified Enterobacteriaceae,,"ant, tsetse, mealybug, aphid, etc. endosymbionts",,,ant endosymbionts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrosomonas europaea ATCC 19718,BX321856,118,42,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_626,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas europaea,Nitrosomonas europaea ATCC 19718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photorhabdus luminescens subsp. laumondii TTO1,BX571859,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_627,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photorhabdus luminescens subsp. laumondii TTO1,BX571860,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_628,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photorhabdus luminescens subsp. laumondii TTO1,BX571861,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_629,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photorhabdus luminescens subsp. laumondii TTO1,BX571863,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_630,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photorhabdus luminescens subsp. laumondii TTO1,BX571873,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_631,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photorhabdus luminescens subsp. laumondii TTO1,BX571874,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_632,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photorhabdus luminescens subsp. laumondii TTO1,BX571874,127,49,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_633,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photorhabdus luminescens subsp. laumondii TTO1,BX571874,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_634,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodopseudomonas palustris,BX572607,121,63,58,No,0,5S,0,()(),(((())))(()),--,No,CRW,--,CRW_5S_B_635,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodopseudomonas palustris,BX572608,121,63,58,No,0,5S,0,()(),(((())))(()),--,No,CRW,--,CRW_5S_B_636,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordetella pertussis,BX640417,115,41,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_637,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella pertussis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordetella pertussis,BX640418,115,41,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_638,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella pertussis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordetella pertussis,BX640420,115,41,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_639,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella pertussis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordetella parapertussis,BX640428,115,41,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_640,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella parapertussis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordetella parapertussis,BX640430,115,41,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_641,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella parapertussis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordetella parapertussis,BX640434,115,41,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_642,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella parapertussis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordetella bronchiseptica,BX640442,115,41,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_643,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella bronchiseptica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordetella bronchiseptica,BX640447,115,41,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_644,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella bronchiseptica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordetella bronchiseptica,BX640449,115,41,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_645,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella bronchiseptica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mycobacterium tuberculosis H37Rv,BX842576,115,43,72,No,0,5S,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_646,--,Yes,root,cellular organisms,Bacteria,,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteria <phylum>,Terrabacteria group,Actinobacteria <class>,Mycobacterium tuberculosis H37Rv,Mycobacterium tuberculosis,Mycobacterium tuberculosis complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartonella henselae,BX897699,119,41,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_647,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella henselae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartonella henselae,BX897699,119,41,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_648,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella henselae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartonella henselae,BX897699,119,41,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_649,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella henselae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartonella quintana,BX897700,119,41,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_650,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella quintana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
