Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.phylum,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0,Taxonomy.SILVA.unknown 4,Taxonomy.SILVA.subphylum,Taxonomy.SILVA.subclass,Taxonomy.SILVA.kingdom,Taxonomy.SILVA.subkingdom,Taxonomy.SILVA.no rank 1,Taxonomy.SILVA.no rank 2,Taxonomy.SILVA.unknown 5,Taxonomy.SILVA.no rank 3,Taxonomy.SILVA.unknown 6,Taxonomy.SILVA.infraclass,Taxonomy.SILVA.no rank 4,Taxonomy.SILVA.no rank 5,Taxonomy.SILVA.superclass,Taxonomy.SILVA.unknown 7,Taxonomy.SILVA.suborder,Taxonomy.SILVA.superorder,Taxonomy.SILVA.no rank 6
Haemophilus influenzae Rd KW20,L42023,110,44,66,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1168,--,Yes,Bacteria,,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Helicobacter pylori 26695,AE000511,122,42,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1169,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Helicobacteraceae,Helicobacter,,Campylobacteria,,,,,,,,,,,,,,,,,,,,,
Halothiobacillus neapolitanus,M11537,119,41,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1170,--,Yes,Bacteria,Halothiobacillales,Gammaproteobacteria,,Halothiobacillaceae,Halothiobacillus,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Hyphomicrobium sp.,M34769,119,41,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1171,--,Yes,Bacteria,,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Hyphomicrobium vulgare,M34768,119,41,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1172,--,Yes,Bacteria,,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Kutzneria albida,Z50736,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1173,--,Yes,Bacteria,Actinobacteriota,,Pseudonocardiales,Pseudonocardiaceae,Kutzneria,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Mycoplasma genitalium G37,L43967,104,46,58,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1174,--,Yes,Bacteria,,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Firmicutes,,,,,,,,,,,,,,,,,,,,,,
Legionella anisa,Z24682,92,54,38,No,0,5s,0,()(),(((())))(),--,No,CRW,--,CRW_5S_B_1175,--,Yes,Bacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Legionella brunensis,Z24683,92,54,38,No,0,5s,0,()(),(((())))(),--,No,CRW,--,CRW_5S_B_1176,--,Yes,Bacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Legionella brunensis,Z30536,92,54,38,No,0,5s,0,()(),(((())))(),--,No,CRW,--,CRW_5S_B_1177,--,Yes,Bacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Legionella cherrii,Z24684,92,54,38,No,0,5s,0,()(),(((())))(),--,No,CRW,--,CRW_5S_B_1178,--,Yes,Bacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Legionella erythra,Z24687,92,54,38,No,0,5s,0,()(),(((())))(),--,No,CRW,--,CRW_5S_B_1179,--,Yes,Bacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Listonella anguillarum,X00932,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1180,--,Yes,Bacteria,,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Listonella pelagia,X02251,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1181,--,Yes,Bacteria,,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Microbacterium testaceum,M16170,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1182,--,Yes,Bacteria,Actinobacteriota,,Micrococcales,Microbacteriaceae,Microbacterium,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Streptomyces cinereus,X54943,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1183,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Methylobacterium sp.,X03902,116,44,72,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1184,--,Yes,Bacteria,Methylobacterium-Methylorubrum,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Micrococcus luteus,K02682,119,41,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1185,--,Yes,Bacteria,Actinobacteriota,,Micrococcales,Micrococcaceae,Micrococcus,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Methylobacterium organophilum,M34770,115,43,72,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1186,--,Yes,Bacteria,Methylobacterium-Methylorubrum,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Mycobacterium leprae,AL583920,116,42,74,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1187,--,Yes,Bacteria,Actinobacteriota,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Mycobacterium phlei,X55259,119,45,74,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1188,--,Yes,Bacteria,Actinobacteriota,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Moritella marina,X02249,118,38,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1189,--,Yes,Bacteria,,Gammaproteobacteria,Enterobacterales,Moritellaceae,Moritella,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Mycobacterium smegmatis,Y08453,116,42,74,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1190,--,Yes,Bacteria,Actinobacteriota,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Mycobacterium smegmatis,X55251,118,44,74,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1191,--,Yes,Bacteria,Actinobacteriota,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Mycoplasma genitalium,U39694,118,46,72,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1192,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mycobacterium leprae,NC_002677,116,42,74,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1193,--,Yes,Bacteria,Actinobacteriota,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Brucella melitensis 16M,NC_003317,119,41,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1194,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brucella melitensis 16M,NC_003317,119,41,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1195,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brucella melitensis 16M,NC_003318,119,41,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1196,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amycolatopsis lactamdurans,AJ243302,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1197,--,Yes,Bacteria,Actinobacteriota,,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Neisseria meningitidis Z2491,AL162752,109,41,68,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1198,--,Yes,Bacteria,,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Neisseria meningitidis Z2491,AL162753,109,41,68,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1199,--,Yes,Bacteria,,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Neisseria meningitidis Z2491,AL162757,109,41,68,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1200,--,Yes,Bacteria,,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Neisseria meningitidis Z2491,AL162758,109,41,68,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1201,--,Yes,Bacteria,,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Nitrobacter winogradskyi,X06575,117,43,74,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1202,--,Yes,Bacteria,,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Nitrobacter,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Oerskovia turbata,X55263,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1203,--,Yes,Bacteria,Actinobacteriota,,Micrococcales,Cellulomonadaceae,Oerskovia,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Paracoccus denitrificans,X01501,117,41,76,No,0,5s,0,(()()),(((((()))))(())),--,No,CRW,--,CRW_5S_B_1204,--,Yes,Bacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa,X01556,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1205,--,Yes,Bacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Paracoccus versutus,M11543,116,42,74,No,0,5s,0,(()()),(((((()))))(())),--,No,CRW,--,CRW_5S_B_1206,--,Yes,Bacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Pseudonocardia compacta,Z50056,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1207,--,Yes,Bacteria,Actinobacteriota,,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Photobacterium damselae subsp. piscicida,AJ274379,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1208,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photobacterium angustum,X02256,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1209,--,Yes,Bacteria,,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Photobacterium,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Photobacterium damselae subsp. damselae,X02252,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1210,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photobacterium damselae subsp. damselae,AJ274380,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1211,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photobacterium sp.,X02022,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1212,--,Yes,Bacteria,,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Photobacterium,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Plesiomonas shigelloides,X02264,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1213,--,Yes,Bacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Photobacterium leiognathi,X02255,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1214,--,Yes,Bacteria,,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Photobacterium,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Polyangium cellulosum,X52303,119,41,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1215,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prauserella rugosa,Z50075,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1216,--,Yes,Bacteria,Actinobacteriota,,Pseudonocardiales,Pseudonocardiaceae,Prauserella,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa,K02353,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1217,--,Yes,Bacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas fluorescens,X01557,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1218,--,Yes,Bacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas stutzeri,M34776,118,42,76,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1219,--,Yes,Bacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas stutzeri,U65012,121,41,80,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_B_1220,--,Yes,Bacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Proteus vulgaris,X02039,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1221,--,Yes,Bacteria,,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Rhodobacter capsulatus,X03904,117,43,74,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1222,--,Yes,Bacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Rhodococcus erythropolis,X05057,121,43,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1223,--,Yes,Bacteria,Actinobacteriota,,Corynebacteriales,Nocardiaceae,Rhodococcus,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Rhodococcus fascians,X15126,121,43,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1224,--,Yes,Bacteria,Actinobacteriota,,Corynebacteriales,Nocardiaceae,Rhodococcus,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Renobacter vaculatum,M34773,116,44,72,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1225,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupriavidus necator,AJ131587,115,41,74,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1226,--,Yes,Bacteria,,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Ralstonia pickettii,AJ131600,115,41,74,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1227,--,Yes,Bacteria,,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Rhodopseudomonas palustris,X03903,119,41,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1228,--,Yes,Bacteria,,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Rhodospirillum rubrum,X02044,120,42,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1229,--,Yes,Bacteria,,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Rhodobacter sphaeroides,X05520,115,43,72,No,0,5s,0,(()()),(((((()))))(())),--,No,CRW,--,CRW_5S_B_1230,--,Yes,Bacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Clostridium botulinum,S51077,31,31,0,No,0,5s,0,--,--,--,No,CRW,--,CRW_5S_B_1231,--,Yes,Bacteria,Clostridium sensu stricto 18,Clostridia,Clostridiales,Clostridiaceae,,Firmicutes,,,,,,,,,,,,,,,,,,,,,,
Salmonella typhi,U04734,116,44,72,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1232,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella typhimurium,L14816,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1233,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella typhimurium LT2,AE008706,122,42,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1234,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella typhimurium LT2,AE008820,122,42,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1235,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella typhimurium LT2,AE008856,122,44,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1236,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella typhimurium LT2,AE008856,122,44,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1237,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella typhimurium LT2,AE008881,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1238,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella typhimurium LT2,AE008886,122,42,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1239,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella typhimurium LT2,AE008893,121,41,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1240,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella typhimurium LT2,AE008895,122,42,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1241,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces brasiliensis,X55269,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1242,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Streptomyces cinereus,X55266,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1243,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Streptomyces coelicolor A3(2),AL939108,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1244,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces coelicolor A3(2),AL939114,117,43,74,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1245,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces coelicolor A3(2),AL939116,119,43,76,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1246,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces coelicolor A3(2),AL939119,121,41,80,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1247,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces coelicolor A3(2),AL939124,119,41,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1248,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces galbus,X81577,22,22,0,No,0,5s,0,--,--,--,No,CRW,--,CRW_5S_B_1249,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Shewanella colwelliana,X15180,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1250,--,Yes,Bacteria,,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Shewanella hanedai,X15181,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1251,--,Yes,Bacteria,,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Shewanella putrefaciens,X02250,120,40,80,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1252,--,Yes,Bacteria,,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Streptomyces lividans,X58874,119,41,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1253,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Streptomyces mashuensis,X81578,23,23,0,No,0,5s,0,--,--,--,No,CRW,--,CRW_5S_B_1254,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Sinorhizobium meliloti,AL591782,120,42,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1255,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinorhizobium meliloti,AL591791,120,42,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1256,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinorhizobium meliloti,AL591792,120,42,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1257,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces sclerotialus,X55257,121,43,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1258,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Starkeya novella,M11544,120,42,78,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1259,--,Yes,Bacteria,,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Starkeya,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Stella humosa,X06577,117,43,74,No,0,5s,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_1260,--,Yes,Bacteria,Azospirillales,Alphaproteobacteria,,,Stella,Proteobacteria,Azospirillales Incertae Sedis,,,,,,,,,,,,,,,,,,,,,
Streptomyces brasiliensis,M59344,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1261,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Streptomyces cinereus,M59340,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1262,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Streptomyces griseus,V01347,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1263,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Streptomyces nodosus,AF114033,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1264,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Streptomyces sclerotialus,M59341,121,43,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1265,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Streptomyces sp.,M59338,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1266,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Streptomyces sp.,M59339,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1267,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
Streptomyces sp.,M59336,120,42,78,No,0,5s,0,(()()),(((((())))(()))),--,No,CRW,--,CRW_5S_B_1268,--,Yes,Bacteria,Actinobacteriota,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,,,,,,,,,,,,,,,,,,,,,,
