Organism name,Length,Benchmark ID,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order
Sweet potato little leaf phytoplasma,73,CRW_t_B_17138,Bacteria,Firmicutes,Bacilli,Acholeplasmatales
Lotus japonicus,72,CRW_t_E_17208,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Lotus japonicus,72,CRW_t_E_17211,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Saccharum officinarum,72,CRW_t_E_17224,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Saccharum officinarum,72,CRW_t_E_17225,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Oryza nivara,72,CRW_t_E_17230,Bacteria,Cyanobacteria,,
Oryza nivara,72,CRW_t_E_17231,Bacteria,Cyanobacteria,,
Populus alba,72,CRW_t_E_17281,Bacteria,Cyanobacteria,,
Populus alba,72,CRW_t_E_17282,Bacteria,Cyanobacteria,,
Adiantum capillus-veneris,72,CRW_t_E_17353,Bacteria,Cyanobacteria,,
Adiantum capillus-veneris,72,CRW_t_E_17355,Bacteria,Cyanobacteria,,
Pinus koraiensis,72,CRW_t_E_17373,Bacteria,Cyanobacteria,,
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17396,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17397,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17398,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17399,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17400,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17401,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17402,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17403,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17404,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17405,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17406,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17407,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17408,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17409,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17410,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17411,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17412,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17413,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17414,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17415,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17416,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17417,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17418,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Candidatus Portiera aleyrodidarum,73,CRW_t_B_17419,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
uncultured Acidobacteria bacterium,73,CRW_t_B_17425,Bacteria,,Vicinamibacteria,
Weissella paramesenteroides,73,CRW_t_B_17494,Bacteria,Firmicutes,Bacilli,Lactobacillales
uncultured Synechococcus sp.,73,CRW_t_B_17610,Bacteria,Cyanobacteria,,Synechococcales
Panax ginseng,72,CRW_t_E_17634,Bacteria,Cyanobacteria,,
Panax ginseng,72,CRW_t_E_17635,Bacteria,Cyanobacteria,,
Alcanivorax dieselolei,71,CRW_t_B_17699,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Alcanivorax dieselolei,72,CRW_t_B_17700,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Phalaenopsis aphrodite subsp. formosana,72,CRW_t_E_17863,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Phalaenopsis aphrodite subsp. formosana,72,CRW_t_E_17864,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
uncultured delta proteobacterium,73,CRW_t_B_17957,Bacteria,,,Desulfobacterales
Staurastrum punctulatum,72,CRW_t_E_18666,Bacteria,Cyanobacteria,,
Rhodopirellula baltica SH 1,73,CRW_t_B_18744,Bacteria,Planctomycetes,,
Rhodopirellula baltica SH 1,73,CRW_t_B_18746,Bacteria,Planctomycetes,,
Escherichia coli UTI89,73,CRW_t_B_18979,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli UTI89,73,CRW_t_B_18980,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Cyanophora paradoxa,72,CRW_t_E_19241,Bacteria,Cyanobacteria,,
Cucurbita pepo,72,CRW_t_E_19379,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Cucurbita pepo,72,CRW_t_E_19380,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Physcomitrella patens,72,CRW_t_E_19385,Bacteria,Cyanobacteria,,
Morus indica,72,CRW_t_E_19482,Bacteria,Cyanobacteria,,
Morus indica,72,CRW_t_E_19485,Bacteria,Cyanobacteria,,
Chara vulgaris,73,CRW_t_E_19503,Bacteria,Cyanobacteria,,
Chara vulgaris,73,CRW_t_E_19504,Bacteria,Cyanobacteria,,
Candidatus Phytoplasma solani,71,CRW_t_B_19560,Bacteria,Firmicutes,Bacilli,Acholeplasmatales
Candidatus Phytoplasma solani,71,CRW_t_B_19561,Bacteria,Firmicutes,Bacilli,Acholeplasmatales
Candidatus Phytoplasma solani,71,CRW_t_B_19562,Bacteria,Firmicutes,Bacilli,Acholeplasmatales
Candidatus Phytoplasma solani,71,CRW_t_B_19563,Bacteria,Firmicutes,Bacilli,Acholeplasmatales
uncultured Synechococcus sp.,72,CRW_t_B_19595,Bacteria,Cyanobacteria,,Synechococcales
Ranunculus macranthus,72,CRW_t_E_19607,Bacteria,Cyanobacteria,,
Ranunculus macranthus,72,CRW_t_E_19608,Bacteria,Cyanobacteria,,
Candidatus Phytoplasma solani,71,CRW_t_B_19618,Bacteria,Firmicutes,Bacilli,Acholeplasmatales
Jasminum nudiflorum,72,CRW_t_E_19719,Bacteria,Cyanobacteria,,
Jasminum nudiflorum,72,CRW_t_E_19722,Bacteria,Cyanobacteria,,
Piper cenocladum,72,CRW_t_E_19760,Bacteria,Cyanobacteria,,
Piper cenocladum,72,CRW_t_E_19761,Bacteria,Cyanobacteria,,
Pelargonium x hortorum,72,CRW_t_E_19762,Bacteria,Cyanobacteria,,
Pelargonium x hortorum,72,CRW_t_E_19763,Bacteria,Cyanobacteria,,
Liriodendron tulipifera,72,CRW_t_E_19771,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Escherichia coli,73,CRW_t_B_19787,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Spirogyra maxima,72,CRW_t_E_20016,Bacteria,Cyanobacteria,,
Escherichia coli,73,CRW_t_B_20017,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Zea mays,72,CRW_t_E_20056,Bacteria,Cyanobacteria,,
Zea mays,72,CRW_t_E_20057,Bacteria,Cyanobacteria,,
Atractylodes lancea,72,CRW_t_E_20146,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Finegoldia magna ATCC 29328,73,CRW_t_B_20208,Bacteria,Firmicutes,Clostridia,
Nicotiana tomentosiformis,72,CRW_t_E_20212,Bacteria,Cyanobacteria,,
Helicobacter pylori 26695,73,CRW_t_B_20242,Bacteria,,,Campylobacterales
Thermotoga maritima MSB8,73,CRW_t_B_20243,Bacteria,Thermotogae,,Thermotogales
Thermotoga maritima MSB8,73,CRW_t_B_20244,Bacteria,Thermotogae,,Thermotogales
Deinococcus radiodurans R1,72,CRW_t_B_20245,Bacteria,,Deinococci,Deinococcales
Deinococcus radiodurans R1,73,CRW_t_B_20246,Bacteria,,Deinococci,Deinococcales
Treponema pallidum subsp. pallidum str. Nichols,73,CRW_t_B_20247,Bacteria,,Spirochaetia,Spirochaetales
Treponema pallidum subsp. pallidum str. Nichols,73,CRW_t_B_20248,Bacteria,,Spirochaetia,Spirochaetales
Aquifex aeolicus VF5,73,CRW_t_B_20249,Bacteria,Aquificae,,Aquificales
Aquifex aeolicus VF5,73,CRW_t_B_20250,Bacteria,Aquificae,,Aquificales
Chlamydia trachomatis D/UW-3/CX,73,CRW_t_B_20255,Bacteria,Chlamydiae,,Chlamydiales
Clostridium acetobutylicum ATCC 824,73,CRW_t_B_20256,Bacteria,Firmicutes,Clostridia,Clostridiales
Clostridium acetobutylicum ATCC 824,73,CRW_t_B_20257,Bacteria,Firmicutes,Clostridia,Clostridiales
Clostridium acetobutylicum ATCC 824,73,CRW_t_B_20258,Bacteria,Firmicutes,Clostridia,Clostridiales
Clostridium acetobutylicum ATCC 824,73,CRW_t_B_20259,Bacteria,Firmicutes,Clostridia,Clostridiales
Clostridium acetobutylicum ATCC 824,73,CRW_t_B_20260,Bacteria,Firmicutes,Clostridia,Clostridiales
Clostridium acetobutylicum ATCC 824,73,CRW_t_B_20261,Bacteria,Firmicutes,Clostridia,Clostridiales
Streptococcus pneumoniae TIGR4,73,CRW_t_B_20284,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus pneumoniae TIGR4,73,CRW_t_B_20285,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus pneumoniae TIGR4,73,CRW_t_B_20286,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus pneumoniae R6,73,CRW_t_B_20298,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus pneumoniae R6,73,CRW_t_B_20299,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus pneumoniae R6,73,CRW_t_B_20300,Bacteria,Firmicutes,Bacilli,Lactobacillales
Rickettsia conorii str. Malish 7,73,CRW_t_B_20301,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Leptospira interrogans serovar Lai str. 56601,73,CRW_t_B_20327,Bacteria,,,Leptospirales
Buchnera aphidicola str. Sg (Schizaphis graminum),73,CRW_t_B_20336,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Streptococcus mutans UA159,73,CRW_t_B_20366,Bacteria,Firmicutes,Bacilli,Lactobacillales
Tropheryma whipplei str. Twist,73,CRW_t_B_20369,Bacteria,Actinobacteria,,Micrococcales
Streptococcus agalactiae 2603V/R,73,CRW_t_B_20371,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus agalactiae 2603V/R,73,CRW_t_B_20372,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus agalactiae 2603V/R,73,CRW_t_B_20373,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus agalactiae 2603V/R,73,CRW_t_B_20374,Bacteria,Firmicutes,Bacilli,Lactobacillales
Bacteroides thetaiotaomicron VPI-5482,73,CRW_t_B_20401,Bacteria,,Bacteroidia,Bacteroidales
Bacteroides thetaiotaomicron VPI-5482,73,CRW_t_B_20404,Bacteria,,Bacteroidia,Bacteroidales
Staphylococcus epidermidis ATCC 12228,73,CRW_t_B_20406,Bacteria,Firmicutes,Bacilli,
Staphylococcus epidermidis ATCC 12228,73,CRW_t_B_20407,Bacteria,Firmicutes,Bacilli,
Vibrio vulnificus CMCP6,73,CRW_t_B_20408,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio vulnificus CMCP6,73,CRW_t_B_20409,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio vulnificus CMCP6,73,CRW_t_B_20410,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio vulnificus CMCP6,73,CRW_t_B_20411,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Buchnera aphidicola str. Bp (Baizongia pistaciae),73,CRW_t_B_20427,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Enterococcus faecalis V583,73,CRW_t_B_20434,Bacteria,Firmicutes,Bacilli,Lactobacillales
Enterococcus faecalis V583,73,CRW_t_B_20435,Bacteria,Firmicutes,Bacilli,Lactobacillales
Enterococcus faecalis V583,73,CRW_t_B_20436,Bacteria,Firmicutes,Bacilli,Lactobacillales
Bacillus cereus ATCC 14579,73,CRW_t_B_20439,Bacteria,Firmicutes,Bacilli,Bacillales
Helicobacter hepaticus ATCC 51449,73,CRW_t_B_20454,Bacteria,,,Campylobacterales
Bacillus cereus ATCC 10987,73,CRW_t_B_20462,Bacteria,Firmicutes,Bacilli,Bacillales
Wolbachia endosymbiont of Drosophila melanogaster,73,CRW_t_B_20463,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Treponema denticola ATCC 35405,73,CRW_t_B_20483,Bacteria,,Spirochaetia,Spirochaetales
Treponema denticola ATCC 35405,73,CRW_t_B_20484,Bacteria,,Spirochaetia,Spirochaetales
Wolbachia endosymbiont strain TRS of Brugia malayi,73,CRW_t_B_20502,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Bacillus anthracis str. 'Ames Ancestor',73,CRW_t_B_20511,Bacteria,Firmicutes,Bacilli,Bacillales
Idiomarina loihiensis L2TR,73,CRW_t_B_20512,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Idiomarina loihiensis L2TR,73,CRW_t_B_20513,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Nostoc commune UTEX 584,72,CRW_t_B_20524,Bacteria,Cyanobacteria,,
Cyanidium caldarium,72,CRW_t_E_20528,Bacteria,Cyanobacteria,,
Guillardia theta,72,CRW_t_E_20533,Bacteria,Cyanobacteria,,
Mesostigma viride,72,CRW_t_E_20542,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Coxiella burnetii,73,CRW_t_B_20558,Bacteria,Proteobacteria,Gammaproteobacteria,
Lactobacillus sakei,73,CRW_t_B_20559,Bacteria,Firmicutes,Bacilli,Lactobacillales
Chaetosphaeridium globosum,72,CRW_t_E_20560,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales
Guillardia theta,73,CRW_t_E_20561,Bacteria,Cyanobacteria,,
Guillardia theta,73,CRW_t_E_20562,Bacteria,Cyanobacteria,,
Skeletonema costatum,72,CRW_t_E_20563,Bacteria,Cyanobacteria,,
Oenothera elata subsp. hookeri,72,CRW_t_E_20566,Bacteria,Cyanobacteria,,
Euglena longa,73,CRW_t_E_20569,Bacteria,Cyanobacteria,,
Nymphaea alba,72,CRW_t_E_20579,Bacteria,Cyanobacteria,,
uncultured Flavobacteriaceae bacterium,73,CRW_t_B_20588,Bacteria,,Bacteroidia,Flavobacteriales
Staphylococcus aureus RF122,73,CRW_t_B_20589,Bacteria,Firmicutes,Bacilli,
Staphylococcus aureus RF122,73,CRW_t_B_20590,Bacteria,Firmicutes,Bacilli,
Staphylococcus aureus RF122,73,CRW_t_B_20591,Bacteria,Firmicutes,Bacilli,
Mycobacterium leprae,73,CRW_t_B_20611,Bacteria,Actinobacteria,,Corynebacteriales
Listeria monocytogenes,73,CRW_t_B_20620,Bacteria,Firmicutes,Bacilli,Lactobacillales
Listeria monocytogenes,73,CRW_t_B_20621,Bacteria,Firmicutes,Bacilli,Lactobacillales
Listeria monocytogenes,73,CRW_t_B_20622,Bacteria,Firmicutes,Bacilli,Lactobacillales
Listeria monocytogenes,73,CRW_t_B_20623,Bacteria,Firmicutes,Bacilli,Lactobacillales
Listeria innocua,73,CRW_t_B_20624,Bacteria,Firmicutes,Bacilli,Lactobacillales
Listeria innocua,73,CRW_t_B_20625,Bacteria,Firmicutes,Bacilli,Lactobacillales
Listeria innocua,73,CRW_t_B_20626,Bacteria,Firmicutes,Bacilli,Lactobacillales
Listeria innocua,73,CRW_t_B_20627,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactobacillus plantarum WCFS1,73,CRW_t_B_20640,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactobacillus plantarum WCFS1,73,CRW_t_B_20641,Bacteria,Firmicutes,Bacilli,Lactobacillales
Bordetella avium 197N,73,CRW_t_B_20653,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales
Bordetella avium 197N,73,CRW_t_B_20654,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales
Listeria welshimeri serovar 6b str. SLCC5334,73,CRW_t_B_20669,Bacteria,Firmicutes,Bacilli,Lactobacillales
Listeria welshimeri serovar 6b str. SLCC5334,73,CRW_t_B_20670,Bacteria,Firmicutes,Bacilli,Lactobacillales
Listeria welshimeri serovar 6b str. SLCC5334,73,CRW_t_B_20671,Bacteria,Firmicutes,Bacilli,Lactobacillales
Listeria welshimeri serovar 6b str. SLCC5334,73,CRW_t_B_20672,Bacteria,Firmicutes,Bacilli,Lactobacillales
Azoarcus sp. BH72,73,CRW_t_B_20682,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_20684,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_20685,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_20686,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lotus japonicus,72,CRW_t_E_20693,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Bacillus clausii KSM-K16,73,CRW_t_B_20700,Bacteria,Firmicutes,Bacilli,Bacillales
Onion yellows phytoplasma OY-M,73,CRW_t_B_20701,Bacteria,Firmicutes,Bacilli,Acholeplasmatales
Saccharum officinarum,72,CRW_t_E_20702,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Staphylococcus haemolyticus JCSC1435,73,CRW_t_B_20704,Bacteria,Firmicutes,Bacilli,
Staphylococcus haemolyticus JCSC1435,73,CRW_t_B_20705,Bacteria,Firmicutes,Bacilli,
Staphylococcus haemolyticus JCSC1435,73,CRW_t_B_20706,Bacteria,Firmicutes,Bacilli,
Oryza nivara,72,CRW_t_E_20707,Bacteria,Cyanobacteria,,
Bacteroides fragilis YCH46,73,CRW_t_B_20713,Bacteria,,Bacteroidia,Bacteroidales
Bacteroides fragilis YCH46,73,CRW_t_B_20714,Bacteria,,Bacteroidia,Bacteroidales
Synechococcus elongatus PCC 6301,72,CRW_t_B_20755,Bacteria,Cyanobacteria,,Synechococcales
Populus alba,72,CRW_t_E_20763,Bacteria,Cyanobacteria,,
Bifidobacterium adolescentis ATCC 15703,73,CRW_t_B_20773,Bacteria,Actinobacteria,,Bifidobacteriales
Bacillus cereus,73,CRW_t_B_20786,Bacteria,Firmicutes,Bacilli,Bacillales
Vibrio parahaemolyticus,73,CRW_t_B_20807,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_20808,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_20809,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Oikopleura dioica,73,CRW_t_E_20811,Bacteria,,Verrucomicrobiae,
Vibrio parahaemolyticus,73,CRW_t_B_20815,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_20816,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_20817,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Panax ginseng,72,CRW_t_E_20852,Bacteria,Cyanobacteria,,
Emiliania huxleyi,72,CRW_t_E_20878,Bacteria,Cyanobacteria,,
Photobacterium phosphoreum,73,CRW_t_B_20882,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Photobacterium phosphoreum,73,CRW_t_B_20883,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Staurastrum punctulatum,72,CRW_t_E_20886,Bacteria,Cyanobacteria,,
Buchnera aphidicola str. APS (Acyrthosiphon pisum),73,CRW_t_B_20892,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Staphylococcus aureus subsp. aureus Mu50,73,CRW_t_B_20903,Bacteria,Firmicutes,Bacilli,
Staphylococcus aureus subsp. aureus Mu50,73,CRW_t_B_20904,Bacteria,Firmicutes,Bacilli,
Staphylococcus aureus subsp. aureus Mu50,73,CRW_t_B_20905,Bacteria,Firmicutes,Bacilli,
Staphylococcus aureus subsp. aureus N315,73,CRW_t_B_20908,Bacteria,Firmicutes,Bacilli,
Nostoc sp. PCC 7120,72,CRW_t_B_20909,Bacteria,Cyanobacteria,,
Nostoc sp. PCC 7120,72,CRW_t_B_20910,Bacteria,Cyanobacteria,,
Staphylococcus aureus subsp. aureus MW2,73,CRW_t_B_20930,Bacteria,Firmicutes,Bacilli,
Streptococcus pyogenes SSI-1,73,CRW_t_B_20931,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus pyogenes SSI-1,73,CRW_t_B_20932,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus pyogenes SSI-1,73,CRW_t_B_20933,Bacteria,Firmicutes,Bacilli,Lactobacillales
Corynebacterium efficiens YS-314,73,CRW_t_B_20934,Bacteria,Actinobacteria,,Corynebacteriales
Corynebacterium glutamicum ATCC 13032,73,CRW_t_B_20938,Bacteria,Actinobacteria,,Corynebacteriales
Corynebacterium glutamicum ATCC 13032,73,CRW_t_B_20939,Bacteria,Actinobacteria,,Corynebacteriales
Geobacillus kaustophilus HTA426,73,CRW_t_B_20945,Bacteria,Firmicutes,Bacilli,Bacillales
Corynebacterium diphtheriae,73,CRW_t_B_20957,Bacteria,Actinobacteria,,Corynebacteriales
Corynebacterium diphtheriae,73,CRW_t_B_20958,Bacteria,Actinobacteria,,Corynebacteriales
Rhodopirellula baltica SH 1,73,CRW_t_B_20962,Bacteria,Planctomycetes,,
Rhodopirellula baltica SH 1,73,CRW_t_B_20963,Bacteria,Planctomycetes,,
Staphylococcus aureus subsp. aureus MRSA252,73,CRW_t_B_20968,Bacteria,Firmicutes,Bacilli,
Staphylococcus aureus subsp. aureus MSSA476,73,CRW_t_B_20971,Bacteria,Firmicutes,Bacilli,
Prochlorococcus marinus str. MIT 9313,72,CRW_t_B_20980,Bacteria,Cyanobacteria,,Synechococcales
Mycobacterium tuberculosis H37Rv,73,CRW_t_B_20989,Bacteria,Actinobacteria,,Corynebacteriales
Mycobacterium tuberculosis H37Rv,73,CRW_t_B_20990,Bacteria,Actinobacteria,,Corynebacteriales
Corynebacterium glutamicum ATCC 13032,73,CRW_t_B_21000,Bacteria,Actinobacteria,,Corynebacteriales
Corynebacterium glutamicum ATCC 13032,73,CRW_t_B_21001,Bacteria,Actinobacteria,,Corynebacteriales
Codium fragile,72,CRW_t_E_21016,Bacteria,Cyanobacteria,,
Streptococcus pyogenes MGAS10394,73,CRW_t_B_21027,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus pyogenes MGAS10394,73,CRW_t_B_21028,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus pyogenes MGAS10394,73,CRW_t_B_21029,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus pyogenes MGAS10394,73,CRW_t_B_21030,Bacteria,Firmicutes,Bacilli,Lactobacillales
Candidatus Blochmannia pennsylvanicus str. BPEN,73,CRW_t_B_21037,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Anaplasma marginale str. St. Maries,72,CRW_t_B_21059,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Lactobacillus acidophilus NCFM,73,CRW_t_B_21061,Bacteria,Firmicutes,Bacilli,Lactobacillales
Chlamydia trachomatis A/HAR-13,73,CRW_t_B_21078,Bacteria,Chlamydiae,,Chlamydiales
Prochlorococcus marinus str. NATL2A,72,CRW_t_B_21119,Bacteria,Cyanobacteria,,Synechococcales
Ehrlichia canis str. Jake,73,CRW_t_B_21128,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Ehrlichia canis str. Jake,73,CRW_t_B_21129,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Synechococcus sp. CC9605,72,CRW_t_B_21132,Bacteria,Cyanobacteria,,Synechococcales
Prochlorococcus marinus str. MIT 9312,72,CRW_t_B_21133,Bacteria,Cyanobacteria,,Synechococcales
Myxococcus xanthus DK 1622,73,CRW_t_B_21137,Bacteria,,,Myxococcales
Myxococcus xanthus DK 1622,73,CRW_t_B_21138,Bacteria,,,Myxococcales
Streptococcus agalactiae A909,73,CRW_t_B_21139,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus agalactiae A909,73,CRW_t_B_21141,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus agalactiae A909,73,CRW_t_B_21142,Bacteria,Firmicutes,Bacilli,Lactobacillales
Erythrobacter litoralis HTCC2594,73,CRW_t_B_21169,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales
Erythrobacter litoralis HTCC2594,73,CRW_t_B_21170,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales
Ehrlichia chaffeensis str. Arkansas,73,CRW_t_B_21185,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Ehrlichia chaffeensis str. Arkansas,73,CRW_t_B_21186,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Neorickettsia sennetsu str. Miyayama,73,CRW_t_B_21187,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales
Synechococcus sp. JA-3-3Ab,72,CRW_t_B_21189,Bacteria,Cyanobacteria,,
Synechococcus sp. JA-3-3Ab,72,CRW_t_B_21190,Bacteria,Cyanobacteria,,
Synechococcus sp. JA-2-3B'a(2-13),72,CRW_t_B_21191,Bacteria,Cyanobacteria,,
Escherichia coli UTI89,73,CRW_t_B_21193,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli UTI89,73,CRW_t_B_21194,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli UTI89,73,CRW_t_B_21195,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli UTI89,73,CRW_t_B_21196,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli UTI89,73,CRW_t_B_21197,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli UTI89,73,CRW_t_B_21198,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
