Organism name,Length,Benchmark ID,Taxonomy.LTP.superkingdom,Taxonomy.LTP.class,Taxonomy.LTP.order
Pseudomonas stutzeri,75,CRW_t_B_1380,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas stutzeri,75,CRW_t_B_1381,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas stutzeri,75,CRW_t_B_1382,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas stutzeri,75,CRW_t_B_1383,Bacteria,Gammaproteobacteria,Pseudomonadales
Bartonella henselae,75,CRW_t_B_1437,Bacteria,Alphaproteobacteria,
Bartonella henselae,75,CRW_t_B_1438,Bacteria,Alphaproteobacteria,
Pseudomonas stutzeri,75,CRW_t_B_1483,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas stutzeri,75,CRW_t_B_1484,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas stutzeri,75,CRW_t_B_1485,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas stutzeri,75,CRW_t_B_1486,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas stutzeri,75,CRW_t_B_1487,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas stutzeri,75,CRW_t_B_1488,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas stutzeri,75,CRW_t_B_1489,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas stutzeri,75,CRW_t_B_1490,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas stutzeri,75,CRW_t_B_1491,Bacteria,Gammaproteobacteria,Pseudomonadales
Caulobacter vibrioides,75,CRW_t_B_1862,Bacteria,Alphaproteobacteria,Caulobacterales
Vibrio parahaemolyticus,74,CRW_t_B_2078,Bacteria,Gammaproteobacteria,Vibrionales
Streptococcus suis,74,CRW_t_B_2300,Bacteria,Bacilli,Lactobacillales
Streptococcus suis,74,CRW_t_B_2303,Bacteria,Bacilli,Lactobacillales
Bacillus subtilis,75,CRW_t_B_3066,Bacteria,Bacilli,
Borrelia burgdorferi,74,CRW_t_B_3080,Bacteria,Spirochaetia,Spirochaetales
Caulobacter vibrioides,75,CRW_t_B_3169,Bacteria,Alphaproteobacteria,Caulobacterales
Pseudomonas stutzeri,75,CRW_t_B_4285,Bacteria,Gammaproteobacteria,Pseudomonadales
Burkholderia gladioli,74,CRW_t_B_4397,Bacteria,Betaproteobacteria,Burkholderiales
Burkholderia gladioli,75,CRW_t_B_4398,Bacteria,Betaproteobacteria,Burkholderiales
Burkholderia mallei,75,CRW_t_B_4399,Bacteria,Betaproteobacteria,Burkholderiales
Burkholderia pseudomallei,75,CRW_t_B_4403,Bacteria,Betaproteobacteria,Burkholderiales
Burkholderia pseudomallei,75,CRW_t_B_4404,Bacteria,Betaproteobacteria,Burkholderiales
Stenotrophomonas maltophilia,74,CRW_t_B_4528,Bacteria,Gammaproteobacteria,
Bacillus subtilis,75,CRW_t_B_4570,Bacteria,Bacilli,
Bacillus subtilis,75,CRW_t_B_4824,Bacteria,Bacilli,
Staphylococcus saprophyticus subsp. saprophyticus,75,CRW_t_B_5026,Bacteria,Bacilli,
Staphylococcus saprophyticus subsp. saprophyticus,75,CRW_t_B_5027,Bacteria,Bacilli,
Staphylococcus saprophyticus subsp. saprophyticus,75,CRW_t_B_5028,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_5046,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_5047,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_5048,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_5049,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_5050,Bacteria,Bacilli,
Streptococcus gordonii,74,CRW_t_B_5051,Bacteria,Bacilli,Lactobacillales
Streptococcus gordonii,74,CRW_t_B_5059,Bacteria,Bacilli,Lactobacillales
Streptococcus gordonii,74,CRW_t_B_5060,Bacteria,Bacilli,Lactobacillales
Streptococcus gordonii,74,CRW_t_B_5061,Bacteria,Bacilli,Lactobacillales
Bacillus subtilis,75,CRW_t_B_5125,Bacteria,Bacilli,
Bacillus subtilis,75,CRW_t_B_5126,Bacteria,Bacilli,
Bacillus subtilis,75,CRW_t_B_5127,Bacteria,Bacilli,
Mycoplasma pneumoniae,75,CRW_t_B_5708,Bacteria,Mollicutes,Mycoplasmatales
Bacillus subtilis,75,CRW_t_B_5712,Bacteria,Bacilli,
Azospirillum lipoferum,75,CRW_t_B_5798,Bacteria,Alphaproteobacteria,Rhodospirillales
Bacillus subtilis,75,CRW_t_B_5819,Bacteria,Bacilli,
Mycoplasma pneumoniae,74,CRW_t_B_7134,Bacteria,Mollicutes,Mycoplasmatales
Mycobacterium leprae,74,CRW_t_B_7413,Bacteria,,
Listeria monocytogenes,74,CRW_t_B_7417,Bacteria,Bacilli,
Listeria innocua,74,CRW_t_B_7418,Bacteria,Bacilli,
Staphylococcus saprophyticus subsp. saprophyticus,74,CRW_t_B_7472,Bacteria,Bacilli,
Bacillus subtilis,74,CRW_t_B_7562,Bacteria,Bacilli,
Bordetella parapertussis,74,CRW_t_B_7578,Bacteria,Betaproteobacteria,Burkholderiales
Bacillus subtilis,74,CRW_t_B_7587,Bacteria,Bacilli,
Escherichia coli,74,CRW_t_B_7916,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,74,CRW_t_B_7917,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,74,CRW_t_B_7955,Bacteria,Gammaproteobacteria,Enterobacterales
Streptococcus pneumoniae,74,CRW_t_B_8377,Bacteria,Bacilli,Lactobacillales
Streptococcus pneumoniae,74,CRW_t_B_8378,Bacteria,Bacilli,Lactobacillales
Erwinia amylovora,75,CRW_t_B_8429,Bacteria,Gammaproteobacteria,Enterobacterales
Erwinia amylovora,75,CRW_t_B_8431,Bacteria,Gammaproteobacteria,Enterobacterales
Erwinia amylovora,75,CRW_t_B_8433,Bacteria,Gammaproteobacteria,Enterobacterales
Erwinia amylovora,75,CRW_t_B_8435,Bacteria,Gammaproteobacteria,Enterobacterales
Erwinia amylovora,75,CRW_t_B_8443,Bacteria,Gammaproteobacteria,Enterobacterales
Erwinia amylovora,75,CRW_t_B_8446,Bacteria,Gammaproteobacteria,Enterobacterales
Erwinia amylovora,75,CRW_t_B_8449,Bacteria,Gammaproteobacteria,Enterobacterales
Erwinia amylovora,75,CRW_t_B_8473,Bacteria,Gammaproteobacteria,Enterobacterales
Staphylococcus saprophyticus subsp. saprophyticus,75,CRW_t_B_8760,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_8771,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_8772,Bacteria,Bacilli,
Buchnera aphidicola,74,CRW_t_B_8976,Bacteria,Gammaproteobacteria,Enterobacterales
Buchnera aphidicola,74,CRW_t_B_8978,Bacteria,Gammaproteobacteria,Enterobacterales
Buchnera aphidicola,74,CRW_t_B_8979,Bacteria,Gammaproteobacteria,Enterobacterales
Buchnera aphidicola,75,CRW_t_B_8980,Bacteria,Gammaproteobacteria,Enterobacterales
Buchnera aphidicola,75,CRW_t_B_8981,Bacteria,Gammaproteobacteria,Enterobacterales
Chlamydia muridarum,75,CRW_t_B_9619,Bacteria,Chlamydiia,Chlamydiales
Escherichia coli,75,CRW_t_B_9682,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_9720,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_9820,Bacteria,Gammaproteobacteria,Enterobacterales
Bacillus subtilis,75,CRW_t_B_9892,Bacteria,Bacilli,
Streptococcus agalactiae,75,CRW_t_B_10187,Bacteria,Bacilli,Lactobacillales
Streptococcus agalactiae,74,CRW_t_B_10188,Bacteria,Bacilli,Lactobacillales
Mycobacterium leprae,75,CRW_t_B_10218,Bacteria,,
Listeria monocytogenes,75,CRW_t_B_10226,Bacteria,Bacilli,
Listeria innocua,75,CRW_t_B_10228,Bacteria,Bacilli,
Spiroplasma citri,75,CRW_t_B_10264,Bacteria,Mollicutes,Entomoplasmatales
Staphylococcus saprophyticus subsp. saprophyticus,75,CRW_t_B_10329,Bacteria,Bacilli,
Thermus thermophilus,74,CRW_t_B_10339,Bacteria,Deinococci,Thermales
Thermus thermophilus,74,CRW_t_B_10340,Bacteria,Deinococci,Thermales
Bacillus cereus,75,CRW_t_B_10343,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_10344,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_10345,Bacteria,Bacilli,
Vibrio cholerae,75,CRW_t_B_10355,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio cholerae,75,CRW_t_B_10356,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio cholerae,75,CRW_t_B_10357,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio cholerae,75,CRW_t_B_10358,Bacteria,Gammaproteobacteria,Vibrionales
Escherichia coli,75,CRW_t_B_10930,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_10931,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_10932,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_10933,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_10934,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_10935,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_10936,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_10937,Bacteria,Gammaproteobacteria,Enterobacterales
Mycoplasma pneumoniae,75,CRW_t_B_10973,Bacteria,Mollicutes,Mycoplasmatales
Mycoplasma pneumoniae,75,CRW_t_B_11022,Bacteria,Mollicutes,Mycoplasmatales
Escherichia coli,75,CRW_t_B_11026,Bacteria,Gammaproteobacteria,Enterobacterales
Acholeplasma laidlawii,74,CRW_t_B_11037,Bacteria,Mollicutes,Acholeplasmatales
Escherichia coli,75,CRW_t_B_11048,Bacteria,Gammaproteobacteria,Enterobacterales
Bacillus subtilis,75,CRW_t_B_11562,Bacteria,Bacilli,
Bacillus subtilis,74,CRW_t_B_11563,Bacteria,Bacilli,
Mycobacterium leprae,74,CRW_t_B_11699,Bacteria,,
Listeria monocytogenes,75,CRW_t_B_11711,Bacteria,Bacilli,
Listeria innocua,75,CRW_t_B_11716,Bacteria,Bacilli,
Ralstonia solanacearum,74,CRW_t_B_11723,Bacteria,Betaproteobacteria,Burkholderiales
Ralstonia solanacearum,74,CRW_t_B_11724,Bacteria,Betaproteobacteria,Burkholderiales
Spiroplasma citri,74,CRW_t_B_11805,Bacteria,Mollicutes,Entomoplasmatales
Staphylococcus saprophyticus subsp. saprophyticus,75,CRW_t_B_11957,Bacteria,Bacilli,
Staphylococcus saprophyticus subsp. saprophyticus,74,CRW_t_B_11958,Bacteria,Bacilli,
Staphylococcus saprophyticus subsp. saprophyticus,75,CRW_t_B_11959,Bacteria,Bacilli,
Staphylococcus saprophyticus subsp. saprophyticus,74,CRW_t_B_11960,Bacteria,Bacilli,
Staphylococcus saprophyticus subsp. saprophyticus,75,CRW_t_B_11961,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_11983,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_11986,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_11987,Bacteria,Bacilli,
Bacillus cereus,75,CRW_t_B_11988,Bacteria,Bacilli,
Citrobacter freundii,74,CRW_t_B_11992,Bacteria,Gammaproteobacteria,Enterobacterales
Myxococcus xanthus,74,CRW_t_B_11993,Bacteria,,Myxococcales
Pseudomonas aeruginosa,74,CRW_t_B_11994,Bacteria,Gammaproteobacteria,Pseudomonadales
Bacillus subtilis,75,CRW_t_B_12243,Bacteria,Bacilli,
Bacillus subtilis,75,CRW_t_B_12244,Bacteria,Bacilli,
Bacillus subtilis,75,CRW_t_B_12245,Bacteria,Bacilli,
Bacillus subtilis,74,CRW_t_B_12246,Bacteria,Bacilli,
Bacillus subtilis,75,CRW_t_B_12247,Bacteria,Bacilli,
Bacillus subtilis,75,CRW_t_B_12248,Bacteria,Bacilli,
Bacillus subtilis,75,CRW_t_B_12249,Bacteria,Bacilli,
Bacillus subtilis,74,CRW_t_B_12250,Bacteria,Bacilli,
Bacillus subtilis,75,CRW_t_B_12251,Bacteria,Bacilli,
Bacillus subtilis,74,CRW_t_B_12252,Bacteria,Bacilli,
Bacillus subtilis,75,CRW_t_B_12253,Bacteria,Bacilli,
Bordetella parapertussis,74,CRW_t_B_12311,Bacteria,Betaproteobacteria,Burkholderiales
Bordetella parapertussis,74,CRW_t_B_12312,Bacteria,Betaproteobacteria,Burkholderiales
Bacillus subtilis,74,CRW_t_B_13271,Bacteria,Bacilli,
Bordetella parapertussis,74,CRW_t_B_13367,Bacteria,Betaproteobacteria,Burkholderiales
Escherichia coli,75,CRW_t_B_13396,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,74,CRW_t_B_13399,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_13400,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,74,CRW_t_B_13401,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_13402,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_13404,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,74,CRW_t_B_13411,Bacteria,Gammaproteobacteria,Enterobacterales
Bacillus subtilis,75,CRW_t_B_13474,Bacteria,Bacilli,
Bacillus subtilis,74,CRW_t_B_13497,Bacteria,Bacilli,
Bacillus subtilis,74,CRW_t_B_13498,Bacteria,Bacilli,
Mycoplasma pneumoniae,74,CRW_t_B_13501,Bacteria,Mollicutes,Mycoplasmatales
Pseudomonas aeruginosa,74,CRW_t_B_13502,Bacteria,Gammaproteobacteria,Pseudomonadales
Staphylococcus epidermidis,75,CRW_t_B_13503,Bacteria,Bacilli,
Staphylococcus epidermidis,74,CRW_t_B_13504,Bacteria,Bacilli,
Escherichia coli,74,CRW_t_B_13548,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,74,CRW_t_B_13549,Bacteria,Gammaproteobacteria,Enterobacterales
Staphylococcus epidermidis,74,CRW_t_B_13556,Bacteria,Bacilli,
Staphylococcus epidermidis,75,CRW_t_B_13557,Bacteria,Bacilli,
Escherichia coli,75,CRW_t_B_13599,Bacteria,Gammaproteobacteria,Enterobacterales
Escherichia coli,75,CRW_t_B_13600,Bacteria,Gammaproteobacteria,Enterobacterales
Pseudomonas aeruginosa,74,CRW_t_B_13617,Bacteria,Gammaproteobacteria,Pseudomonadales
Mycoplasma pneumoniae,74,CRW_t_B_13625,Bacteria,Mollicutes,Mycoplasmatales
Escherichia coli,74,CRW_t_B_13630,Bacteria,Gammaproteobacteria,Enterobacterales
Azorhizobium caulinodans,75,CRW_t_B_13679,Bacteria,Alphaproteobacteria,
Rickettsia prowazekii,74,CRW_t_B_13689,Bacteria,Alphaproteobacteria,Rickettsiales
Bacillus subtilis,75,CRW_t_B_13712,Bacteria,Bacilli,
Bacillus subtilis,74,CRW_t_B_13713,Bacteria,Bacilli,
Mycoplasma hominis,74,CRW_t_B_14211,Bacteria,Mollicutes,Mycoplasmatales
Mycoplasma hominis,74,CRW_t_B_14212,Bacteria,Mollicutes,Mycoplasmatales
Micromonospora nigra,75,CRW_t_B_14536,Bacteria,,Micromonosporales
Micromonospora nigra,75,CRW_t_B_14537,Bacteria,,Micromonosporales
Vibrio harveyi,74,CRW_t_B_15410,Bacteria,Gammaproteobacteria,Vibrionales
Saprospira grandis,74,CRW_t_B_15527,Bacteria,Saprospiria,Saprospirales
Pseudomonas fluorescens,74,CRW_t_B_16067,Bacteria,Gammaproteobacteria,Pseudomonadales
Treponema denticola,74,CRW_t_B_16158,Bacteria,Spirochaetia,Spirochaetales
Treponema phagedenis,74,CRW_t_B_16159,Bacteria,Spirochaetia,Spirochaetales
Alcanivorax borkumensis,74,CRW_t_B_16170,Bacteria,Gammaproteobacteria,Pseudomonadales
Alcanivorax venustensis,74,CRW_t_B_16283,Bacteria,Gammaproteobacteria,Pseudomonadales
Alcanivorax venustensis,74,CRW_t_B_16284,Bacteria,Gammaproteobacteria,Pseudomonadales
Alcanivorax jadensis,74,CRW_t_B_16285,Bacteria,Gammaproteobacteria,Pseudomonadales
Legionella pneumophila,74,CRW_t_B_16381,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,74,CRW_t_B_16382,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,74,CRW_t_B_16383,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,74,CRW_t_B_16384,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,74,CRW_t_B_16385,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,74,CRW_t_B_16386,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,74,CRW_t_B_16387,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,74,CRW_t_B_16388,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,75,CRW_t_B_16389,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,74,CRW_t_B_16390,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,74,CRW_t_B_16391,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,74,CRW_t_B_16392,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,74,CRW_t_B_16393,Bacteria,Gammaproteobacteria,Legionellales
Fusobacterium necrophorum subsp. necrophorum,74,CRW_t_B_16407,Bacteria,Fusobacteriia,
Fusobacterium necrophorum subsp. funduliforme,74,CRW_t_B_16408,Bacteria,Fusobacteriia,
Carnobacterium gallinarum,74,CRW_t_B_16412,Bacteria,Bacilli,Lactobacillales
Carnobacterium mobile,74,CRW_t_B_16413,Bacteria,Bacilli,Lactobacillales
Carnobacterium divergens,74,CRW_t_B_16414,Bacteria,Bacilli,Lactobacillales
Carnobacterium maltaromaticum,74,CRW_t_B_16415,Bacteria,Bacilli,Lactobacillales
Treponema medium,74,CRW_t_B_16418,Bacteria,Spirochaetia,Spirochaetales
Fusobacterium necrophorum subsp. necrophorum,74,CRW_t_B_16491,Bacteria,Fusobacteriia,
Fusobacterium necrophorum subsp. funduliforme,74,CRW_t_B_16492,Bacteria,Fusobacteriia,
Fusobacterium necrophorum subsp. necrophorum,74,CRW_t_B_16493,Bacteria,Fusobacteriia,
Fusobacterium necrophorum subsp. necrophorum,74,CRW_t_B_16494,Bacteria,Fusobacteriia,
Fusobacterium necrophorum subsp. funduliforme,74,CRW_t_B_16495,Bacteria,Fusobacteriia,
Bacillus amyloliquefaciens,74,CRW_t_B_16543,Bacteria,Bacilli,
Bacillus licheniformis,74,CRW_t_B_16545,Bacteria,Bacilli,
Brevibacillus borstelensis,74,CRW_t_B_16546,Bacteria,Bacilli,
Brevibacillus borstelensis,74,CRW_t_B_16547,Bacteria,Bacilli,
Brevibacillus parabrevis,74,CRW_t_B_16548,Bacteria,Bacilli,
Salinibacter ruber,75,CRW_t_B_16963,Bacteria,Rhodothermia,Rhodothermales
Salinibacter ruber,75,CRW_t_B_16964,Bacteria,Rhodothermia,Rhodothermales
Salinibacter ruber,75,CRW_t_B_16965,Bacteria,Rhodothermia,Rhodothermales
Salinibacter ruber,75,CRW_t_B_16966,Bacteria,Rhodothermia,Rhodothermales
Salinibacter ruber,75,CRW_t_B_16967,Bacteria,Rhodothermia,Rhodothermales
Salinibacter ruber,75,CRW_t_B_16969,Bacteria,Rhodothermia,Rhodothermales
Salinibacter ruber,75,CRW_t_B_16970,Bacteria,Rhodothermia,Rhodothermales
Thermotoga neapolitana,74,CRW_t_B_17049,Bacteria,,Thermotogales
Thermotoga neapolitana,74,CRW_t_B_17050,Bacteria,,Thermotogales
Thermotoga petrophila,74,CRW_t_B_17052,Bacteria,,Thermotogales
Listeria monocytogenes,74,CRW_t_B_17093,Bacteria,Bacilli,
Listeria monocytogenes,74,CRW_t_B_17094,Bacteria,Bacilli,
Listeria monocytogenes,74,CRW_t_B_17095,Bacteria,Bacilli,
Listeria innocua,74,CRW_t_B_17096,Bacteria,Bacilli,
Listeria innocua,74,CRW_t_B_17097,Bacteria,Bacilli,
Listeria innocua,74,CRW_t_B_17098,Bacteria,Bacilli,
Persephonella guaymasensis,74,CRW_t_B_17145,Bacteria,,Aquificales
Persephonella hydrogeniphila,74,CRW_t_B_17146,Bacteria,,Aquificales
Sulfurihydrogenibium yellowstonense,74,CRW_t_B_17153,Bacteria,,Aquificales
Sulfurihydrogenibium azorense,74,CRW_t_B_17154,Bacteria,,Aquificales
Sulfurihydrogenibium subterraneum,74,CRW_t_B_17155,Bacteria,,Aquificales
Aquifex pyrophilus,74,CRW_t_B_17163,Bacteria,,Aquificales
Thermocrinis ruber,74,CRW_t_B_17164,Bacteria,,Aquificales
Hydrogenobacter subterraneus,74,CRW_t_B_17165,Bacteria,,Aquificales
Pseudomonas fluorescens,75,CRW_t_B_17338,Bacteria,Gammaproteobacteria,Pseudomonadales
Carnobacterium funditum,74,CRW_t_B_17350,Bacteria,Bacilli,Lactobacillales
Carnobacterium viridans,74,CRW_t_B_17376,Bacteria,Bacilli,Lactobacillales
Vibrio alginolyticus,74,CRW_t_B_17379,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio alginolyticus,74,CRW_t_B_17380,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio alginolyticus,74,CRW_t_B_17381,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio alginolyticus,74,CRW_t_B_17382,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio alginolyticus,74,CRW_t_B_17383,Bacteria,Gammaproteobacteria,Vibrionales
Arsenophonus nasoniae,74,CRW_t_B_17394,Bacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,74,CRW_t_B_17427,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio parahaemolyticus,74,CRW_t_B_17428,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio parahaemolyticus,74,CRW_t_B_17429,Bacteria,Gammaproteobacteria,Vibrionales
Weissella confusa,74,CRW_t_B_17446,Bacteria,Bacilli,Lactobacillales
Weissella hellenica,74,CRW_t_B_17448,Bacteria,Bacilli,Lactobacillales
Weissella minor,75,CRW_t_B_17449,Bacteria,Bacilli,Lactobacillales
Weissella paramesenteroides,74,CRW_t_B_17450,Bacteria,Bacilli,Lactobacillales
Weissella thailandensis,75,CRW_t_B_17451,Bacteria,Bacilli,Lactobacillales
Weissella viridescens,74,CRW_t_B_17452,Bacteria,Bacilli,Lactobacillales
Weissella cibaria,74,CRW_t_B_17453,Bacteria,Bacilli,Lactobacillales
Vibrio parahaemolyticus,74,CRW_t_B_17571,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio parahaemolyticus,74,CRW_t_B_17572,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio parahaemolyticus,74,CRW_t_B_17573,Bacteria,Gammaproteobacteria,Vibrionales
Dysgonomonas mossii,74,CRW_t_B_17712,Bacteria,Bacteroidia,Bacteroidales
Photobacterium phosphoreum,74,CRW_t_B_17778,Bacteria,Gammaproteobacteria,Vibrionales
Photobacterium phosphoreum,74,CRW_t_B_17779,Bacteria,Gammaproteobacteria,Vibrionales
Borrelia japonica,74,CRW_t_B_17802,Bacteria,Spirochaetia,Spirochaetales
Bacillus subtilis,74,CRW_t_B_18723,Bacteria,Bacilli,
Bacillus subtilis,74,CRW_t_B_18724,Bacteria,Bacilli,
Borrelia burgdorferi,74,CRW_t_B_18735,Bacteria,Spirochaetia,Spirochaetales
Listeria seeligeri,74,CRW_t_B_19392,Bacteria,Bacilli,
Listeria seeligeri,74,CRW_t_B_19393,Bacteria,Bacilli,
Listeria seeligeri,74,CRW_t_B_19394,Bacteria,Bacilli,
Listeria seeligeri,74,CRW_t_B_19395,Bacteria,Bacilli,
Listeria seeligeri,74,CRW_t_B_19396,Bacteria,Bacilli,
Listeria seeligeri,74,CRW_t_B_19397,Bacteria,Bacilli,
Listeria seeligeri,74,CRW_t_B_19398,Bacteria,Bacilli,
Listeria welshimeri,74,CRW_t_B_19399,Bacteria,Bacilli,
Bartonella bacilliformis,74,CRW_t_B_19437,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,74,CRW_t_B_19477,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,74,CRW_t_B_19478,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,74,CRW_t_B_19479,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,74,CRW_t_B_19480,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,74,CRW_t_B_19481,Bacteria,Alphaproteobacteria,
Burkholderia cepacia,74,CRW_t_B_19509,Bacteria,Betaproteobacteria,Burkholderiales
Burkholderia cepacia,74,CRW_t_B_19510,Bacteria,Betaproteobacteria,Burkholderiales
Acholeplasma axanthum,74,CRW_t_B_19678,Bacteria,Mollicutes,Acholeplasmatales
Acholeplasma axanthum,74,CRW_t_B_19679,Bacteria,Mollicutes,Acholeplasmatales
Acholeplasma granularum,74,CRW_t_B_19680,Bacteria,Mollicutes,Acholeplasmatales
Acholeplasma granularum,74,CRW_t_B_19681,Bacteria,Mollicutes,Acholeplasmatales
Acholeplasma granularum,74,CRW_t_B_19682,Bacteria,Mollicutes,Acholeplasmatales
Acholeplasma modicum,74,CRW_t_B_19683,Bacteria,Mollicutes,Acholeplasmatales
Acholeplasma oculi,74,CRW_t_B_19684,Bacteria,Mollicutes,Acholeplasmatales
Acholeplasma oculi,74,CRW_t_B_19685,Bacteria,Mollicutes,Acholeplasmatales
Acholeplasma oculi,74,CRW_t_B_19686,Bacteria,Mollicutes,Acholeplasmatales
Acholeplasma pleciae,74,CRW_t_B_19687,Bacteria,Mollicutes,Acholeplasmatales
Bartonella bacilliformis,74,CRW_t_B_19710,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,74,CRW_t_B_19711,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,74,CRW_t_B_19712,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,74,CRW_t_B_19713,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,74,CRW_t_B_19714,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,74,CRW_t_B_19715,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,74,CRW_t_B_19716,Bacteria,Alphaproteobacteria,
Acholeplasma axanthum,74,CRW_t_B_19741,Bacteria,Mollicutes,Acholeplasmatales
Acholeplasma axanthum,74,CRW_t_B_19742,Bacteria,Mollicutes,Acholeplasmatales
Acholeplasma axanthum,74,CRW_t_B_19743,Bacteria,Mollicutes,Acholeplasmatales
Acholeplasma morum,74,CRW_t_B_19744,Bacteria,Mollicutes,Acholeplasmatales
Acidiphilium multivorum,74,CRW_t_B_19829,Bacteria,Alphaproteobacteria,Rhodospirillales
Listeria grayi,74,CRW_t_B_19887,Bacteria,Bacilli,
Listeria innocua,74,CRW_t_B_19889,Bacteria,Bacilli,
Listeria monocytogenes,74,CRW_t_B_19891,Bacteria,Bacilli,
Listeria seeligeri,74,CRW_t_B_19892,Bacteria,Bacilli,
Listeria welshimeri,74,CRW_t_B_19893,Bacteria,Bacilli,
Pseudomonas fluorescens,74,CRW_t_B_19925,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas fluorescens,74,CRW_t_B_19926,Bacteria,Gammaproteobacteria,Pseudomonadales
