Organism name,Length,Benchmark ID,Taxonomy.GTDB.domain,Taxonomy.GTDB.phylum,Taxonomy.GTDB.class,Taxonomy.GTDB.order
Synechococcus sp. WH 8102,73,CRW_t_B_1011,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Synechococcus sp. WH 8103,73,CRW_t_B_1012,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Synechococcus sp. WH 8016,73,CRW_t_B_1016,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Synechococcus sp. WH 8020,72,CRW_t_B_1017,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Synechococcus sp. WH 7805,73,CRW_t_B_1019,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Synechococcus sp. WH 7803,73,CRW_t_B_1024,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Synechococcus sp. WH 8101,73,CRW_t_B_1025,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Synechococcus sp. WH 5701,73,CRW_t_B_1026,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Cyanobium gracile PCC 6307,73,CRW_t_B_1027,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Fusobacterium necrophorum subsp. necrophorum,72,CRW_t_B_1028,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales
Corynebacterium glutamicum,73,CRW_t_B_1065,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales
Corynebacterium glutamicum,73,CRW_t_B_1066,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales
uncultured cyanobacterium,73,CRW_t_B_1269,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1270,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1271,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1272,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1273,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1274,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1275,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1276,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1277,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1278,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1279,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1280,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1281,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1282,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1283,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1284,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1285,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1286,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1287,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1288,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured cyanobacterium,73,CRW_t_B_1289,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Arthrospira sp. PCC 9108,73,CRW_t_B_1355,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales
Sinorhizobium meliloti,64,CRW_t_B_1474,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales
Sinorhizobium meliloti,62,CRW_t_B_1475,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales
Sinorhizobium meliloti,61,CRW_t_B_1476,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales
Thermotoga neapolitana,73,CRW_t_B_1555,Bacteria,Thermotogota,Thermotogae,Thermotogales
Thermotoga neapolitana,73,CRW_t_B_1556,Bacteria,Thermotogota,Thermotogae,Thermotogales
Thermotoga naphthophila,73,CRW_t_B_1557,Bacteria,Thermotogota,Thermotogae,Thermotogales
Thermotoga sp. RQ7,73,CRW_t_B_1560,Bacteria,Thermotogota,Thermotogae,Thermotogales
Thermotoga sp. RQ7,73,CRW_t_B_1561,Bacteria,Thermotogota,Thermotogae,Thermotogales
Thermotoga sp. SG1,73,CRW_t_B_1562,Bacteria,Thermotogota,Thermotogae,Thermotogales
Thermotoga sp. SG1,73,CRW_t_B_1563,Bacteria,Thermotogota,Thermotogae,Thermotogales
Thermotoga sp. KOL6,73,CRW_t_B_1564,Bacteria,Thermotogota,Thermotogae,Thermotogales
Thermotoga sp. KOL6,73,CRW_t_B_1565,Bacteria,Thermotogota,Thermotogae,Thermotogales
Thermotoga sp. RQ2,73,CRW_t_B_1566,Bacteria,Thermotogota,Thermotogae,Thermotogales
uncultured beta proteobacterium,73,CRW_t_B_1572,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales
Staphylococcus aureus RF122,73,CRW_t_B_1573,Bacteria,Firmicutes,Bacilli,Staphylococcales
Staphylococcus aureus RF122,73,CRW_t_B_1574,Bacteria,Firmicutes,Bacilli,Staphylococcales
Staphylococcus aureus RF122,73,CRW_t_B_1575,Bacteria,Firmicutes,Bacilli,Staphylococcales
Listeria monocytogenes,73,CRW_t_B_1603,Bacteria,Firmicutes,Bacilli,Lactobacillales
Listeria innocua,73,CRW_t_B_1607,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus agalactiae NEM316,73,CRW_t_B_1620,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus agalactiae NEM316,73,CRW_t_B_1621,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus agalactiae NEM316,73,CRW_t_B_1622,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus agalactiae NEM316,73,CRW_t_B_1623,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus agalactiae NEM316,73,CRW_t_B_1624,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus agalactiae NEM316,73,CRW_t_B_1625,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus agalactiae NEM316,73,CRW_t_B_1626,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactobacillus plantarum WCFS1,73,CRW_t_B_1627,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactobacillus plantarum WCFS1,73,CRW_t_B_1628,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactobacillus plantarum WCFS1,73,CRW_t_B_1629,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptomyces coelicolor A3(2),73,CRW_t_B_1631,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales
Bordetella avium 197N,73,CRW_t_B_1652,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales
Bordetella avium 197N,73,CRW_t_B_1653,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales
Bordetella avium 197N,73,CRW_t_B_1654,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales
Bordetella avium 197N,73,CRW_t_B_1655,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales
Bordetella avium 197N,73,CRW_t_B_1656,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales
Bordetella avium 197N,73,CRW_t_B_1657,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales
Persephonella hydrogeniphila,73,CRW_t_B_1676,Bacteria,Aquificota,Aquificae,Hydrogenothermales
Listeria welshimeri serovar 6b str. SLCC5334,73,CRW_t_B_1707,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_1729,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_1730,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_1731,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_1732,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_1733,Bacteria,Firmicutes,Bacilli,Lactobacillales
Lactococcus lactis subsp. cremoris MG1363,73,CRW_t_B_1734,Bacteria,Firmicutes,Bacilli,Lactobacillales
Bacillus clausii KSM-K16,73,CRW_t_B_1749,Bacteria,Firmicutes,Bacilli,Bacillales_H
Onion yellows phytoplasma OY-M,73,CRW_t_B_1752,Bacteria,Firmicutes,Bacilli,Acholeplasmatales
Synechococcus elongatus PCC 6301,73,CRW_t_B_1826,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales
Synechococcus elongatus PCC 6301,73,CRW_t_B_1827,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales
Synechococcus elongatus PCC 6301,73,CRW_t_B_1828,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales
Bifidobacterium adolescentis ATCC 15703,73,CRW_t_B_1846,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales
Streptococcus agalactiae,73,CRW_t_B_1869,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus macedonicus,73,CRW_t_B_1904,Bacteria,Firmicutes,Bacilli,Lactobacillales
Pseudomonas fluorescens,71,CRW_t_B_1909,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Carnobacterium alterfunditum,72,CRW_t_B_1914,Bacteria,Firmicutes,Bacilli,Lactobacillales
Carnobacterium alterfunditum,72,CRW_t_B_1915,Bacteria,Firmicutes,Bacilli,Lactobacillales
Carnobacterium inhibens,72,CRW_t_B_1916,Bacteria,Firmicutes,Bacilli,Lactobacillales
Carnobacterium inhibens,72,CRW_t_B_1917,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus pneumoniae,73,CRW_t_B_1920,Bacteria,Firmicutes,Bacilli,Lactobacillales
uncultured cyanobacterium,73,CRW_t_B_1928,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Bacillus cereus,73,CRW_t_B_2059,Bacteria,Firmicutes,Bacilli,Bacillales
Bacillus cereus,73,CRW_t_B_2060,Bacteria,Firmicutes,Bacilli,Bacillales
Bacillus cereus,73,CRW_t_B_2061,Bacteria,Firmicutes,Bacilli,Bacillales
Carnobacterium viridans,73,CRW_t_B_2064,Bacteria,Firmicutes,Bacilli,Lactobacillales
Carnobacterium viridans,73,CRW_t_B_2065,Bacteria,Firmicutes,Bacilli,Lactobacillales
Vibrio alginolyticus,73,CRW_t_B_2068,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio alginolyticus,73,CRW_t_B_2069,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio alginolyticus,73,CRW_t_B_2070,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio alginolyticus,73,CRW_t_B_2071,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio alginolyticus,73,CRW_t_B_2072,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Arsenophonus endosymbiont of Aleurodicus dispersus,73,CRW_t_B_2094,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Arsenophonus nasoniae,73,CRW_t_B_2097,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
uncultured Acidobacteria bacterium,73,CRW_t_B_2102,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales
uncultured Acidobacteria bacterium,69,CRW_t_B_2103,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales
Candidatus Regiella insecticola,73,CRW_t_B_2105,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_2107,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_2108,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_2109,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Weissella confusa,73,CRW_t_B_2112,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella confusa,73,CRW_t_B_2113,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella hellenica,73,CRW_t_B_2116,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella kandleri,73,CRW_t_B_2117,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella koreensis,73,CRW_t_B_2118,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella minor,73,CRW_t_B_2119,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella minor,73,CRW_t_B_2120,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella paramesenteroides,73,CRW_t_B_2121,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella thailandensis,73,CRW_t_B_2122,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella thailandensis,73,CRW_t_B_2123,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella viridescens,73,CRW_t_B_2124,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella viridescens,73,CRW_t_B_2125,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella cibaria,73,CRW_t_B_2126,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella cibaria,73,CRW_t_B_2127,Bacteria,Firmicutes,Bacilli,Lactobacillales
Xylella fastidiosa,72,CRW_t_B_2134,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales
Xylella fastidiosa,67,CRW_t_B_2135,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales
Xylella fastidiosa,73,CRW_t_B_2136,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales
Xylella fastidiosa,72,CRW_t_B_2137,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales
Xylella fastidiosa,72,CRW_t_B_2138,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales
Xylella fastidiosa,73,CRW_t_B_2140,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales
Weissella paramesenteroides,72,CRW_t_B_2142,Bacteria,Firmicutes,Bacilli,Lactobacillales
Weissella paramesenteroides,72,CRW_t_B_2143,Bacteria,Firmicutes,Bacilli,Lactobacillales
Vibrio parahaemolyticus,73,CRW_t_B_2219,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_2220,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_2221,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_2222,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_2223,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_2224,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_2225,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
uncultured bacterium,73,CRW_t_B_2226,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales
uncultured bacterium,73,CRW_t_B_2227,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales
uncultured bacterium,73,CRW_t_B_2228,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales
uncultured Synechococcus sp.,73,CRW_t_B_2251,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Prochlorococcus sp.,73,CRW_t_B_2252,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,72,CRW_t_B_2253,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2254,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Prochlorococcus sp.,73,CRW_t_B_2255,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2256,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Prochlorococcus sp.,73,CRW_t_B_2257,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2258,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2259,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2260,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2261,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2262,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Prochlorococcus sp.,73,CRW_t_B_2263,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2264,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2265,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2266,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2267,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2268,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2269,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2271,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2273,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2274,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2275,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2276,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Streptococcus suis,73,CRW_t_B_2301,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus suis,73,CRW_t_B_2302,Bacteria,Firmicutes,Bacilli,Lactobacillales
Streptococcus suis,73,CRW_t_B_2304,Bacteria,Firmicutes,Bacilli,Lactobacillales
Alcanivorax dieselolei,73,CRW_t_B_2337,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Alcanivorax dieselolei,73,CRW_t_B_2338,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Synechococcus sp. CB0101,73,CRW_t_B_2347,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Synechococcus sp. CB0205,73,CRW_t_B_2355,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
Edwardsiella ictaluri,73,CRW_t_B_2362,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Edwardsiella tarda,73,CRW_t_B_2363,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Edwardsiella tarda,73,CRW_t_B_2364,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Edwardsiella tarda,73,CRW_t_B_2365,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Tolypothrix sp. PCC 7601,73,CRW_t_B_2387,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales
Gloeobacter violaceus PCC 7421,73,CRW_t_B_2388,Bacteria,Cyanobacteria,Cyanobacteriia,Gloeobacterales
Photobacterium phosphoreum,73,CRW_t_B_2399,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Photobacterium phosphoreum,73,CRW_t_B_2400,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
uncultured Synechococcus sp.,73,CRW_t_B_2432,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,72,CRW_t_B_2433,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2434,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,72,CRW_t_B_2435,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2436,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2437,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2438,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2439,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2440,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,72,CRW_t_B_2441,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2442,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2443,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2444,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2445,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,72,CRW_t_B_2446,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2447,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2448,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2449,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2450,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2451,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured Synechococcus sp.,73,CRW_t_B_2452,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307
uncultured delta proteobacterium,73,CRW_t_B_2481,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2482,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2483,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2484,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2485,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2486,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2487,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2488,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2489,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2490,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2491,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2492,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2493,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2494,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2495,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2496,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2497,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2498,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2499,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2500,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2501,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2502,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2503,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2504,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2505,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2506,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,73,CRW_t_B_2507,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2508,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2509,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2510,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2511,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2512,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2513,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2514,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2515,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2516,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2517,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2518,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
uncultured delta proteobacterium,72,CRW_t_B_2519,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales
