Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.kingdom,Taxonomy.ENA.no rank 0,Taxonomy.ENA.phylum,Taxonomy.ENA.subphylum,Taxonomy.ENA.class,Taxonomy.ENA.subclass,Taxonomy.ENA.infraclass,Taxonomy.ENA.unknown 0,Taxonomy.ENA.order,Taxonomy.ENA.suborder,Taxonomy.ENA.infraorder,Taxonomy.ENA.superfamily,Taxonomy.ENA.family,Taxonomy.ENA.genus,Taxonomy.ENA.subgenus,Taxonomy.ENA.no rank 1,Taxonomy.ENA.no rank 2,Taxonomy.ENA.superorder,Taxonomy.ENA.parvorder,Taxonomy.ENA.no rank 3,Taxonomy.ENA.no rank 4,Taxonomy.ENA.no rank 5,Taxonomy.ENA.no rank 6,Taxonomy.ENA.no rank 7,Taxonomy.ENA.subfamily,Taxonomy.ENA.tribe,Taxonomy.ENA.unknown 1,Taxonomy.ENA.subtribe,Taxonomy.ENA.subkingdom,Taxonomy.ENA.superclass,Taxonomy.ENA.subcohort,Taxonomy.ENA.section,Taxonomy.ENA.no rank 8,Taxonomy.ENA.no rank 9,Taxonomy.ENA.no rank 10,Taxonomy.ENA.cohort
Panax quinquefolius,AY275937,24,16,8,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7504,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Apiales,,,,Araliaceae,Panax,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,,,,,,,,,,,,
Panax quinquefolius,AY275938,24,16,8,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7505,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Apiales,,,,Araliaceae,Panax,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,,,,,,,,,,,,
Panax quinquefolius,AY275939,24,16,8,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7506,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Apiales,,,,Araliaceae,Panax,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,,,,,,,,,,,,
Oikopleura dioica,AY449459,60,38,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7521,--,Yes,Eukaryota,Metazoa,,Chordata,Tunicata,Appendicularia,,,,,,,,Oikopleuridae,Oikopleura,,,,,,,,,,,,,,,,,,,,,,
Panax ginseng,AY582139,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7522,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Apiales,,,,Araliaceae,Panax,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,,,,,,,,,,,,
Gracilaria tenuistipitata var. liui,AY673996,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7524,--,Yes,Eukaryota,,,Rhodophyta,,Florideophyceae,Rhodymeniophycidae,,,Gracilariales,,,,Gracilariaceae,Gracilaria,,,,,,,,,,,,,,,,,,,,,,
Emiliania huxleyi,AY741371,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7525,--,Yes,Eukaryota,,,,,Haptophyceae,,,,Isochrysidales,,,,Noelaerhabdaceae,Emiliania,,,,,,,,,,,,,,,,,,,,,,
Plantago australis,AY818924,4,4,0,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_7527,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Lamiales,,,,Plantaginaceae,Plantago,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,,Plantagineae,,,,,,,,,,
Plantago coronopus,AY818925,4,4,0,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_7528,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Lamiales,,,,Plantaginaceae,Plantago,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,,Plantagineae,,,,,,,,,,
Plantago media,AY818927,4,4,0,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_7530,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Lamiales,,,,Plantaginaceae,Plantago,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,,Plantagineae,,,,,,,,,,
Plantago rigida,AY818928,4,4,0,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_7531,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Lamiales,,,,Plantaginaceae,Plantago,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,,Plantagineae,,,,,,,,,,
Plantago rugelii,AY818929,4,4,0,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_7532,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Lamiales,,,,Plantaginaceae,Plantago,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,,Plantagineae,,,,,,,,,,
Lactuca sativa,AY865171,72,28,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_7534,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Asterales,,,,Asteraceae,Lactuca,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Cichorioideae,Cichorieae,,Lactucinae,,,,,,,,
Phalaenopsis aphrodite subsp. formosana,AY916449,71,27,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_7535,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Liliopsida,,,Magnoliophyta,Asparagales,,,,Orchidaceae,Phalaenopsis,,Tracheophyta,Spermatophyta,,,,,,,,Epidendroideae,Vandeae,,Aeridinae,,,,,,,,
Staurastrum punctulatum,AY958085,72,28,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_7536,--,Yes,Eukaryota,Viridiplantae,,Streptophyta,,Zygnemophyceae,,,,Desmidiales,,,,Desmidiaceae,Staurastrum,,,,,,,,,,,,,,,,,,,,,,
Zygnema circumcarinatum,AY958086,71,27,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_7537,--,Yes,Eukaryota,Viridiplantae,,Streptophyta,,Zygnemophyceae,,,,Zygnematales,,,,Zygnemataceae,Zygnema,,,,,,,,,,,,,,,,,,,,,,
Euglena gracilis,X70810,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7590,--,Yes,Eukaryota,,Euglenozoa,Euglenida,,,,,,Euglenales,,,,Euglenaceae,Euglena,,,,,,,,,,,,,,,,,,,,,,
Zea mays,X86563,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7592,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Liliopsida,,,Magnoliophyta,Poales,,,,Poaceae,Zea,,Tracheophyta,Spermatophyta,,,PACMAD clade,Andropogonodae,,,,Panicoideae,Andropogoneae,,Tripsacinae,,,,,,,,
Cyanophora paradoxa,U30821,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7769,--,Yes,Eukaryota,,,,,Glaucocystophyceae,,,,,,,,Cyanophoraceae,Cyanophora,,,,,,,,,,,,,,,,,,,,,,
Cyanophora paradoxa,U30821,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7770,--,Yes,Eukaryota,,,,,Glaucocystophyceae,,,,,,,,Cyanophoraceae,Cyanophora,,,,,,,,,,,,,,,,,,,,,,
Ostreococcus tauri,CR954199,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7801,--,Yes,Eukaryota,Viridiplantae,,Chlorophyta,,Mamiellophyceae,,,prasinophytes,Mamiellales,,,,Bathycoccaceae,Ostreococcus,,,,,,,,,,,,,,,,,,,,,,
Cyanidioschyzon merolae,D63675,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7810,--,Yes,Eukaryota,,,Rhodophyta,,Bangiophyceae,,,,Cyanidiales,,,,Cyanidiaceae,Cyanidioschyzon,,,,,,,,,,,,,,,,,,,,,,
Cyanidium caldarium,D63676,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7811,--,Yes,Eukaryota,,,Rhodophyta,,Bangiophyceae,,,,Cyanidiales,,,,Cyanidiaceae,Cyanidium,,,,,,,,,,,,,,,,,,,,,,
Symplocos paniculata,DQ086312,4,4,0,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7816,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Ericales,,,,Symplocaceae,Symplocos,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,,,,,,,,,,,,,
Symplocos costaricana,DQ086338,4,4,0,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7837,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Ericales,,,,Symplocaceae,Symplocos,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,,,,,,,,,,,,,
Chara vulgaris,DQ229107,71,27,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7896,--,Yes,Eukaryota,Viridiplantae,,Streptophyta,,Charophyceae,,,,Charales,,,,Characeae,Chara,,,,,,,,,,,,,,,,,,,,,,
Oltmannsiellopsis viridis,DQ291132,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7898,--,Yes,Eukaryota,Viridiplantae,Ulvophyceae incertae sedis,Chlorophyta,,Ulvophyceae,,,,,,,,,Oltmannsiellopsis,,,,,,,,,,,,,,,,,,,,,,
Solanum bulbocastanum,DQ347958,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7902,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Solanales,,,,Solanaceae,Solanum,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Solanoideae,Solaneae,,,,,,,,,,
Ranunculus macranthus,DQ359689,71,27,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7905,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Ranunculales,,,,Ranunculaceae,Ranunculus,,Tracheophyta,Spermatophyta,,,eudicotyledons,,,,,Ranunculoideae,Ranunculeae,,,,,,,,,,
Lactuca sativa,DQ383816,71,27,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7908,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Asterales,,,,Asteraceae,Lactuca,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Cichorioideae,Cichorieae,,Lactucinae,,,,,,,,
Jasminum nudiflorum,DQ673255,71,27,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7911,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Lamiales,,,,Oleaceae,Jasminum,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,,Jasmineae,,,,,,,,,,
Angiopteris evecta,DQ821119,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7912,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Polypodiopsida,Marattiidae,,,Marattiales,,,,Marattiaceae,Angiopteris,,Tracheophyta,,,,,,,,,,,,,,,,,,,,
Liriodendron tulipifera,DQ899947,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7913,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Magnoliales,,,,Magnoliaceae,Liriodendron,,Tracheophyta,Spermatophyta,,,Magnoliidae,,,,,,,,,,,,,,,,
Platanus occidentalis,DQ923116,71,27,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7914,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Proteales,,,,Platanaceae,Platanus,,Tracheophyta,Spermatophyta,,,eudicotyledons,,,,,,,,,,,,,,,,
Thalassiosira pseudonana,EF067921,71,27,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7918,--,Yes,Eukaryota,,Stramenopiles,Bacillariophyta,,Coscinodiscophyceae,Thalassiosirophycidae,,,Thalassiosirales,,,,Thalassiosiraceae,Thalassiosira,,,,,,,,,,,,,,,,,,,,,,
Agrostis stolonifera,EF115543,71,27,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7921,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Liliopsida,,,Magnoliophyta,Poales,,,,Poaceae,Agrostis,,Tracheophyta,Spermatophyta,,,BOP clade,Poodae,Poeae Chloroplast Group 1 (Aveneae type),,,Pooideae,Poeae,,Agrostidinae,,,,,,,,
Porphyra purpurea,U38804,72,30,42,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7933,--,Yes,Eukaryota,,,Rhodophyta,,Bangiophyceae,,,,Bangiales,,,,Bangiaceae,Porphyra,,,,,,,,,,,,,,,,,,,,,,
Caenorhabditis elegans,U23183,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7939,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,,,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Caenorhabditis elegans,U23183,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7940,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,,,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Caenorhabditis elegans,U23183,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7941,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,,,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Caenorhabditis elegans,U39741,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7942,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,,,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Caenorhabditis elegans,U39741,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7943,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,,,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Caenorhabditis elegans,U41538,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7944,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,,,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Caenorhabditis elegans,U64849,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7945,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,,,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Caenorhabditis elegans,U97194,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7946,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,,,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Zea mays,X07412,71,27,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7950,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Liliopsida,,,Magnoliophyta,Poales,,,,Poaceae,Zea,,Tracheophyta,Spermatophyta,,,PACMAD clade,Andropogonodae,,,,Panicoideae,Andropogoneae,,Tripsacinae,,,,,,,,
Euglena gracilis,X15240,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7951,--,Yes,Eukaryota,,Euglenozoa,Euglenida,,,,,,Euglenales,,,,Euglenaceae,Euglena,,,,,,,,,,,,,,,,,,,,,,
Zea mays,X17318,71,27,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7953,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Liliopsida,,,Magnoliophyta,Poales,,,,Poaceae,Zea,,Tracheophyta,Spermatophyta,,,PACMAD clade,Andropogonodae,,,,Panicoideae,Andropogoneae,,Tripsacinae,,,,,,,,
Euglena gracilis,X70810,61,37,24,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7965,--,Yes,Eukaryota,,Euglenozoa,Euglenida,,,,,,Euglenales,,,,Euglenaceae,Euglena,,,,,,,,,,,,,,,,,,,,,,
Zea mays,X86563,71,27,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7971,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Liliopsida,,,Magnoliophyta,Poales,,,,Poaceae,Zea,,Tracheophyta,Spermatophyta,,,PACMAD clade,Andropogonodae,,,,Panicoideae,Andropogoneae,,Tripsacinae,,,,,,,,
Euplotes octocarinatus,Y17506,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7973,--,Yes,Eukaryota,,Alveolata,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,,,Euplotida,,,,Euplotidae,Euplotes,,,,,,,,,,,,,,,,,,,,,,
Euglena gracilis,Z11874,61,37,24,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7979,--,Yes,Eukaryota,,Euglenozoa,Euglenida,,,,,,Euglenales,,,,Euglenaceae,Euglena,,,,,,,,,,,,,,,,,,,,,,
Chlorella vulgaris,AB001684,73,29,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7994,--,Yes,Eukaryota,Viridiplantae,,Chlorophyta,,Trebouxiophyceae,,,,Chlorellales,,,,Chlorellaceae,Chlorella,,,,,,,,,,,,,,,,,,,,,,
Cyanidioschyzon merolae strain 10D,AB002583,73,29,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7996,--,Yes,Eukaryota,,,Rhodophyta,,Bangiophyceae,,,,Cyanidiales,,,,Cyanidiaceae,Cyanidioschyzon,,,,,,,,,,,,,,,,,,,,,,
Selaginella uncinata,AB197035,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8033,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Lycopodiopsida,,,,Selaginellales,,,,Selaginellaceae,Selaginella,,Tracheophyta,,,,,,,,,,,,,,,,,,,,
Nicotiana tomentosiformis,AB240139,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8035,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Solanales,,,,Solanaceae,Nicotiana,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Nicotianoideae,Nicotianeae,,,,,,,,,,
Caenorhabditis elegans,AC006699,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8039,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,,,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Caenorhabditis elegans,AC024830,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8043,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,,,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Caenorhabditis elegans,AC084153,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8045,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,,,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Caenorhabditis elegans,AC084158,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8046,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,,,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Caenorhabditis briggsae,AC087075,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8047,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,Rhabditina,Rhabditomorpha,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE013599,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8139,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE013599,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8140,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE013599,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8141,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE013599,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8142,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE013599,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8143,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE013599,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8144,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE013599,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8145,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE013599,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8146,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014296,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8170,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014296,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8171,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014296,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8172,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014296,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8173,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014296,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8174,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
